feature,coef,bioma
EV_MA,12.125885043700475,MA
PRE_MA,-5.946922854857985,MA
TST_MA,-9.081349275927739,MA
saz_sin,-6.644452240173007,MA
saz_cos,3.3010356092185527,MA
EV_MA^2,0.13023579451347334,MA
EV_MA PRE_MA,-0.0025714818065026555,MA
EV_MA TST_MA,-1.415110224554344,MA
EV_MA saz_sin,0.21547961589759365,MA
EV_MA saz_cos,2.1810286269173176,MA
PRE_MA^2,0.05389103697569775,MA
PRE_MA TST_MA,-0.18911500536835202,MA
PRE_MA saz_sin,-0.22624227261657054,MA
PRE_MA saz_cos,-0.9354930381255824,MA
TST_MA^2,-0.9265155501399701,MA
TST_MA saz_sin,-1.1726475317437748,MA
TST_MA saz_cos,1.696869203054646,MA
saz_sin^2,2.616621327921844,MA
saz_sin saz_cos,5.639129977339385,MA
saz_cos^2,-2.473129522860753,MA
