bioma,variavel,fase,delta_pp,mes_ic_inf,mes_ic_sup,mes_p,mes_largura,ep_ic_inf,ep_ic_sup,ep_p,ep_largura,razao_largura,sig_mes,sig_episodio
Mata Atlântica,PSN,El Niño,-5.4384,-8.7253,-2.282,0.001,6.4433,-9.2978,-0.1157,0.045,9.182,1.4251,True,True
Mata Atlântica,PSN,La Niña,-0.0766,-2.9616,2.7691,0.9654,5.7307,-2.8037,2.2365,0.924,5.0401,0.8795,False,False
Mata Atlântica,EV,El Niño,-1.5196,-4.2,1.0925,0.2576,5.2925,-4.976,2.6005,0.43,7.5764,1.4315,False,False
Mata Atlântica,EV,La Niña,1.3683,-0.7421,3.4998,0.2052,4.2419,-2.1298,3.8459,0.4182,5.9758,1.4087,False,False
Mata Atlântica,PRE,El Niño,-5.2777,-20.8689,10.9038,0.4864,31.7727,-20.5502,10.4172,0.5226,30.9674,0.9747,False,False
Mata Atlântica,PRE,La Niña,-1.2711,-15.0263,12.8833,0.8364,27.9096,-19.4044,13.0279,0.8312,32.4323,1.162,False,False
Mata Atlântica,TST,El Niño,3.0656,1.7624,4.4276,0.0,2.6652,0.8682,5.3201,0.0058,4.4519,1.6704,True,True
Mata Atlântica,TST,La Niña,-0.5033,-1.6903,0.6795,0.398,2.3699,-2.4145,1.9153,0.7066,4.3299,1.8271,False,False
Mata Atlântica,WAI,El Niño,-2.4915,-5.5206,0.4784,0.1064,5.999,-6.5244,2.2823,0.2766,8.8067,1.468,False,False
Mata Atlântica,WAI,La Niña,2.4362,-0.1694,5.1257,0.0664,5.2951,-2.1788,5.992,0.3064,8.1709,1.5431,False,False
Cerrado,PSN,El Niño,5.2633,-2.9152,13.3925,0.2,16.3078,-10.8425,23.6661,0.5432,34.5087,2.1161,False,False
Cerrado,PSN,La Niña,11.7452,4.3015,18.9511,0.0022,14.6496,-1.4397,23.9853,0.0804,25.425,1.7355,True,False
Cerrado,EV,El Niño,7.5097,0.5578,14.4543,0.0346,13.8965,-6.9542,23.7524,0.3268,30.7067,2.2097,True,False
Cerrado,EV,La Niña,10.215,4.333,15.9789,0.0008,11.6458,-3.0982,21.2147,0.1348,24.3129,2.0877,True,False
Cerrado,PRE,El Niño,7.9117,-18.6955,34.9221,0.5712,53.6176,-22.4851,33.8536,0.5336,56.3388,1.0508,False,False
Cerrado,PRE,La Niña,-7.7294,-30.4407,12.6586,0.487,43.0993,-37.1253,11.0624,0.5206,48.1877,1.1181,False,False
Cerrado,TST,El Niño,1.3493,-0.149,2.8697,0.0794,3.0187,-2.2406,5.0179,0.502,7.2585,2.4045,False,False
Cerrado,TST,La Niña,-1.1072,-2.4152,0.182,0.0916,2.5972,-3.7473,2.2754,0.5296,6.0227,2.3189,False,False
Cerrado,WAI,El Niño,7.6952,-0.9174,16.4628,0.0816,17.3802,-9.624,26.4203,0.402,36.0442,2.0739,False,False
Cerrado,WAI,La Niña,13.986,6.6732,21.2703,0.0002,14.5971,-2.2391,27.8156,0.0926,30.0547,2.059,True,False
Caatinga,PSN,El Niño,-3.2848,-9.8626,3.2596,0.3174,13.1222,-13.792,7.147,0.4868,20.9389,1.5957,False,False
Caatinga,PSN,La Niña,10.4455,4.4338,16.3762,0.0002,11.9424,0.535,17.0519,0.0414,16.5168,1.383,True,True
Caatinga,EV,El Niño,0.3362,-6.6413,7.3701,0.945,14.0114,-12.6562,12.7682,0.9954,25.4244,1.8146,False,False
Caatinga,EV,La Niña,10.8494,4.4226,17.3508,0.0004,12.9281,-2.645,19.514,0.107,22.159,1.714,True,False
Caatinga,PRE,El Niño,2.5409,-16.692,22.7662,0.834,39.4582,-11.1904,15.3859,0.7246,26.5764,0.6735,False,False
Caatinga,PRE,La Niña,4.6923,-10.897,20.4934,0.5614,31.3904,-13.2106,17.1585,0.6384,30.3692,0.9675,False,False
Caatinga,TST,El Niño,1.5086,-0.0613,3.1127,0.0612,3.174,-1.6605,5.3404,0.3676,7.0009,2.2057,False,False
Caatinga,TST,La Niña,-2.1401,-3.7176,-0.5828,0.008,3.1348,-5.2857,2.0986,0.3368,7.3844,2.3556,True,False
Caatinga,WAI,El Niño,0.4303,-7.4042,8.3567,0.9428,15.7609,-13.8267,13.9746,0.9968,27.8013,1.7639,False,False
Caatinga,WAI,La Niña,12.4696,5.2697,19.7614,0.0004,14.4918,-2.2505,21.9672,0.0908,24.2178,1.6711,True,False
