dados,bioma,variavel,kruskal_p,r2_oni_pct
original,MA,NP_MA,0.0748,4.9206
original,MA,EV_MA,0.4142,0.276
original,MA,PRE_MA,0.8825,0.0189
original,MA,TST_MA,0.0,1.7205
original,CE,NP_CE,0.9006,0.2513
original,CE,EV_CE,0.0709,0.0333
original,CE,PRE_CE,0.0,0.0002
original,CE,WAI_CE,0.2023,0.2099
original,CA,NP_CA,0.2196,1.5509
original,CA,EV_CA,0.1229,0.4332
original,CA,PRE_CA,0.0159,0.0438
original,CA,TST_CA,0.0003,1.4064
nova_2001_2020,MA,NP_MA,0.1468,5.1493
nova_2001_2020,MA,EV_MA,0.0259,1.6848
nova_2001_2020,MA,PRE_MA,0.331,0.3632
nova_2001_2020,MA,TST_MA,0.0,2.8483
nova_2001_2020,CE,NP_CE,0.3626,0.1466
nova_2001_2020,CE,EV_CE,0.0033,0.0209
nova_2001_2020,CE,PRE_CE,0.0,0.009
nova_2001_2020,CE,WAI_CE,0.0126,0.1279
nova_2001_2020,CA,NP_CA,0.0654,1.548
nova_2001_2020,CA,EV_CA,0.0154,0.4517
nova_2001_2020,CA,PRE_CA,0.0017,0.0799
nova_2001_2020,CA,TST_CA,0.0001,1.3865
nova_2001_2025,MA,NP_MA,0.0662,5.7425
nova_2001_2025,MA,EV_MA,0.0049,2.0005
nova_2001_2025,MA,PRE_MA,0.3278,0.2614
nova_2001_2025,MA,TST_MA,0.0,3.0479
nova_2001_2025,CE,NP_CE,0.1352,0.5103
nova_2001_2025,CE,EV_CE,0.0005,0.1949
nova_2001_2025,CE,PRE_CE,0.0,0.0286
nova_2001_2025,CE,WAI_CE,0.0012,0.4503
nova_2001_2025,CA,NP_CA,0.015,2.4138
nova_2001_2025,CA,EV_CA,0.0025,0.882
nova_2001_2025,CA,PRE_CA,0.0003,0.0056
nova_2001_2025,CA,TST_CA,0.0,1.7895
