dados,bioma,grau,r2_teste,gap_pp,rmse
original,MA,1,51.075,6.523,11.327
original,MA,2,62.413,10.259,9.891
original,MA,3,57.53,17.734,10.524
original,MA,4,52.291,23.89,11.158
original,MA,5,26.515,54.427,13.418
original,CE,1,88.649,1.55,12.195
original,CE,2,95.75,1.038,7.415
original,CE,3,95.154,1.84,7.814
original,CE,4,94.956,2.28,7.955
original,CE,5,86.983,10.14,9.795
original,CA,1,93.278,0.56,7.095
original,CA,2,93.998,1.367,6.695
original,CA,3,93.455,2.352,6.948
original,CA,4,89.949,4.71,8.464
original,CA,5,-24.845,119.979,14.105
nova_2001_2020,MA,1,67.034,1.376,8.865
nova_2001_2020,MA,2,72.876,5.589,8.034
nova_2001_2020,MA,3,68.477,12.173,8.657
nova_2001_2020,MA,4,63.369,16.905,9.379
nova_2001_2020,MA,5,39.994,44.706,11.705
nova_2001_2020,CE,1,88.98,1.503,11.996
nova_2001_2020,CE,2,96.335,0.767,6.891
nova_2001_2020,CE,3,95.754,1.598,7.374
nova_2001_2020,CE,4,95.538,2.192,7.432
nova_2001_2020,CE,5,90.438,7.098,8.534
nova_2001_2020,CA,1,93.774,0.508,6.815
nova_2001_2020,CA,2,94.163,1.312,6.585
nova_2001_2020,CA,3,93.355,2.661,6.948
nova_2001_2020,CA,4,90.112,5.183,8.201
nova_2001_2020,CA,5,72.256,23.163,11.056
nova_2001_2025,MA,1,65.825,0.831,9.067
nova_2001_2025,MA,2,70.913,5.047,8.379
nova_2001_2025,MA,3,68.192,8.919,8.727
nova_2001_2025,MA,4,28.476,50.593,11.686
nova_2001_2025,MA,5,-350.713,433.468,21.928
nova_2001_2025,CE,1,90.128,1.223,11.605
nova_2001_2025,CE,2,96.663,0.591,6.738
nova_2001_2025,CE,3,96.394,1.026,7.007
nova_2001_2025,CE,4,96.098,1.577,7.228
nova_2001_2025,CE,5,93.674,3.859,8.379
nova_2001_2025,CA,1,92.912,0.575,7.391
nova_2001_2025,CA,2,94.163,1.032,6.694
nova_2001_2025,CA,3,93.426,2.362,7.093
nova_2001_2025,CA,4,63.915,31.127,9.399
nova_2001_2025,CA,5,48.055,47.044,11.639
