bioma,variavel,fase,n_meses,anomalia_media,anomalia_media_pct,anomalia_neutro_pct,dif_vs_neutro_pct,p_mannwhitney_vs_neutro,p_kruskal_3fases,epsilon2
Mata Atlântica,NP,El Niño,76,-5.285,-4.0282,1.5044,-5.5326,0.0086,0.0226,0.019
Mata Atlântica,NP,La Niña,70,1.3712,1.1282,1.5044,-0.3762,0.72,0.0226,0.019
Mata Atlântica,EV,El Niño,76,-1.6695,-1.4625,0.1126,-1.5751,0.4633,0.433,0.0
Mata Atlântica,EV,La Niña,70,1.5066,1.345,0.1126,1.2324,0.4072,0.433,0.0
Mata Atlântica,TST,El Niño,76,0.7072,2.4032,-0.621,3.0242,0.0,0.0,0.0756
Mata Atlântica,TST,La Niña,70,-0.3882,-1.2695,-0.621,-0.6485,0.2539,0.0,0.0756
Mata Atlântica,WAI,El Niño,76,-0.0124,-2.4445,0.0265,-2.471,0.1933,0.067,0.0116
Mata Atlântica,WAI,La Niña,70,0.0128,2.597,0.0265,2.5705,0.1566,0.067,0.0116
Cerrado,NP,El Niño,76,-0.4506,1.0691,-4.3061,5.3752,0.3588,0.0026,0.0338
Cerrado,NP,La Niña,70,6.8745,8.1281,-4.3061,12.4342,0.0005,0.0026,0.0338
Cerrado,EV,El Niño,76,0.5504,3.1117,-4.5618,7.6734,0.0663,0.0003,0.0481
Cerrado,EV,La Niña,70,4.8822,6.462,-4.5618,11.0238,0.0001,0.0003,0.0481
Cerrado,PRE,El Niño,76,-1.5071,7.7609,-0.7861,8.5471,0.7848,0.4629,0.0
Cerrado,PRE,La Niña,70,8.4814,-6.7304,-0.7861,-5.9443,0.2419,0.4629,0.0
Cerrado,WAI,El Niño,76,-0.0033,2.3355,-5.6765,8.0121,0.2007,0.0001,0.0558
Cerrado,WAI,La Niña,70,0.0382,9.7094,-5.6765,15.3859,0.0,0.0001,0.0558
Caatinga,NP,El Niño,76,-4.3743,-4.9765,-1.6219,-3.3546,0.4555,0.0014,0.038
Caatinga,NP,La Niña,70,7.4297,8.9016,-1.6219,10.5235,0.0017,0.0014,0.038
Caatinga,EV,El Niño,76,-1.8201,-2.38,-2.5205,0.1405,0.6568,0.0089,0.0253
Caatinga,EV,La Niña,70,4.9659,8.021,-2.5205,10.5414,0.0028,0.0089,0.0253
Caatinga,PRE,El Niño,76,-0.2167,0.7532,-2.644,3.3972,0.8614,0.75,0.0
Caatinga,PRE,La Niña,70,4.6777,4.8857,-2.644,7.5297,0.5127,0.75,0.0
Caatinga,TST,El Niño,76,0.5408,1.6414,0.1209,1.5205,0.1029,0.0011,0.0395
Caatinga,TST,La Niña,70,-0.6817,-2.0427,0.1209,-2.1636,0.0117,0.0011,0.0395
