bioma,fase,lag_meses,n,anomalia_PSN_pct_media,ic95_inf,ic95_sup,pct_meses_com_PSN_abaixo_normal,p_vs_neutro
Mata Atlântica,El Niño,0,76,-4.028,-6.808,-1.33,59.211,0.008
Mata Atlântica,El Niño,1,76,-4.681,-7.326,-1.832,61.842,0.002
Mata Atlântica,El Niño,2,76,-3.862,-7.039,-0.875,60.526,0.005
Mata Atlântica,El Niño,3,76,-4.263,-7.29,-1.528,61.842,0.002
Mata Atlântica,El Niño,4,76,-4.118,-6.956,-1.373,61.842,0.003
Mata Atlântica,El Niño,6,76,-3.155,-6.191,-0.304,60.526,0.016
Mata Atlântica,El Niño,9,76,-1.968,-4.09,0.32,53.947,0.04
Mata Atlântica,El Niño,12,76,-2.659,-5.169,-0.35,52.632,0.017
Mata Atlântica,La Niña,0,70,1.128,-1.338,3.645,44.286,0.74
Mata Atlântica,La Niña,1,70,1.913,-0.433,4.242,41.429,0.925
Mata Atlântica,La Niña,2,70,2.489,0.15,4.804,40.0,0.67
Mata Atlântica,La Niña,3,70,1.163,-1.148,3.516,44.286,0.597
Mata Atlântica,La Niña,4,70,0.941,-1.107,3.46,44.286,0.592
Mata Atlântica,La Niña,6,70,0.428,-1.596,2.837,45.714,0.415
Mata Atlântica,La Niña,9,70,-0.069,-2.571,2.317,52.857,0.194
Mata Atlântica,La Niña,12,70,-0.88,-3.99,2.122,50.0,0.133
Cerrado,El Niño,0,76,1.069,-6.431,8.6,52.632,0.388
Cerrado,El Niño,1,76,-0.34,-6.893,6.533,52.632,0.527
Cerrado,El Niño,2,76,-1.187,-6.674,5.156,50.0,0.472
Cerrado,El Niño,3,76,-2.713,-8.396,3.208,51.316,0.653
Cerrado,El Niño,4,76,-2.961,-8.722,2.324,52.632,0.737
Cerrado,El Niño,6,76,-0.826,-6.439,4.469,47.368,0.4
Cerrado,El Niño,9,76,-2.786,-8.893,3.148,55.263,0.771
Cerrado,El Niño,12,76,-6.402,-11.284,-0.518,57.895,0.445
Cerrado,La Niña,0,70,8.128,1.423,13.873,28.571,0.0
Cerrado,La Niña,1,70,8.873,3.262,14.056,27.143,0.0
Cerrado,La Niña,2,70,8.021,2.458,13.028,30.0,0.0
Cerrado,La Niña,3,70,6.82,2.622,10.463,32.857,0.001
Cerrado,La Niña,4,70,6.788,2.353,11.503,34.286,0.001
Cerrado,La Niña,6,70,9.174,2.091,15.577,35.714,0.001
Cerrado,La Niña,9,70,10.39,3.283,18.174,40.0,0.001
Cerrado,La Niña,12,70,4.182,-2.288,9.935,41.429,0.009
Caatinga,El Niño,0,76,-4.976,-10.61,0.51,60.526,0.379
Caatinga,El Niño,1,76,-4.731,-10.363,0.386,59.211,0.44
Caatinga,El Niño,2,76,-3.863,-8.868,1.893,56.579,0.682
Caatinga,El Niño,3,76,-3.756,-8.664,2.025,57.895,0.628
Caatinga,El Niño,4,76,-4.046,-9.675,1.138,59.211,0.658
Caatinga,El Niño,6,76,-1.048,-6.316,4.188,51.316,0.469
Caatinga,El Niño,9,76,-2.1,-6.748,2.656,50.0,0.676
Caatinga,El Niño,12,76,-5.037,-9.964,0.266,56.579,0.353
Caatinga,La Niña,0,70,8.902,4.245,13.814,35.714,0.001
Caatinga,La Niña,1,70,9.955,5.1,14.781,34.286,0.0
Caatinga,La Niña,2,70,9.275,4.423,14.534,34.286,0.001
Caatinga,La Niña,3,70,7.102,2.489,11.896,40.0,0.004
Caatinga,La Niña,4,70,6.339,1.181,12.087,41.429,0.009
Caatinga,La Niña,6,70,4.745,-1.247,10.042,45.714,0.05
Caatinga,La Niña,9,70,6.179,0.431,11.806,44.286,0.036
Caatinga,La Niña,12,70,1.287,-5.744,7.419,51.429,0.391
