bioma,variavel,lag_meses,rho_spearman,p,n
Mata Atlântica,NP,0,-0.1391,0.0164,297
Mata Atlântica,NP,1,-0.1516,0.009,296
Mata Atlântica,NP,2,-0.158,0.0065,295
Mata Atlântica,NP,3,-0.1478,0.0112,294
Mata Atlântica,NP,4,-0.141,0.0158,293
Mata Atlântica,NP,5,-0.1271,0.0299,292
Mata Atlântica,NP,6,-0.1094,0.0624,291
Mata Atlântica,NP,7,-0.0868,0.1403,290
Mata Atlântica,NP,8,-0.0788,0.1817,289
Mata Atlântica,NP,9,-0.0741,0.2097,288
Mata Atlântica,NP,10,-0.0599,0.3121,287
Mata Atlântica,NP,11,-0.0452,0.4462,286
Mata Atlântica,NP,12,-0.0269,0.6515,285
Mata Atlântica,EV,0,-0.0724,0.2136,297
Mata Atlântica,EV,1,-0.0628,0.2817,296
Mata Atlântica,EV,2,-0.0475,0.4165,295
Mata Atlântica,EV,3,-0.0313,0.593,294
Mata Atlântica,EV,4,-0.0201,0.7319,293
Mata Atlântica,EV,5,-0.0092,0.8752,292
Mata Atlântica,EV,6,-0.0009,0.9877,291
Mata Atlântica,EV,7,0.0069,0.9074,290
Mata Atlântica,EV,8,-0.0036,0.9509,289
Mata Atlântica,EV,9,-0.018,0.7612,288
Mata Atlântica,EV,10,-0.0258,0.6629,287
Mata Atlântica,EV,11,-0.0259,0.6631,286
Mata Atlântica,EV,12,-0.0267,0.6534,285
Mata Atlântica,TST,0,0.2496,0.0,297
Mata Atlântica,TST,1,0.2556,0.0,296
Mata Atlântica,TST,2,0.2554,0.0,295
Mata Atlântica,TST,3,0.2297,0.0001,294
Mata Atlântica,TST,4,0.1989,0.0006,293
Mata Atlântica,TST,5,0.1707,0.0034,292
Mata Atlântica,TST,6,0.136,0.0203,291
Mata Atlântica,TST,7,0.1239,0.035,290
Mata Atlântica,TST,8,0.1093,0.0636,289
Mata Atlântica,TST,9,0.1031,0.0807,288
Mata Atlântica,TST,10,0.0894,0.131,287
Mata Atlântica,TST,11,0.0741,0.2117,286
Mata Atlântica,TST,12,0.049,0.4102,285
Mata Atlântica,WAI,0,-0.1238,0.0329,297
Mata Atlântica,WAI,1,-0.1139,0.0504,296
Mata Atlântica,WAI,2,-0.0965,0.0981,295
Mata Atlântica,WAI,3,-0.0789,0.1772,294
Mata Atlântica,WAI,4,-0.0677,0.2479,293
Mata Atlântica,WAI,5,-0.0621,0.2899,292
Mata Atlântica,WAI,6,-0.0554,0.3464,291
Mata Atlântica,WAI,7,-0.0605,0.3049,290
Mata Atlântica,WAI,8,-0.077,0.1916,289
Mata Atlântica,WAI,9,-0.0978,0.0977,288
Mata Atlântica,WAI,10,-0.1096,0.0637,287
Mata Atlântica,WAI,11,-0.1128,0.0568,286
Mata Atlântica,WAI,12,-0.1042,0.079,285
Cerrado,NP,0,-0.1043,0.0727,297
Cerrado,NP,1,-0.1187,0.0413,296
Cerrado,NP,2,-0.1252,0.0315,295
Cerrado,NP,3,-0.1239,0.0337,294
Cerrado,NP,4,-0.1239,0.0341,293
Cerrado,NP,5,-0.1207,0.0393,292
Cerrado,NP,6,-0.1172,0.0458,291
Cerrado,NP,7,-0.1239,0.035,290
Cerrado,NP,8,-0.137,0.0198,289
Cerrado,NP,9,-0.16,0.0065,288
Cerrado,NP,10,-0.1642,0.0053,287
Cerrado,NP,11,-0.1638,0.0055,286
Cerrado,NP,12,-0.1562,0.0082,285
Cerrado,EV,0,-0.0584,0.3157,297
Cerrado,EV,1,-0.0767,0.1881,296
Cerrado,EV,2,-0.0875,0.1339,295
Cerrado,EV,3,-0.0997,0.088,294
Cerrado,EV,4,-0.1075,0.0661,293
Cerrado,EV,5,-0.1093,0.0621,292
Cerrado,EV,6,-0.1085,0.0645,291
Cerrado,EV,7,-0.1171,0.0462,290
Cerrado,EV,8,-0.1335,0.0233,289
Cerrado,EV,9,-0.157,0.0076,288
Cerrado,EV,10,-0.1662,0.0048,287
Cerrado,EV,11,-0.1694,0.0041,286
