tipo,bioma,variavel,p_kruskal_mediana,p_fligner_dispersao,p_qui2_extremos,pct_meses_abaixo_P10_El Niño,pct_meses_abaixo_P10_Neutro,pct_meses_abaixo_P10_La Niña,pct_meses_acima_P90_El Niño,pct_meses_acima_P90_Neutro,pct_meses_acima_P90_La Niña,amplitude_El Niño,amplitude_Neutro,amplitude_La Niña
bruto,Mata Atlântica,NP,0.0615,0.0216,0.0017,22.3684,5.9603,5.7143,9.2105,11.2583,8.5714,82.082,84.7008,66.8653
bruto,Mata Atlântica,EV,0.0124,0.9467,0.1065,6.5789,13.9073,5.7143,9.2105,7.947,15.7143,51.6508,55.5877,46.3036
bruto,Mata Atlântica,PRE,0.2499,0.0866,0.0157,19.7368,5.9603,8.5714,11.8421,8.6093,11.4286,258.2552,254.0926,364.3888
bruto,Mata Atlântica,TST,0.0,0.0166,0.0,6.5789,15.2318,2.8571,22.3684,5.9603,5.7143,12.1377,10.7999,10.0946
bruto,Mata Atlântica,WAI,0.0001,0.0401,0.0007,18.4211,7.947,5.7143,5.2632,15.894,2.8571,0.3392,0.3456,0.302
bruto,Mata Atlântica,BURN,0.0,0.0,,0.0,0.0,0.0,22.3684,4.6358,8.5714,64425.0,30475.0,59250.0
bruto,Cerrado,NP,0.1082,0.2931,0.3663,14.4737,9.9338,5.7143,6.5789,10.596,12.8571,151.8262,175.776,164.329
bruto,Cerrado,EV,0.0004,0.9897,0.2877,9.2105,11.9205,7.1429,13.1579,6.6225,14.2857,104.4372,121.2015,114.9263
bruto,Cerrado,PRE,0.0,0.0003,0.0068,2.6316,14.5695,8.5714,11.8421,5.9603,17.1429,462.7969,395.1833,426.5396
bruto,Cerrado,TST,0.0033,0.5556,0.0745,2.6316,13.9073,10.0,14.4737,8.6093,8.5714,15.565,16.6215,13.5555
bruto,Cerrado,WAI,0.0006,0.9851,0.0302,10.5263,11.2583,7.1429,5.2632,7.947,20.0,0.5896,0.6268,0.6501
bruto,Cerrado,BURN,0.7858,0.0424,0.0384,5.2632,9.2715,17.1429,9.2105,7.947,15.7143,690050.0,1300950.0,1146050.0
