tipo,bioma,variavel,fase,n,minimo,P10,Q1,mediana,media,Q3,P90,maximo,bigode_inf,bigode_sup,n_outliers,amplitude,IQR,desvio_padrao
bruto,Mata Atlântica,NP,El Niño,76,78.981,102.091,116.763,133.251,128.574,141.632,151.098,161.063,89.87,161.063,1,82.082,24.869,18.577
bruto,Mata Atlântica,NP,Neutro,151,94.429,120.129,127.982,134.419,136.157,144.608,152.971,179.129,104.256,167.913,8,84.701,16.626,14.852
bruto,Mata Atlântica,NP,La Niña,70,96.581,117.803,126.161,133.556,134.9,146.178,150.395,163.446,96.581,163.446,0,66.865,20.017,13.915
bruto,Mata Atlântica,EV,El Niño,76,76.775,86.511,91.146,98.763,100.348,109.554,116.719,128.426,76.775,128.426,0,51.651,18.408,12.045
bruto,Mata Atlântica,EV,Neutro,151,76.855,83.266,90.168,98.522,99.593,108.124,115.841,132.443,76.855,132.443,0,55.588,17.956,12.411
bruto,Mata Atlântica,EV,La Niña,70,81.052,87.771,95.666,105.197,104.575,113.386,119.365,127.355,81.052,127.355,0,46.304,17.72,12.011
bruto,Mata Atlântica,PRE,El Niño,76,15.349,26.511,39.857,66.698,86.555,131.62,165.043,273.604,15.349,250.482,1,258.255,91.764,59.187
bruto,Mata Atlântica,PRE,Neutro,151,10.066,35.29,50.472,79.564,85.46,104.538,149.654,264.159,10.066,171.02,7,254.093,54.066,48.339
bruto,Mata Atlântica,PRE,La Niña,70,21.626,34.53,53.942,89.224,98.649,126.352,164.975,386.014,21.626,207.636,3,364.389,72.409,63.029
bruto,Mata Atlântica,TST,El Niño,76,23.851,25.668,28.132,29.985,29.684,31.577,32.719,35.989,23.851,35.989,0,12.138,3.445,2.752
bruto,Mata Atlântica,TST,Neutro,151,22.086,24.139,24.962,26.898,27.145,29.016,30.804,32.886,22.086,32.886,0,10.8,4.054,2.576
bruto,Mata Atlântica,TST,La Niña,70,23.39,25.584,27.692,29.028,28.7,29.931,30.727,33.484,24.614,32.359,3,10.095,2.24,2.063
bruto,Mata Atlântica,WAI,El Niño,76,0.346,0.412,0.441,0.498,0.502,0.559,0.612,0.685,0.346,0.685,0,0.339,0.118,0.079
bruto,Mata Atlântica,WAI,Neutro,151,0.374,0.438,0.489,0.552,0.553,0.622,0.655,0.719,0.374,0.719,0,0.346,0.133,0.082
bruto,Mata Atlântica,WAI,La Niña,70,0.388,0.449,0.481,0.526,0.528,0.562,0.615,0.69,0.388,0.656,1,0.302,0.081,0.064
bruto,Mata Atlântica,BURN,El Niño,76,0.0,237.5,968.75,2062.5,6022.039,6981.25,13950.0,64425.0,0.0,15000.0,7,64425.0,6012.5,9942.83
bruto,Mata Atlântica,BURN,Neutro,151,0.0,0.0,0.0,675.0,2009.106,1962.5,4350.0,30475.0,0.0,4650.0,13,30475.0,1962.5,4287.333
bruto,Mata Atlântica,BURN,La Niña,70,0.0,100.0,325.0,1000.0,3572.857,2775.0,7285.0,59250.0,0.0,4775.0,9,59250.0,2450.0,8515.515
bruto,Cerrado,NP,El Niño,76,13.999,38.826,62.798,100.148,92.935,127.126,137.876,165.826,13.999,165.826,0,151.826,64.329,38.594
bruto,Cerrado,NP,Neutro,151,3.422,42.238,66.694,95.023,93.983,124.737,140.543,179.198,3.422,179.198,0,175.776,58.044,37.642
bruto,Cerrado,NP,La Niña,70,3.037,51.327,86.647,112.279,104.082,129.383,141.359,167.366,31.229,167.366,2,164.329,42.735,35.843
bruto,Cerrado,EV,El Niño,76,20.286,29.112,44.356,78.519,74.669,100.689,116.392,124.724,20.286,124.724,0,104.437,56.333,32.385
bruto,Cerrado,EV,Neutro,151,15.706,26.108,34.296,65.549,64.942,92.149,110.628,136.907,15.706,136.907,0,121.202,57.853,32.577
bruto,Cerrado,EV,La Niña,70,14.886,32.563,56.133,95.912,83.077,106.981,119.57,129.812,14.886,129.812,0,114.926,50.848,32.906
bruto,Cerrado,PRE,El Niño,76,0.491,1.342,21.422,93.808,106.642,175.062,224.096,463.288,0.491,287.871,1,462.797,153.64,96.485
bruto,Cerrado,PRE,Neutro,151,0.137,0.62,1.367,21.536,59.286,80.79,174.196,395.32,0.137,195.411,13,395.183,79.423,81.814
bruto,Cerrado,PRE,La Niña,70,0.215,1.06,22.391,133.188,124.454,198.874,237.327,426.755,0.215,426.755,0,426.54,176.483,97.073
bruto,Cerrado,TST,El Niño,76,27.921,29.569,30.721,32.22,33.513,36.32,38.954,43.486,27.921,43.486,0,15.565,5.599,3.737
bruto,Cerrado,TST,Neutro,151,26.229,28.196,29.542,30.912,31.901,33.6,37.731,42.85,26.229,39.529,5,16.622,4.058,3.541
bruto,Cerrado,TST,La Niña,70,27.832,28.782,29.724,31.11,32.387,34.57,38.217,41.388,27.832,41.388,0,13.555,4.846,3.554
bruto,Cerrado,WAI,El Niño,76,0.078,0.118,0.185,0.416,0.372,0.525,0.581,0.667,0.078,0.667,0,0.59,0.34,0.177
bruto,Cerrado,WAI,Neutro,151,0.06,0.109,0.159,0.321,0.333,0.499,0.577,0.686,0.06,0.686,0,0.627,0.341,0.182
bruto,Cerrado,WAI,La Niña,70,0.053,0.132,0.296,0.49,0.435,0.578,0.632,0.703,0.053,0.703,0,0.65,0.283,0.186
bruto,Cerrado,BURN,El Niño,76,500.0,5087.5,8256.25,20287.5,82092.763,64118.75,230500.0,690550.0,500.0,139200.0,12,690050.0,55862.5,143332.606
bruto,Cerrado,BURN,Neutro,151,0.0,3575.0,9362.5,16850.0,70409.272,51200.0,224225.0,1300950.0,0.0,108225.0,28,1300950.0,41837.5,147053.229
bruto,Cerrado,BURN,La Niña,70,0.0,2792.5,5750.0,17987.5,122277.143,88250.0,415787.5,1146050.0,0.0,201750.0,11,1146050.0,82500.0,242084.941
bruto,Caatinga,NP,El Niño,76,28.47,40.674,58.828,79.862,79.724,102.742,112.976,157.51,28.47,157.51,0,129.04,43.914,28.268
bruto,Caatinga,NP,Neutro,151,34.4,54.71,68.488,82.389,87.25,104.407,131.666,167.623,34.4,150.754,1,133.224,35.919,28.014
bruto,Caatinga,NP,La Niña,70,34.694,55.087,75.826,94.627,93.911,111.235,129.288,147.568,34.694,147.568,0,112.874,35.409,27.542
bruto,Caatinga,EV,El Niño,76,20.538,27.347,33.406,59.621,58.978,77.572,98.451,114.262,20.538,114.262,0,93.724,44.166,26.402
bruto,Caatinga,EV,Neutro,151,21.089,27.406,34.287,51.236,56.305,73.965,99.005,130.917,21.089,130.917,0,109.828,39.679,26.458
bruto,Caatinga,EV,La Niña,70,21.13,31.148,44.051,69.129,68.776,91.726,103.375,112.677,21.13,112.677,0,91.547,47.675,26.573
bruto,Caatinga,PRE,El Niño,76,4.144,10.808,19.603,40.295,65.661,100.168,147.803,393.782,4.144,205.358,2,389.638,80.565,67.621
bruto,Caatinga,PRE,Neutro,151,2.844,12.33,16.779,26.421,45.705,52.203,101.027,367.232,2.844,102.664,14,364.388,35.424,52.668
bruto,Caatinga,PRE,La Niña,70,3.136,12.009,24.618,70.381,74.616,97.605,150.589,291.316,3.136,189.014,2,288.179,72.987,57.295
bruto,Caatinga,TST,El Niño,76,27.638,29.632,31.549,33.128,33.742,36.063,38.537,41.24,27.638,41.24,0,13.602,4.514,3.427
bruto,Caatinga,TST,Neutro,151,25.782,27.49,29.168,30.651,31.532,33.841,36.782,40.578,25.782,40.578,0,14.796,4.674,3.427
bruto,Caatinga,TST,La Niña,70,27.752,28.412,30.146,31.968,32.379,34.868,37.191,39.321,27.752,39.321,0,11.568,4.722,3.14
bruto,Caatinga,WAI,El Niño,76,0.083,0.113,0.146,0.294,0.277,0.362,0.458,0.546,0.083,0.546,0,0.462,0.216,0.128
bruto,Caatinga,WAI,Neutro,151,0.085,0.12,0.175,0.259,0.28,0.354,0.484,0.62,0.085,0.62,0,0.536,0.179,0.134
bruto,Caatinga,WAI,La Niña,70,0.08,0.142,0.23,0.326,0.328,0.445,0.498,0.559,0.08,0.559,0,0.479,0.215,0.132
bruto,Caatinga,BURN,El Niño,76,0.0,187.5,718.75,3237.5,18274.671,19443.75,43012.5,298950.0,0.0,44475.0,6,298950.0,18725.0,40942.191
bruto,Caatinga,BURN,Neutro,151,0.0,125.0,525.0,2025.0,10796.358,7112.5,28025.0,199750.0,0.0,16075.0,23,199750.0,6587.5,26751.873
bruto,Caatinga,BURN,La Niña,70,0.0,195.0,762.5,2425.0,29655.714,12981.25,126657.5,238025.0,0.0,28450.0,14,238025.0,12218.75,60727.366
anomalia,Mata Atlântica,NP,El Niño,76,-52.779,-27.174,-14.048,-3.541,-5.285,6.768,12.101,25.306,-41.125,25.306,1,78.084,20.816,16.472
anomalia,Mata Atlântica,NP,Neutro,151,-37.331,-13.463,-7.021,2.348,2.024,8.905,17.367,48.946,-29.426,32.335,5,86.278,15.926,13.145
anomalia,Mata Atlântica,NP,La Niña,70,-34.414,-16.462,-7.388,1.041,1.371,10.791,17.995,35.178,-34.414,35.178,0,69.592,18.179,13.54
anomalia,Mata Atlântica,EV,El Niño,76,-25.917,-18.608,-7.794,-0.459,-1.67,6.553,10.572,19.856,-25.917,19.856,0,45.773,14.347,10.755
anomalia,Mata Atlântica,EV,Neutro,151,-21.371,-9.522,-4.719,0.544,0.142,5.182,10.06,20.38,-17.957,19.724,4,41.752,9.901,7.947
anomalia,Mata Atlântica,EV,La Niña,70,-15.698,-7.737,-3.403,0.111,1.507,6.673,13.503,18.785,-15.698,18.785,0,34.483,10.076,7.796
anomalia,Mata Atlântica,PRE,El Niño,76,-112.041,-71.598,-44.229,-14.442,-4.89,25.638,74.297,171.103,-112.041,110.794,2,283.144,69.868,57.49
anomalia,Mata Atlântica,PRE,Neutro,151,-105.166,-46.189,-26.692,-2.427,0.36,22.452,50.017,177.279,-98.889,91.273,6,282.445,49.145,44.343
anomalia,Mata Atlântica,PRE,La Niña,70,-91.821,-48.36,-21.801,-6.107,4.532,25.049,58.372,269.781,-91.821,80.263,4,361.603,46.85,53.044
anomalia,Mata Atlântica,TST,El Niño,76,-3.032,-0.977,-0.298,0.536,0.707,1.782,2.727,5.037,-3.032,4.813,1,8.068,2.08,1.51
anomalia,Mata Atlântica,TST,Neutro,151,-3.408,-1.567,-0.997,-0.149,-0.176,0.589,1.55,2.748,-3.129,2.748,1,6.156,1.586,1.222
anomalia,Mata Atlântica,TST,La Niña,70,-2.931,-2.169,-1.095,-0.348,-0.388,0.38,1.271,2.532,-2.931,2.532,0,5.463,1.475,1.237
anomalia,Mata Atlântica,WAI,El Niño,76,-0.159,-0.079,-0.052,-0.009,-0.012,0.034,0.057,0.107,-0.159,0.107,0,0.266,0.086,0.059
anomalia,Mata Atlântica,WAI,Neutro,151,-0.128,-0.062,-0.033,0.005,0.0,0.033,0.059,0.14,-0.128,0.113,1,0.268,0.066,0.049
anomalia,Mata Atlântica,WAI,La Niña,70,-0.073,-0.041,-0.025,0.005,0.013,0.045,0.067,0.148,-0.073,0.148,0,0.221,0.07,0.048
anomalia,Mata Atlântica,BURN,El Niño,76,-10152.083,-5660.417,-2050.688,-128.5,1676.885,2175.25,9000.125,56927.083,-7197.917,6219.0,12,67079.167,4225.938,9121.242
anomalia,Mata Atlântica,BURN,Neutro,151,-10052.083,-3322.917,-1596.0,-681.0,-552.31,240.0,2017.0,22977.083,-4031.0,2867.0,23,33029.167,1836.0,3844.932
anomalia,Mata Atlântica,BURN,La Niña,70,-9952.083,-7371.667,-4724.938,-1106.5,-629.207,366.75,3206.6,48997.917,-9952.083,6695.0,4,58950.0,5091.688,8095.031
anomalia,Cerrado,NP,El Niño,76,-56.976,-33.105,-12.299,-0.653,-0.451,16.45,29.416,47.466,-49.853,47.466,1,104.442,28.749,23.207
anomalia,Cerrado,NP,Neutro,151,-69.913,-25.87,-15.774,-2.085,-2.96,11.816,21.524,45.103,-55.083,45.103,2,115.016,27.59,21.2
anomalia,Cerrado,NP,La Niña,70,-46.097,-16.36,-0.93,8.157,6.875,16.252,26.264,42.925,-21.069,33.603,5,89.023,17.182,16.807
anomalia,Cerrado,EV,El Niño,76,-39.726,-17.357,-7.589,1.304,0.55,9.601,17.512,40.036,-31.532,31.185,4,79.763,17.19,15.581
anomalia,Cerrado,EV,Neutro,151,-41.435,-19.29,-10.551,-2.404,-2.54,7.099,13.798,30.87,-34.684,30.87,3,72.306,17.65,13.789
anomalia,Cerrado,EV,La Niña,70,-35.627,-8.159,-1.274,5.377,4.882,11.724,18.881,33.773,-12.459,27.283,4,69.399,12.998,12.375
anomalia,Cerrado,PRE,El Niño,76,-138.512,-85.24,-40.813,-0.734,-1.507,23.792,96.896,285.071,-136.5,116.336,4,423.583,64.605,70.43
anomalia,Cerrado,PRE,Neutro,151,-120.439,-55.897,-14.978,-1.144,-3.173,4.038,38.377,217.104,-42.402,26.727,38,337.543,19.016,48.418
