bioma,variavel,fase,n_meses,anomalia_media,anomalia_media_pct,anomalia_neutro_pct,dif_vs_neutro_pct,p_mannwhitney_vs_neutro,p_kruskal_3fases,epsilon2
Mata Atlântica,NP,El Niño,76,-5.285,-4.0282,1.3449,-5.3731,0.0113,0.0237,0.0187
Mata Atlântica,NP,La Niña,73,1.8119,1.4671,1.3449,0.1222,0.926,0.0237,0.0187
Mata Atlântica,EV,El Niño,76,-1.6695,-1.4625,0.0106,-1.4731,0.5129,0.35,0.0003
Mata Atlântica,EV,La Niña,73,1.6543,1.5011,0.0106,1.4905,0.2845,0.35,0.0003
Mata Atlântica,PRE,El Niño,76,-4.8901,-3.619,1.447,-5.066,0.1903,0.3665,0.0
Mata Atlântica,PRE,La Niña,73,3.3591,0.8342,1.447,-0.6127,0.9848,0.3665,0.0
Mata Atlântica,TST,El Niño,76,0.7072,2.4032,-0.6393,3.0425,0.0,0.0,0.0755
Mata Atlântica,TST,La Niña,73,-0.3696,-1.2058,-0.6393,-0.5665,0.2535,0.0,0.0755
Cerrado,NP,El Niño,76,-0.4506,1.0691,-4.2725,5.3417,0.3679,0.0042,0.0304
Cerrado,NP,La Niña,73,6.1351,7.5491,-4.2725,11.8216,0.0009,0.0042,0.0304
Cerrado,EV,El Niño,76,0.5504,3.1117,-4.3576,7.4692,0.0832,0.0015,0.0374
Cerrado,EV,La Niña,73,4.104,5.595,-4.3576,9.9526,0.0004,0.0015,0.0374
Cerrado,PRE,El Niño,76,-1.5071,7.7609,-0.0775,7.8384,0.8883,0.7603,0.0
Cerrado,PRE,La Niña,73,5.79,-7.9229,-0.0775,-7.8454,0.526,0.7603,0.0
Cerrado,WAI,El Niño,76,-0.0033,2.3355,-5.239,7.5746,0.258,0.001,0.0403
Cerrado,WAI,La Niña,73,0.0316,8.19,-5.239,13.4291,0.0002,0.001,0.0403
Caatinga,NP,El Niño,76,-4.3743,-4.9765,-1.8061,-3.1704,0.4812,0.0012,0.0388
Caatinga,NP,La Niña,73,7.2471,8.8427,-1.8061,10.6488,0.0015,0.0012,0.0388
Caatinga,EV,El Niño,76,-1.8201,-2.38,-2.7325,0.3526,0.6219,0.0077,0.0263
Caatinga,EV,La Niña,73,4.997,8.0177,-2.7325,10.7503,0.0024,0.0077,0.0263
Caatinga,PRE,El Niño,76,-0.2167,0.7532,-1.7947,2.5479,0.768,0.8958,0.0
Caatinga,PRE,La Niña,73,2.6533,2.8545,-1.7947,4.6493,0.8013,0.8958,0.0
Caatinga,TST,El Niño,76,0.5408,1.6414,0.1401,1.5013,0.1107,0.0011,0.0394
Caatinga,TST,La Niña,73,-0.6662,-1.9928,0.1401,-2.1329,0.0122,0.0011,0.0394
