bioma,fase,preditor,anomalia_do_preditor,efeito_na_PSN_g_c_m2,efeito_na_PSN_pct,PSN_observada_dif_vs_neutro_pct
Mata Atlântica,El Niño,EV,-1.711,-1.562,-1.169,
Mata Atlântica,La Niña,EV,1.613,1.493,1.117,
Mata Atlântica,El Niño,PRE,-5.744,0.563,0.421,
Mata Atlântica,La Niña,PRE,2.505,-0.244,-0.183,
Mata Atlântica,El Niño,TST,0.888,-2.72,-2.036,
Mata Atlântica,La Niña,TST,-0.189,0.566,0.424,
Mata Atlântica,El Niño,TODOS (via modelo),,-3.666,-2.743,-5.373
Mata Atlântica,La Niña,TODOS (via modelo),,1.824,1.365,0.122
Cerrado,El Niño,EV,2.857,4.488,4.583,
Cerrado,La Niña,EV,6.411,10.292,10.51,
Cerrado,El Niño,PRE,0.575,-0.08,-0.082,
Cerrado,La Niña,PRE,7.872,-1.09,-1.113,
Cerrado,El Niño,WAI,0.011,-0.148,-0.151,
Cerrado,La Niña,WAI,0.046,-0.82,-0.837,
Cerrado,El Niño,TODOS (via modelo),,4.188,4.277,5.342
Cerrado,La Niña,TODOS (via modelo),,7.728,7.892,11.822
Caatinga,El Niño,EV,-0.29,-0.351,-0.4,
Caatinga,La Niña,EV,6.527,7.627,8.694,
Caatinga,El Niño,PRE,0.981,-0.075,-0.086,
Caatinga,La Niña,PRE,3.851,-0.297,-0.338,
Caatinga,El Niño,TST,0.49,-0.622,-0.709,
Caatinga,La Niña,TST,-0.717,0.894,1.02,
Caatinga,El Niño,TODOS (via modelo),,-1.044,-1.19,-3.17
Caatinga,La Niña,TODOS (via modelo),,8.464,9.648,10.649
