bioma,fase,lag_meses,n,anomalia_PSN_pct_media,ic95_inf,ic95_sup,pct_meses_com_PSN_abaixo_normal,p_vs_neutro
Mata Atlântica,El Niño,0,76,-4.028,-6.808,-1.33,59.211,0.01
Mata Atlântica,El Niño,1,76,-4.681,-7.326,-1.832,61.842,0.002
Mata Atlântica,El Niño,2,76,-3.862,-7.039,-0.875,60.526,0.007
Mata Atlântica,El Niño,3,76,-4.263,-7.29,-1.528,61.842,0.003
Mata Atlântica,El Niño,4,76,-4.118,-6.956,-1.373,61.842,0.004
Mata Atlântica,El Niño,6,76,-3.155,-6.191,-0.304,60.526,0.02
Mata Atlântica,El Niño,9,76,-1.968,-4.09,0.32,53.947,0.049
Mata Atlântica,El Niño,12,76,-2.659,-5.169,-0.35,52.632,0.022
Mata Atlântica,La Niña,0,73,1.467,-1.026,3.927,43.836,0.953
Mata Atlântica,La Niña,1,73,1.628,-0.637,3.881,43.836,0.942
Mata Atlântica,La Niña,2,73,2.412,0.394,4.848,39.726,0.634
Mata Atlântica,La Niña,3,73,1.006,-1.344,3.349,43.836,0.584
Mata Atlântica,La Niña,4,73,0.557,-1.773,2.742,46.575,0.445
Mata Atlântica,La Niña,6,73,0.375,-1.85,2.542,46.575,0.416
Mata Atlântica,La Niña,9,73,0.207,-2.054,2.648,52.055,0.305
Mata Atlântica,La Niña,12,73,-0.562,-3.54,2.501,49.315,0.195
Cerrado,El Niño,0,76,1.069,-6.431,8.6,52.632,0.386
Cerrado,El Niño,1,76,-0.34,-6.893,6.533,52.632,0.526
Cerrado,El Niño,2,76,-1.187,-6.674,5.156,50.0,0.473
Cerrado,El Niño,3,76,-2.713,-8.396,3.208,51.316,0.652
Cerrado,El Niño,4,76,-2.961,-8.722,2.324,52.632,0.737
Cerrado,El Niño,6,76,-0.826,-6.439,4.469,47.368,0.406
Cerrado,El Niño,9,76,-2.786,-8.893,3.148,55.263,0.778
Cerrado,El Niño,12,76,-6.402,-11.284,-0.518,57.895,0.449
Cerrado,La Niña,0,73,7.549,2.102,12.573,28.767,0.0
Cerrado,La Niña,1,73,7.803,2.28,12.874,28.767,0.0
Cerrado,La Niña,2,73,7.256,2.333,12.721,31.507,0.0
Cerrado,La Niña,3,73,5.103,0.715,9.47,35.616,0.003
Cerrado,La Niña,4,73,5.202,-0.164,9.841,36.986,0.003
Cerrado,La Niña,6,73,8.173,1.365,14.645,36.986,0.001
Cerrado,La Niña,9,73,10.321,3.402,17.881,39.726,0.001
Cerrado,La Niña,12,73,3.212,-3.936,9.42,42.466,0.017
Caatinga,El Niño,0,76,-4.976,-10.61,0.51,60.526,0.406
Caatinga,El Niño,1,76,-4.731,-10.363,0.386,59.211,0.469
Caatinga,El Niño,2,76,-3.863,-8.868,1.893,56.579,0.722
Caatinga,El Niño,3,76,-3.756,-8.664,2.025,57.895,0.665
Caatinga,El Niño,4,76,-4.046,-9.675,1.138,59.211,0.697
Caatinga,El Niño,6,76,-1.048,-6.316,4.188,51.316,0.429
Caatinga,El Niño,9,76,-2.1,-6.748,2.656,50.0,0.628
Caatinga,El Niño,12,76,-5.037,-9.964,0.266,56.579,0.38
Caatinga,La Niña,0,73,8.843,4.062,13.716,35.616,0.001
Caatinga,La Niña,1,73,8.98,4.317,13.921,35.616,0.001
Caatinga,La Niña,2,73,8.626,3.316,13.558,35.616,0.001
Caatinga,La Niña,3,73,5.719,0.916,10.894,42.466,0.013
Caatinga,La Niña,4,73,4.89,-0.948,10.31,43.836,0.028
Caatinga,La Niña,6,73,4.278,-0.965,10.107,47.945,0.058
Caatinga,La Niña,9,73,6.017,0.962,11.452,45.205,0.033
Caatinga,La Niña,12,73,1.842,-4.507,8.087,50.685,0.286
