tipo,bioma,variavel,p_kruskal_mediana,p_fligner_dispersao,p_qui2_extremos,pct_meses_abaixo_P10_El Niño,pct_meses_abaixo_P10_Neutro,pct_meses_abaixo_P10_La Niña,pct_meses_acima_P90_El Niño,pct_meses_acima_P90_Neutro,pct_meses_acima_P90_La Niña,amplitude_El Niño,amplitude_Neutro,amplitude_La Niña
bruto,Mata Atlântica,NP,0.0662,0.0236,0.0019,22.3684,6.0811,5.4795,9.2105,10.8108,9.589,82.082,84.7008,66.8653
bruto,Mata Atlântica,EV,0.0049,0.9008,0.1066,6.5789,14.1892,5.4795,9.2105,8.1081,15.0685,51.6508,55.5877,46.3036
bruto,Mata Atlântica,PRE,0.3278,0.1117,0.018,19.7368,6.0811,8.2192,11.8421,8.7838,10.9589,258.2552,254.0926,364.3888
bruto,Mata Atlântica,TST,0.0,0.0132,0.0,6.5789,15.5405,2.7397,22.3684,5.4054,6.8493,12.1377,10.7999,10.0946
bruto,Mata Atlântica,WAI,0.0,0.0344,0.0004,18.4211,8.1081,5.4795,5.2632,16.2162,2.7397,0.3392,0.3456,0.302
bruto,Mata Atlântica,BURN,0.0,0.0,,0.0,0.0,0.0,22.3684,4.0541,9.589,64425.0,30475.0,59250.0
bruto,Cerrado,NP,0.1352,0.3306,0.3524,14.4737,10.1351,5.4795,6.5789,10.8108,12.3288,151.8262,175.776,164.329
bruto,Cerrado,EV,0.0005,0.9853,0.3085,9.2105,12.1622,6.8493,13.1579,6.7568,13.6986,104.4372,121.2015,114.9263
bruto,Cerrado,PRE,0.0,0.0005,0.008,2.6316,14.8649,8.2192,11.8421,6.0811,16.4384,462.7969,395.1833,426.5396
bruto,Cerrado,TST,0.0026,0.4635,0.064,2.6316,14.1892,9.589,14.4737,8.1081,9.589,15.565,16.6215,13.5555
bruto,Cerrado,WAI,0.0012,0.9639,0.0429,10.5263,11.4865,6.8493,5.2632,8.1081,19.1781,0.5896,0.6268,0.6501
bruto,Cerrado,BURN,0.7294,0.0555,0.0299,5.2632,8.7838,17.8082,9.2105,8.1081,15.0685,690050.0,1300950.0,1146050.0
bruto,Caatinga,NP,0.015,0.9452,0.0088,19.7368,7.4324,5.4795,3.9474,12.1622,12.3288,129.04,133.2235,112.8744
bruto,Caatinga,EV,0.0025,0.4322,0.3124,11.8421,12.1622,4.1096,9.2105,8.7838,13.6986,93.7243,109.8281,91.5472
bruto,Caatinga,PRE,0.0003,0.0001,0.0325,14.4737,8.1081,9.589,15.7895,5.4054,13.6986,389.6381,364.388,288.1794
bruto,Caatinga,TST,0.0,0.8052,0.0001,2.6316,16.2162,5.4795,19.7368,4.7297,10.9589,13.602,14.7963,11.5682
bruto,Caatinga,WAI,0.0184,0.8844,0.1307,11.8421,10.8108,6.8493,3.9474,10.1351,16.4384,0.4623,0.5357,0.4789
bruto,Caatinga,BURN,0.0894,0.0001,0.2724,9.2105,10.8108,9.589,10.5263,6.7568,16.4384,298950.0,199750.0,238025.0
anomalia,Mata Atlântica,NP,0.0237,0.0367,0.0004,22.3684,4.7297,8.2192,5.2632,10.1351,15.0685,78.0843,86.2775,69.5923
anomalia,Mata Atlântica,EV,0.35,0.0071,0.0016,21.0526,8.7838,1.3699,9.2105,8.7838,13.6986,45.7725,41.7518,34.483
anomalia,Mata Atlântica,PRE,0.3665,0.0192,0.0238,18.4211,6.7568,8.2192,14.4737,8.1081,9.589,283.144,282.4454,361.6026
anomalia,Mata Atlântica,TST,0.0,0.3703,0.0,3.9474,10.1351,16.4384,25.0,5.4054,4.1096,8.0683,6.1557,5.4629
anomalia,Mata Atlântica,WAI,0.0766,0.1305,0.2096,15.7895,10.1351,4.1096,9.2105,9.4595,12.3288,0.2663,0.2683,0.2207
