tipo,bioma,variavel,fase,n,minimo,P10,Q1,mediana,media,Q3,P90,maximo,bigode_inf,bigode_sup,n_outliers,amplitude,IQR,desvio_padrao
bruto,Mata Atlântica,NP,El Niño,76,78.981,102.091,116.763,133.251,128.574,141.632,151.098,161.063,89.87,161.063,1,82.082,24.869,18.577
bruto,Mata Atlântica,NP,Neutro,148,94.429,119.466,127.818,134.238,135.935,144.326,152.953,179.129,104.256,167.913,8,84.701,16.508,14.835
bruto,Mata Atlântica,NP,La Niña,73,96.581,118.133,127.307,134.032,135.403,146.28,150.969,163.446,105.428,163.446,1,66.865,18.972,14.023
bruto,Mata Atlântica,EV,El Niño,76,76.775,86.511,91.146,98.763,100.348,109.554,116.719,128.426,76.775,128.426,0,51.651,18.408,12.045
bruto,Mata Atlântica,EV,Neutro,148,76.855,83.227,90.062,98.272,99.389,108.073,115.809,132.443,76.855,132.443,0,55.588,18.011,12.43
bruto,Mata Atlântica,EV,La Niña,73,81.052,87.953,96.822,105.351,104.784,113.669,119.134,127.355,81.052,127.355,0,46.304,16.847,11.851
bruto,Mata Atlântica,PRE,El Niño,76,15.349,26.511,39.857,66.698,86.555,131.62,165.043,273.604,15.349,250.482,1,258.255,91.764,59.187
bruto,Mata Atlântica,PRE,Neutro,148,10.066,35.242,51.417,79.765,85.914,105.126,150.337,264.159,10.066,171.02,7,254.093,53.709,48.611
bruto,Mata Atlântica,PRE,La Niña,73,21.626,34.912,53.448,88.081,97.186,125.681,162.957,386.014,21.626,207.636,3,364.389,72.233,62.289
bruto,Mata Atlântica,TST,El Niño,76,23.851,25.668,28.132,29.985,29.684,31.577,32.719,35.989,23.851,35.989,0,12.138,3.445,2.752
bruto,Mata Atlântica,TST,Neutro,148,22.086,24.12,24.95,26.792,27.082,28.985,30.804,32.886,22.086,32.886,0,10.8,4.035,2.557
bruto,Mata Atlântica,TST,La Niña,73,23.39,25.598,27.702,29.109,28.765,29.936,30.97,33.484,24.614,32.359,3,10.095,2.234,2.06
bruto,Mata Atlântica,WAI,El Niño,76,0.346,0.412,0.441,0.498,0.502,0.559,0.612,0.685,0.346,0.685,0,0.339,0.118,0.079
bruto,Mata Atlântica,WAI,Neutro,148,0.374,0.437,0.491,0.554,0.554,0.622,0.655,0.719,0.374,0.719,0,0.346,0.131,0.082
bruto,Mata Atlântica,WAI,La Niña,73,0.388,0.448,0.475,0.522,0.526,0.56,0.613,0.69,0.388,0.656,1,0.302,0.085,0.064
bruto,Mata Atlântica,BURN,El Niño,76,0.0,237.5,968.75,2062.5,6022.039,6981.25,13950.0,64425.0,0.0,15000.0,7,64425.0,6012.5,9942.83
bruto,Mata Atlântica,BURN,Neutro,148,0.0,0.0,0.0,675.0,1928.885,1912.5,3790.0,30475.0,0.0,4650.0,11,30475.0,1912.5,4240.541
bruto,Mata Atlântica,BURN,La Niña,73,0.0,100.0,400.0,1025.0,3671.233,2875.0,7880.0,59250.0,0.0,5200.0,10,59250.0,2475.0,8404.539
bruto,Cerrado,NP,El Niño,76,13.999,38.826,62.798,100.148,92.935,127.126,137.876,165.826,13.999,165.826,0,151.826,64.329,38.594
bruto,Cerrado,NP,Neutro,148,3.422,41.957,67.508,95.303,94.086,124.702,140.575,179.198,3.422,179.198,0,175.776,57.193,37.691
bruto,Cerrado,NP,La Niña,73,3.037,51.079,84.984,112.146,103.46,129.574,141.023,167.366,31.229,167.366,2,164.329,44.59,35.928
bruto,Cerrado,EV,El Niño,76,20.286,29.112,44.356,78.519,74.669,100.689,116.392,124.724,20.286,124.724,0,104.437,56.333,32.385
