feature,coef,bioma
EV_CA,29.283214007331548,CA
PRE_CA,-4.758102898789702,CA
TST_CA,-6.803448985991133,CA
saz_sin,-4.457011510390362,CA
saz_cos,-3.5868037065560325,CA
EV_CA^2,-4.206858537314831,CA
EV_CA PRE_CA,-2.0960280985117494,CA
EV_CA TST_CA,-5.039549042542065,CA
EV_CA saz_sin,3.629962621478981,CA
EV_CA saz_cos,4.886916612541577,CA
PRE_CA^2,-0.4733295701659068,CA
PRE_CA TST_CA,-1.038556446581127,CA
PRE_CA saz_sin,0.41580794690443207,CA
PRE_CA saz_cos,2.965802467192502,CA
TST_CA^2,-0.21142805631466238,CA
TST_CA saz_sin,3.332260194679008,CA
TST_CA saz_cos,4.345427714140608,CA
saz_sin^2,1.043931273258121,CA
saz_sin saz_cos,1.3195226369948487,CA
saz_cos^2,-1.0439312732577017,CA
