feature,coef,bioma
EV_CE,51.37315909807525,CE
PRE_CE,-13.05017069194498,CE
WAI_CE,-2.3455493680224593,CE
saz_sin,-7.032263203610528,CE
saz_cos,-10.309217423123696,CE
EV_CE^2,10.763874244436144,CE
EV_CE PRE_CE,6.455075616814726,CE
EV_CE WAI_CE,-14.99685783126193,CE
EV_CE saz_sin,-11.633559872463431,CE
EV_CE saz_cos,-10.44948765751444,CE
PRE_CE^2,1.2567401947730805,CE
PRE_CE WAI_CE,-2.309637657261143,CE
PRE_CE saz_sin,-3.3419713933014235,CE
PRE_CE saz_cos,1.4804824862783983,CE
WAI_CE^2,-4.0013964345715936,CE
WAI_CE saz_sin,16.189169434260346,CE
WAI_CE saz_cos,7.129887951432727,CE
saz_sin^2,-3.7609485279518324,CE
saz_sin saz_cos,10.655868051041852,CE
saz_cos^2,3.645941063554726,CE
