feature,coef,bioma
EV_MA,12.04744555927002,MA
PRE_MA,-5.835397362592155,MA
TST_MA,-9.025361450388688,MA
saz_sin,-6.707225372281393,MA
saz_cos,3.2761890715443336,MA
EV_MA^2,0.5819002652347988,MA
EV_MA PRE_MA,-0.7137008972700254,MA
EV_MA TST_MA,-2.060196841579688,MA
EV_MA saz_sin,-0.18115399832498147,MA
EV_MA saz_cos,2.1890418238164027,MA
PRE_MA^2,0.24340774081527164,MA
PRE_MA TST_MA,0.35034775493158704,MA
PRE_MA saz_sin,0.05443388874418033,MA
PRE_MA saz_cos,-1.0285827158635317,MA
TST_MA^2,-0.440933267140655,MA
TST_MA saz_sin,-0.9830728040222899,MA
TST_MA saz_cos,1.4600106023096882,MA
saz_sin^2,2.6512533970867658,MA
saz_sin saz_cos,5.659592810916601,MA
saz_cos^2,-2.507738550015618,MA
