feature,coef,bioma
EV_CA,30.30302236704407,CA
PRE_CA,-3.112321509509733,CA
TST_CA,-4.398591620354301,CA
saz_sin,-5.138365711357037,CA
saz_cos,-6.438315853709597,CA
EV_CA^2,-2.0237372755554097,CA
EV_CA PRE_CA,-3.423509927295882,CA
EV_CA TST_CA,-0.1819433233819474,CA
EV_CA saz_sin,2.8771589461432,CA
EV_CA saz_cos,1.8451831510717416,CA
PRE_CA^2,-0.7137917674229286,CA
PRE_CA TST_CA,-2.876828507811214,CA
PRE_CA saz_sin,0.11724154418879856,CA
PRE_CA saz_cos,3.674759905433704,CA
TST_CA^2,1.3114639010582234,CA
TST_CA saz_sin,1.6855860346243479,CA
TST_CA saz_cos,1.9096405100486018,CA
saz_sin^2,0.3644293034432531,CA
saz_sin saz_cos,3.6472063581376513,CA
saz_cos^2,-0.36442930344358737,CA
