feature,coef,bioma
EV_CE,42.34456205508919,CE
PRE_CE,-10.425669753562907,CE
WAI_CE,3.5282581984364523,CE
saz_sin,-6.321600566897262,CE
saz_cos,-9.409483944564505,CE
EV_CE^2,6.761844464807836,CE
EV_CE PRE_CE,-0.8369046412444697,CE
EV_CE WAI_CE,-6.7353065789038675,CE
EV_CE saz_sin,-9.901548338086844,CE
EV_CE saz_cos,-5.226310024957749,CE
PRE_CE^2,-1.0817955663684928,CE
PRE_CE WAI_CE,7.683801882904939,CE
PRE_CE saz_sin,-2.0899065535369274,CE
PRE_CE saz_cos,3.644240714950188,CE
WAI_CE^2,-9.756568916638802,CE
WAI_CE saz_sin,13.180723691823735,CE
WAI_CE saz_cos,0.3399536713165371,CE
saz_sin^2,-2.6692304440433623,CE
saz_sin saz_cos,10.554274428049645,CE
saz_cos^2,2.669230444032771,CE
