feature,coef,bioma
EV_MA,8.562775161774866,MA
PRE_MA,-3.8804511056679245,MA
TST_MA,-10.456374540931472,MA
saz_sin,-6.113468634065888,MA
saz_cos,6.023132345404707,MA
EV_MA^2,0.6590987079989415,MA
EV_MA PRE_MA,-0.031343005999915886,MA
EV_MA TST_MA,0.2256776941026302,MA
EV_MA saz_sin,-0.48358289287436806,MA
EV_MA saz_cos,0.921882491126087,MA
PRE_MA^2,-0.11976873692393221,MA
PRE_MA TST_MA,-0.6750445799828703,MA
PRE_MA saz_sin,-0.9370796493400593,MA
PRE_MA saz_cos,0.45667378073196324,MA
TST_MA^2,-1.1082448874520665,MA
TST_MA saz_sin,-3.2982940409046053,MA
TST_MA saz_cos,0.7289848813813953,MA
saz_sin^2,3.7396964759942977,MA
saz_sin saz_cos,6.055864695160161,MA
saz_cos^2,-3.73969647599422,MA
