membro,pagina,tipo_anotacao,comentario,trecho_proximo
Marcos Bernardes,3,Text,Sugiro uma frase de abertura que trate da adoção de modelos de regresssão para se estudar fenômenos naturais,Polinomial de ordem N (MRMP - N) para analisar as relações entre variáveis ambientais e a PSN às variações climáticas. Este estudo desenvolveu e validou um Modelo de Regressão Múltipla A Fotossíntese Líquida (PSN) constitui um importante indicador da resposta 
Marcos Bernardes,3,Text,"Na metodologia, citam-se três abordagens quantitativas: RMSE, R2 e resíduos, porém aqui só é mencionado o R2)","Cerrado e na Caatinga (inferior a 2 pontos percentuais) e desempenho moderado na Mata Atlântica (R² = 62,3%), com gap de overfitting reduzido no"
Marcos Bernardes,3,Text,Explicar com linguagem simples e em português... vende teu peixe pra mais gente,"Cerrado e na Caatinga (inferior a 2 pontos percentuais) e desempenho moderado na Mata Atlântica (R² = 62,3%), com gap de overfitting reduzido no"
Marcos Bernardes,3,Highlight,,"maior complexidade estrutural da paisagem e maior heterogeneidade ambiental da área e chuvosa; na Caatinga, a resposta pulsada aos eventos de precipitação; e, na Mata Atlântica, a predominou o controle pela sazonali dade hídrica, decorrente da alternância entr"
Marcos Bernardes,3,Text,O que é isso?,"maior complexidade estrutural da paisagem e maior heterogeneidade ambiental da área e chuvosa; na Caatinga, a resposta pulsada aos eventos de precipitação; e, na Mata Atlântica, a predominou o controle pela sazonali dade hídrica, decorrente da alternância entr"
Marcos Bernardes,3,Text,"Para ENSO, eventos neutros, el nino e la nina? Com ou sem defasagem temporal?","PSN, mediada principalmente pela temperatura e precipitação. Os resultados demonstram a investigação do ENSO apresentou resultados compatíveis com uma influência indireta sobre a analisada, fatore s que aumentam a variabilidade não capturada pelos preditores c"
Marcos Bernardes,3,Text,Destacar qual a principal contribuição acadêmica do trabalho,Palavras - chave: Modelagem ambiental; Regressão Ridge Polinomial; PSN; Bahia; complexos e fornecem subsídios para o planejamento ambiental regional. viabilidade de modelos polinomiais regularizados para a modelagem de proce
Marcos Bernardes,3,Highlight,,Sensoriamento remoto. Palavras - chave: Modelagem ambiental; Regressão Ridge Polinomial; PSN; Bahia; complexos e fornecem subsídios para o planejamento ambiental regional.
Marcos Bernardes,3,Text,"É assim mesmo, misturando português e inglês? não conheço a expressão e, por isso, pergunto",Sensoriamento remoto. Palavras - chave: Modelagem ambiental; Regressão Ridge Polinomial; PSN; Bahia; complexos e fornecem subsídios para o planejamento ambiental regional.
Marcos Bernardes,4,Text,Ajustar conforme orientações sobre o resumo,"(MRMP - This study developed and validated a Multiple Polynomial Regression Model of order N Net Photosynthesis (PSN) is an important indicator of ecosystem response to climate variations. ABSTRACT e Tecnologia da Bahia, Porto Seguro, 2026"
Marcos Bernardes,4,Text,"Na metodologia, citam-se três abordagens quantitativas: RMSE, R2 e resíduos, porém aqui só é mencionado o R2)","close to the 10 = 62.3%), with an overfitting gap below 2 percentage points in the Cerrado and Caatinga, and (R² = 95.7%) and Caatinga (R² = 94.0%), and moderate performance in the Atlantic Forest (R²"
Marcos Bernardes,5,Text,"colocar em itálico, como demais termos e expressões em línguas estrangeiras",ETP – Evapotranspiração Potencial CHIRPS – Climate Hazards Group InfraRed Precipitation with Station data
Marcos Bernardes,5,Text,"colocar em itálico, como demais termos e expressões em línguas estrangeiras",Climate Change) IPCC – Painel Intergovernamental sobre Mudanças Climáticas (Intergovernmental Panel on INPE –
Marcos Bernardes,5,Text,"colocar em itálico, como demais termos e expressões em línguas estrangeiras",MCD64A1 – Produto MODIS de mapeamento de área queimada MAE – Erro Absoluto Médio (Mean Absolute Error)
Marcos Bernardes,5,Highlight,,Imaging Spectroradiometer) MODIS – Espectrorradiômetro de Imagem de Resolução Moderada (Moderate Resolution MCD64A1 –
Marcos Bernardes,5,Text,"colocar em itálico, como demais termos e expressões em línguas estrangeiras",MOD11A2 – Imaging Spectroradiometer) MODIS – Espectrorradiômetro de Imagem de Resolução Moderada (Moderate Resolution
Marcos Bernardes,6,Text,"Favor tirar essas linhas... parece uma tabela, mas não deveria ser",Figura 1 Mapa de localização e distribuição dos biomas na área de estudo N° Titulo Página LISTA DE FIGURAS
Marcos Bernardes,7,Text,Uma página para descrever a Bahia toda?!?!?!,5.1 Área de Estudo ................................ ................................ ............................. 16
Marcos Bernardes,7,Highlight,,6 RESULTADOS E DISCUSS ................................ ................................ ................ 26
Marcos Bernardes,8,Highlight,,"estado reúne três importantes biomas brasileiros, a saber, Mata Atlântica, Cerrado e fatores climáticos, geográficos e antrópicos interagem de maneira sinérgica e não linear. O A região da Bahia apresenta um sistema ambiental de notável complexidade, onde Líqu"
Marcos Bernardes,8,Text,O estado da Bahia...,"estado reúne três importantes biomas brasileiros, a saber, Mata Atlântica, Cerrado e fatores climáticos, geográficos e antrópicos interagem de maneira sinérgica e não linear. O A região da Bahia apresenta um sistema ambiental de notável complexidade, onde Líqu"
Marcos Bernardes,8,Text,Favor traduzir,"Regressão Múltipla Polinomial de ordem N (MRMP Para superar essas limitações metodológicas, este estudo emprega um Modelo de incompleta dos processos ecológicos e, consequentemente, a estratégias de gestão subótimas. relações não lineares e os efeitos d e inte"
Marcos Bernardes,8,Highlight,,"Regressão Múltipla Polinomial de ordem N (MRMP Para superar essas limitações metodológicas, este estudo emprega um Modelo de incompleta dos processos ecológicos e, consequentemente, a estratégias de gestão subótimas. relações não lineares e os efeitos d e inte"
Marcos Bernardes,8,Text,Quais autores/as já utilizaram esses modelos? Falarás a esse respeito mais adiante no texto? Seria bom citar alguns trabalhos de referência na área,"modelos lineares convencionais. O MRMP - N permite uma representação mais fiel da complexa a mbientais, permitindo capturar padrões ecológicos que dificilmente seriam descritos por sua capacidade de representar relações não lineares e efeitos de interação entr"
Marcos Bernardes,10,Text,Precisa explicar o que é o MODIS antes de falar sobre o algoritmo,"(Running et al., 2004; Running; Zhao, 2021): a Produtividade Primária Bruta (GPP) distinguir os três níveis de fluxo de carbono estimados pelo algoritmo MODIS/MOD17 síntese particularmente informativa do funcionamento ecológico terrestre. É importante Nesse ce"
Marcos Bernardes,10,Text,"Não ficaria melhor na metodologia?  A se manter aqui, trazer mais informações essenciais, como a resolução espaço-temporal","fotossintética da vegetação e um proxy robusto da resposta do ecossistema às condiçõe s líquido de carbono assimilado em escala subanual, sendo um indicador direto da atividade A PSN, fornecida em escala de oito dias pelo produto MOD17A2H, representa o saldo R"
Marcos Bernardes,10,Text,"Escala mensal para período de 19 anos, é isso? A metodologia encontra-se em local inapropriado no texto e com menos informações do que o mínimo necessário",vegetação sem a defasagem inerente à integração anual da NPP. temporal compatível com a escala mensal de análise e por capturar a dinâmica fisiológica da ambientais. A adoção da PSN como variável - resposta deste estudo justifica -
Marcos Bernardes,10,Text,"Aqui, de fato, voltamos à fundamentação teórica","lim itação dominante variando geograficamente. terrestre é amplamente controlada por temperatura, disponibilidade de água e radiação, com a consolidado. Nemani et al. (2003) demonstraram, em escala global, que a produtividade A dependência da produtividade veg"
Marcos Bernardes,11,Text,Excelente explicação!!,"impor uma forma funcional rígida. emprego de uma estrutura polinomial, capaz de representar curvas de resposta e saturação sem existência desses pontos de inflexão é precisamente o que motiva, do ponto de vista teórico, o significativas da NPP de árvores, arbu"
