ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2001,1,Caatinga,133.5361,106.2291,219.3035,0.4844,30.0072,28.6896,7025.0,-0.76
2001,1,Cerrado,133.7422,92.6071,218.4159,0.424,31.5003,58.3005,7850.0,-0.76
2001,1,Mata Atlântica,161.6541,116.8653,217.5747,0.5371,29.1096,49.6895,5200.0,-0.76
2001,2,Caatinga,75.7057,76.8603,240.687,0.3193,33.4961,36.2057,275.0,-0.54
2001,2,Cerrado,84.1919,82.4445,249.1432,0.3309,31.3417,104.0196,1775.0,-0.54
2001,2,Mata Atlântica,134.8238,107.799,241.1154,0.4471,32.001,43.9821,12050.0,-0.54
2001,3,Caatinga,94.112,81.7372,214.0357,0.3819,31.604,94.5384,250.0,-0.43
2001,3,Cerrado,100.2236,88.6509,202.1379,0.4386,30.2458,163.1524,10825.0,-0.43
2001,3,Mata Atlântica,126.124,110.4488,206.1173,0.5359,29.1372,112.1279,50.0,-0.43
2001,4,Caatinga,88.9669,68.5096,216.0492,0.3171,31.7033,28.215,125.0,-0.29
2001,4,Cerrado,82.8162,69.7852,227.4796,0.3068,30.7771,38.3165,15850.0,-0.29
2001,4,Mata Atlântica,134.8856,115.5542,201.6987,0.5729,27.8492,79.9661,0.0,-0.29
2001,5,Caatinga,61.589,43.0266,197.5063,0.2178,32.8695,21.1658,325.0,-0.19
2001,5,Cerrado,49.6629,42.2946,209.7364,0.2017,30.7237,21.5359,6350.0,-0.19
2001,5,Mata Atlântica,112.7375,99.1285,161.3049,0.6145,27.7659,104.4185,0.0,-0.19
2001,6,Caatinga,76.5573,36.7496,174.4009,0.2107,29.457,36.0094,3475.0,-0.08
2001,6,Cerrado,71.355,35.9076,195.1987,0.184,29.4078,1.0723,10350.0,-0.08
2001,6,Mata Atlântica,128.5406,85.8443,142.1115,0.6041,24.1966,118.4004,0.0,-0.08
2001,7,Caatinga,75.5775,35.157,186.0688,0.1889,29.5065,20.2575,2600.0,-0.05
2001,7,Cerrado,58.6063,26.8873,213.5746,0.1259,30.3744,1.2406,66275.0,-0.05
2001,7,Mata Atlântica,135.6736,85.7563,146.7145,0.5845,24.328,97.9959,0.0,-0.05
2001,8,Caatinga,71.1243,34.2609,203.963,0.168,31.2375,24.5272,22475.0,-0.13
2001,8,Cerrado,50.8249,26.1078,232.1966,0.1124,33.2247,1.2968,246375.0,-0.13
2001,8,Mata Atlântica,141.8455,88.304,163.6012,0.5398,24.6058,97.0637,0.0,-0.13
2001,9,Caatinga,49.5002,27.7706,243.8408,0.1139,36.9353,20.8163,40650.0,-0.15
2001,9,Cerrado,3.4221,16.1168,269.3919,0.0598,38.3086,13.6309,481525.0,-0.15
2001,9,Mata Atlântica,149.9371,97.49,200.3869,0.4865,28.9842,80.5712,0.0,-0.15
2001,10,Caatinga,61.3882,43.9959,242.7132,0.1813,38.1546,60.3811,62375.0,-0.26
2001,10,Cerrado,56.4236,48.2346,234.4881,0.2057,35.3977,128.3884,176450.0,-0.26
2001,10,Mata Atlântica,148.2268,111.7316,204.8344,0.5455,29.2663,153.9614,200.0,-0.26
2001,11,Caatinga,67.9367,57.0932,241.2405,0.2367,37.097,57.7101,5625.0,-0.33
2001,11,Cerrado,85.0236,72.4289,233.3355,0.3104,33.5968,195.4114,16850.0,-0.33
2001,11,Mata Atlântica,148.3619,115.3365,222.4618,0.5185,30.804,75.3584,0.0,-0.33
2001,12,Caatinga,71.4924,59.1801,215.7339,0.2743,34.4882,120.8792,0.0,-0.32
2001,12,Cerrado,86.6999,69.4243,208.3852,0.3332,32.8353,174.196,0.0,-0.32
2001,12,Mata Atlântica,133.3912,104.5851,193.7108,0.5399,29.2887,141.7928,0.0,-0.32
2002,1,Caatinga,119.0026,101.7676,186.3313,0.5462,29.1911,277.4654,775.0,-0.15
2002,1,Cerrado,123.4223,100.6081,180.2731,0.5581,28.86,211.335,3000.0,-0.15
2002,1,Mata Atlântica,127.4268,109.8093,169.6583,0.6472,27.161,243.5619,0.0,-0.15
2002,2,Caatinga,150.7544,125.9368,241.0419,0.5225,29.3091,100.7217,100.0,0.07
