ano,FMA_NPP,Cerrado_NPP,Caatinga_NPP
2001,1248.546,636.3,693.559
2002,1289.359,577.016,750.189
2003,1190.03,787.93,718.118
2004,1291.342,899.08,902.558
2005,1296.573,953.634,921.96
2006,1285.742,1063.541,959.649
2007,1252.444,736.442,746.857
2008,1189.971,824.52,830.465
2009,1258.219,1074.951,950.232
2010,1197.865,1018.871,862.006
2011,1269.371,1075.361,938.976
2012,1198.472,783.168,609.495
2013,1207.582,880.307,675.788
2014,1298.965,988.844,871.694
2015,1131.633,861.806,689.578
2016,1111.669,748.54,726.432
2017,1190.63,867.679,693.296
2018,1222.649,997.92,803.11
2019,1179.154,929.952,721.085
2020,1279.755,1060.14,984.973
2021,1138.91,834.998,734.291
2022,1241.253,980.218,907.236
2023,1242.571,889.231,735.251
2024,1181.642,807.319,797.995
2025,1288.714,767.634,738.153
