ano,bioma,npp_g_c_m2
2001,Caatinga,693.5586
2001,Cerrado,636.3005
2001,Mata Atlântica,1248.5465
2002,Caatinga,750.1887
2002,Cerrado,577.0165
2002,Mata Atlântica,1289.3591
2003,Caatinga,718.1180
2003,Cerrado,787.9304
2003,Mata Atlântica,1190.0304
2004,Caatinga,902.5578
2004,Cerrado,899.0796
2004,Mata Atlântica,1291.3421
2005,Caatinga,921.9604
2005,Cerrado,953.6342
2005,Mata Atlântica,1296.5732
2006,Caatinga,959.6493
2006,Cerrado,1063.5409
2006,Mata Atlântica,1285.7418
2007,Caatinga,746.8570
2007,Cerrado,736.4425
2007,Mata Atlântica,1252.4436
2008,Caatinga,830.4653
2008,Cerrado,824.5197
2008,Mata Atlântica,1189.9710
2009,Caatinga,950.2320
2009,Cerrado,1074.9511
2009,Mata Atlântica,1258.2189
2010,Caatinga,862.0058
2010,Cerrado,1018.8707
2010,Mata Atlântica,1197.8647
2011,Caatinga,938.9756
2011,Cerrado,1075.3611
2011,Mata Atlântica,1269.3713
2012,Caatinga,609.4951
2012,Cerrado,783.1678
2012,Mata Atlântica,1198.4718
2013,Caatinga,675.7883
2013,Cerrado,880.3066
2013,Mata Atlântica,1207.5820
2014,Caatinga,871.6944
2014,Cerrado,988.8436
2014,Mata Atlântica,1298.9649
2015,Caatinga,689.5781
2015,Cerrado,861.8063
2015,Mata Atlântica,1131.6334
2016,Caatinga,726.4325
2016,Cerrado,748.5403
2016,Mata Atlântica,1111.6692
2017,Caatinga,693.2960
2017,Cerrado,867.6787
2017,Mata Atlântica,1190.6299
2018,Caatinga,803.1097
2018,Cerrado,997.9199
2018,Mata Atlântica,1222.6493
2019,Caatinga,721.0851
2019,Cerrado,929.9519
2019,Mata Atlântica,1179.1541
2020,Caatinga,984.9733
2020,Cerrado,1060.1399
2020,Mata Atlântica,1279.7554
2021,Caatinga,734.2912
2021,Cerrado,834.9985
2021,Mata Atlântica,1138.9096
2022,Caatinga,907.2358
2022,Cerrado,980.2181
2022,Mata Atlântica,1241.2528
2023,Caatinga,735.2510
2023,Cerrado,889.2310
2023,Mata Atlântica,1242.5707
2024,Caatinga,797.9952
2024,Cerrado,807.3191
2024,Mata Atlântica,1181.6425
2025,Caatinga,738.1528
2025,Cerrado,767.6339
2025,Mata Atlântica,1288.7138
