ano;mes;Mata Atlântica;Cerrado;Caatinga
2021;1;146,749;135,21;75,901
2021;2;123,634;128,9;98,057
2021;3;119,89;123,187;83,312
2021;4;90,947;78,482;67,322
2021;5;121,946;110,77;92,635
2021;6;116,521;92,419;78,302
2021;7;120,951;79,053;76,621
2021;8;132,025;63,482;72,999
2021;9;127,35;6,914;42,402
2021;10;89,269;30,169;29,553
2021;11;126,95;100,228;98,329
2021;12;123,395;99,203;107,748
2022;1;157,912;160,57;153,959
2022;2;152,357;143,596;131,259
2022;3;161,247;168,889;138,166
2022;4;95,307;102,859;76,344
2022;5;131,711;125,463;94,75
2022;6;131,54;100,286;85,892
2022;7;130,44;89,167;80,932
2022;8;134,032;70,75;72,99
2022;9;138,026;34,577;52,875
2022;10;104,287;28,974;38,287
2022;11;105,394;93,738;87,804
2022;12;125,114;110,543;126,358
2023;1;173,504;150,431;148,87
2023;2;173,515;184,673;129,011
2023;3;154,336;127,686;110,135
2023;4;93,522;103,904;73,671
2023;5;131,981;136,521;100,807
2023;6;134,904;115,605;92,056
2023;7;132,151;89,185;78,241
2023;8;136,923;62,02;58,829
2023;9;142,111;33,381;42,41
2023;10;92,878;22,088;24,005
2023;11;113,203;49,781;33,938
2023;12;90,825;40,758;32,802
2024;1;105,129;119,826;94,226
2024;2;136,286;134,494;126,787
2024;3;125,81;130,811;114,362
2024;4;145,334;135,087;124,138
2024;5;95,122;73,518;78,85
2024;6;132,602;89,258;96,315
2024;7;130,687;79,326;90,449
2024;8;144,886;48,218;70,638
2024;9;142,813;20,066;57,073
2024;10;117,92;30,564;41,337
2024;11;97,01;69,624;51,554
2024;12;120,897;83,25;57,884
2025;1;136,295;128,175;103,678
2025;2;157,548;134,239;102,474
2025;3;134,969;68,8;60,208
2025;4;79,437;71,658;54,474
2025;5;142,615;117,624;107,116
2025;6;143,528;84,702;89,081
2025;7;153,767;79,44;87,391
2025;8;150,559;50,377;70,808
2025;9;150,386;19,37;54,984
2025;10;104,695;17,799;36,71
2025;11;128,665;63,721;60,925
2025;12;144,391;128,168;99,747
