ano,mes,bioma,psn_g_c_m2
2021,1,Caatinga,75.4736
2021,1,Cerrado,129.5735
2021,1,Mata Atlântica,143.7253
2021,2,Caatinga,86.4771
2021,2,Cerrado,127.3835
2021,2,Mata Atlântica,122.0704
2021,3,Caatinga,94.4134
2021,3,Cerrado,131.3536
2021,3,Mata Atlântica,130.9141
2021,4,Caatinga,85.7869
2021,4,Cerrado,105.6911
2021,4,Mata Atlântica,116.2416
2021,5,Caatinga,92.6354
2021,5,Cerrado,110.7702
2021,5,Mata Atlântica,121.9457
2021,6,Caatinga,78.3024
2021,6,Cerrado,92.4194
2021,6,Mata Atlântica,116.521
2021,7,Caatinga,76.6207
2021,7,Cerrado,79.0526
2021,7,Mata Atlântica,120.9511
2021,8,Caatinga,72.9987
2021,8,Cerrado,63.4821
2021,8,Mata Atlântica,132.0246
2021,9,Caatinga,42.4019
2021,9,Cerrado,6.914
2021,9,Mata Atlântica,127.3496
2021,10,Caatinga,44.8707
2021,10,Cerrado,46.8447
2021,10,Mata Atlântica,111.4732
2021,11,Caatinga,111.284
2021,11,Cerrado,112.4123
2021,11,Mata Atlântica,139.1046
2021,12,Caatinga,107.7479
2021,12,Cerrado,99.203
2021,12,Mata Atlântica,123.3948
2022,1,Caatinga,142.1538
2022,1,Cerrado,134.7881
2022,1,Mata Atlântica,151.1328
2022,2,Caatinga,135.8298
2022,2,Cerrado,146.209
2022,2,Mata Atlântica,146.2795
2022,3,Caatinga,138.3641
2022,3,Cerrado,167.3664
2022,3,Mata Atlântica,159.4006
2022,4,Caatinga,107.1788
2022,4,Cerrado,144.0779
2022,4,Mata Atlântica,135.491
2022,5,Caatinga,94.75
2022,5,Cerrado,125.463
2022,5,Mata Atlântica,131.7111
2022,6,Caatinga,85.8919
2022,6,Cerrado,100.286
2022,6,Mata Atlântica,131.5401
2022,7,Caatinga,80.9318
2022,7,Cerrado,89.1673
2022,7,Mata Atlântica,130.4395
2022,8,Caatinga,72.9901
2022,8,Cerrado,70.7497
2022,8,Mata Atlântica,134.0317
2022,9,Caatinga,52.8752
2022,9,Cerrado,34.5768
2022,9,Mata Atlântica,138.0261
2022,10,Caatinga,55.3192
2022,10,Cerrado,51.0076
2022,10,Mata Atlântica,132.0442
2022,11,Caatinga,108.3184
2022,11,Cerrado,101.9811
2022,11,Mata Atlântica,112.1597
2022,12,Caatinga,126.3582
2022,12,Cerrado,110.5428
2022,12,Mata Atlântica,125.1141
2023,1,Caatinga,140.7608
2023,1,Cerrado,140.8879
2023,1,Mata Atlântica,159.6314
2023,2,Caatinga,137.1435
2023,2,Cerrado,179.1981
2023,2,Mata Atlântica,175.9883
2023,3,Caatinga,110.6402
2023,3,Cerrado,140.5427
2023,3,Mata Atlântica,162.2011
2023,4,Caatinga,102.5632
2023,4,Cerrado,136.6678
2023,4,Mata Atlântica,129.2168
2023,5,Caatinga,100.8068
2023,5,Cerrado,136.5213
2023,5,Mata Atlântica,131.9808
2023,6,Caatinga,92.0555
2023,6,Cerrado,115.6054
2023,6,Mata Atlântica,134.9036
2023,7,Caatinga,78.2411
2023,7,Cerrado,89.185
2023,7,Mata Atlântica,132.1512
2023,8,Caatinga,58.829
2023,8,Cerrado,62.0203
2023,8,Mata Atlântica,136.9226
2023,9,Caatinga,42.4103
2023,9,Cerrado,33.381
2023,9,Mata Atlântica,142.1113
2023,10,Caatinga,34.889
2023,10,Cerrado,38.8737
2023,10,Mata Atlântica,119.6809
2023,11,Caatinga,28.4703
2023,11,Cerrado,38.7775
2023,11,Mata Atlântica,113.2444
2023,12,Caatinga,32.8023
2023,12,Cerrado,40.758
2023,12,Mata Atlântica,90.8254
2024,1,Caatinga,73.842
2024,1,Cerrado,96.8224
2024,1,Mata Atlântica,91.1168
2024,2,Caatinga,121.7954
2024,2,Cerrado,130.8513
2024,2,Mata Atlântica,130.7425
2024,3,Caatinga,125.0176
2024,3,Cerrado,140.012
2024,3,Mata Atlântica,132.1963
2024,4,Caatinga,115.8023
2024,4,Cerrado,130.1207
2024,4,Mata Atlântica,136.5176
2024,5,Caatinga,108.9349
