ano,mes,Mata Atlântica,Cerrado,Caatinga
2021,1,143.725,129.574,75.474
2021,2,122.07,127.384,86.477
2021,3,130.914,131.354,94.413
2021,4,116.242,105.691,85.787
2021,5,121.946,110.77,92.635
2021,6,116.521,92.419,78.302
2021,7,120.951,79.053,76.621
2021,8,132.025,63.482,72.999
2021,9,127.35,6.914,42.402
2021,10,111.473,46.845,44.871
2021,11,139.105,112.412,111.284
2021,12,123.395,99.203,107.748
2022,1,151.133,134.788,142.154
2022,2,146.28,146.209,135.83
2022,3,159.401,167.366,138.364
2022,4,135.491,144.078,107.179
2022,5,131.711,125.463,94.75
2022,6,131.54,100.286,85.892
2022,7,130.44,89.167,80.932
2022,8,134.032,70.75,72.99
2022,9,138.026,34.577,52.875
2022,10,132.044,51.008,55.319
2022,11,112.16,101.981,108.318
2022,12,125.114,110.543,126.358
2023,1,159.631,140.888,140.761
2023,2,175.988,179.198,137.144
2023,3,162.201,140.543,110.64
2023,4,129.217,136.668,102.563
2023,5,131.981,136.521,100.807
2023,6,134.904,115.605,92.056
2023,7,132.151,89.185,78.241
2023,8,136.923,62.02,58.829
2023,9,142.111,33.381,42.41
2023,10,119.681,38.874,34.889
2023,11,113.244,38.778,28.47
2023,12,90.825,40.758,32.802
2024,1,91.117,96.822,73.842
2024,2,130.742,130.851,121.795
2024,3,132.196,140.012,125.018
2024,4,136.518,130.121,115.802
2024,5,131.295,105.035,108.935
2024,6,132.602,89.258,96.315
2024,7,130.687,79.326,90.449
2024,8,144.886,48.218,70.638
2024,9,142.813,20.066,57.073
2024,10,117.92,30.564,41.337
2024,11,134.995,94.936,71.15
2024,12,120.897,83.25,57.884
2025,1,116.594,113.123,82.682
2025,2,162.558,138.605,111.061
2025,3,139.096,78.531,69.713
2025,4,113.416,90.178,68.431
2025,5,142.615,117.624,107.116
2025,6,143.528,84.702,89.081
2025,7,153.767,79.44,87.391
2025,8,150.559,50.377,70.808
2025,9,150.386,19.37,54.984
2025,10,134.5,23.336,46.07
2025,11,133.184,84.41,75.493
2025,12,144.391,128.168,99.747
