ano,mes,Mata Atlântica,Cerrado,Caatinga,fonte
2001,1,160.186,132.986,133.072,planilha Benfica (MOD17A2H v6)
2001,2,133.485,83.981,75.47,planilha Benfica (MOD17A2H v6)
2001,3,125.175,99.964,93.803,planilha Benfica (MOD17A2H v6)
2001,4,134.068,82.859,88.867,planilha Benfica (MOD17A2H v6)
2001,5,112.172,49.802,61.61,planilha Benfica (MOD17A2H v6)
2001,6,127.646,71.537,76.525,planilha Benfica (MOD17A2H v6)
2001,7,134.588,58.76,75.43,planilha Benfica (MOD17A2H v6)
2001,8,140.5,50.843,70.83,planilha Benfica (MOD17A2H v6)
2001,9,148.309,3.598,49.186,planilha Benfica (MOD17A2H v6)
2001,10,146.871,56.236,61.151,planilha Benfica (MOD17A2H v6)
2001,11,140.939,71.914,62.239,planilha Benfica (MOD17A2H v6)
2001,12,132.317,86.26,71.231,planilha Benfica (MOD17A2H v6)
2002,1,126.747,122.832,118.664,planilha Benfica (MOD17A2H v6)
2002,2,174.139,128.114,150.735,planilha Benfica (MOD17A2H v6)
2002,3,157.431,69.812,96.525,planilha Benfica (MOD17A2H v6)
2002,4,147.685,82.359,89.843,planilha Benfica (MOD17A2H v6)
2002,5,133.208,48.256,76.523,planilha Benfica (MOD17A2H v6)
2002,6,120.757,60.14,76.078,planilha Benfica (MOD17A2H v6)
2002,7,134.271,41.436,68.591,planilha Benfica (MOD17A2H v6)
2002,8,133.557,40.355,62.046,planilha Benfica (MOD17A2H v6)
2002,9,153.37,25.822,56.049,planilha Benfica (MOD17A2H v6)
2002,10,136.116,14.15,43.598,planilha Benfica (MOD17A2H v6)
2002,11,140.078,48.909,63.228,planilha Benfica (MOD17A2H v6)
2002,12,97.52,62.909,59.401,planilha Benfica (MOD17A2H v6)
2003,1,110.6,101.554,88.053,planilha Benfica (MOD17A2H v6)
2003,2,137.06,138.167,108.395,planilha Benfica (MOD17A2H v6)
2003,3,116.322,112.568,93.206,planilha Benfica (MOD17A2H v6)
2003,4,119.819,131.417,99.255,planilha Benfica (MOD17A2H v6)
2003,5,119.434,104.864,87.356,planilha Benfica (MOD17A2H v6)
2003,6,137.081,95.04,92.467,planilha Benfica (MOD17A2H v6)
2003,7,132.562,79.232,84.597,planilha Benfica (MOD17A2H v6)
2003,8,139.492,48.119,66.425,planilha Benfica (MOD17A2H v6)
2003,9,149.33,29.111,55.072,planilha Benfica (MOD17A2H v6)
2003,10,137.143,43.445,48.539,planilha Benfica (MOD17A2H v6)
2003,11,130.758,69.218,60.187,planilha Benfica (MOD17A2H v6)
2003,12,103.081,72.369,44.18,planilha Benfica (MOD17A2H v6)
2004,1,93.792,93.213,66.433,planilha Benfica (MOD17A2H v6)
2004,2,168.367,140.318,167.175,planilha Benfica (MOD17A2H v6)
2004,3,133.236,138.32,143.739,planilha Benfica (MOD17A2H v6)
2004,4,138.437,142.046,135.892,planilha Benfica (MOD17A2H v6)
2004,5,133.398,129.169,119.717,planilha Benfica (MOD17A2H v6)
2004,6,133.363,111.898,104.757,planilha Benfica (MOD17A2H v6)
2004,7,143.482,97.013,97.304,planilha Benfica (MOD17A2H v6)
2004,8,159.97,66.048,76.203,planilha Benfica (MOD17A2H v6)
2004,9,154.097,34.475,58.778,planilha Benfica (MOD17A2H v6)
2004,10,51.305,55.529,51.305,planilha Benfica (MOD17A2H v6)
2004,11,141.31,71.071,70.232,planilha Benfica (MOD17A2H v6)
2004,12,144.326,93.907,83.088,planilha Benfica (MOD17A2H v6)
2005,1,136.888,110.179,82.794,planilha Benfica (MOD17A2H v6)
2005,2,141.626,145.537,120.084,planilha Benfica (MOD17A2H v6)
2005,3,149.344,129.544,129.752,planilha Benfica (MOD17A2H v6)
2005,4,144.608,147.811,137.814,planilha Benfica (MOD17A2H v6)
2005,5,137.695,144.153,136.059,planilha Benfica (MOD17A2H v6)
2005,6,134.659,125.137,115.449,planilha Benfica (MOD17A2H v6)
2005,7,145.944,111.333,104.585,planilha Benfica (MOD17A2H v6)
2005,8,152.359,74.648,83.343,planilha Benfica (MOD17A2H v6)
2005,9,150.985,41.443,59.315,planilha Benfica (MOD17A2H v6)
2005,10,139.311,29.607,43.998,planilha Benfica (MOD17A2H v6)
2005,11,122.806,84.796,77.795,planilha Benfica (MOD17A2H v6)
2005,12,136.61,97.888,109.805,planilha Benfica (MOD17A2H v6)
2006,1,147.257,144.661,105.793,planilha Benfica (MOD17A2H v6)
2006,2,128.05,115.074,81.385,planilha Benfica (MOD17A2H v6)
2006,3,104.789,122.562,104.475,planilha Benfica (MOD17A2H v6)
2006,4,121.542,125.113,129.194,planilha Benfica (MOD17A2H v6)
2006,5,142.523,141.628,144.575,planilha Benfica (MOD17A2H v6)
2006,6,131.921,147.145,132.006,planilha Benfica (MOD17A2H v6)
2006,7,152.015,111.784,113.765,planilha Benfica (MOD17A2H v6)
2006,8,156.428,84.062,87.453,planilha Benfica (MOD17A2H v6)
2006,9,154.061,66.468,70.981,planilha Benfica (MOD17A2H v6)
2006,10,139.865,88.426,73.346,planilha Benfica (MOD17A2H v6)
2006,11,155.222,126.555,112.446,planilha Benfica (MOD17A2H v6)
2006,12,137.395,108.352,91.477,planilha Benfica (MOD17A2H v6)
2007,1,137.65,101.044,69.733,planilha Benfica (MOD17A2H v6)
2007,2,123.781,118.766,85.967,planilha Benfica (MOD17A2H v6)
2007,3,178.071,156.526,146.31,planilha Benfica (MOD17A2H v6)
2007,4,127.511,107.056,89.249,planilha Benfica (MOD17A2H v6)
2007,5,136.314,96.677,95.418,planilha Benfica (MOD17A2H v6)
2007,6,126.458,81.268,88.368,planilha Benfica (MOD17A2H v6)
2007,7,127.569,64.713,78.278,planilha Benfica (MOD17A2H v6)
2007,8,138.164,59.943,77.099,planilha Benfica (MOD17A2H v6)
2007,9,145.581,31.435,61.125,planilha Benfica (MOD17A2H v6)
2007,10,131.456,3.234,34.877,planilha Benfica (MOD17A2H v6)
2007,11,117.68,42.708,51.224,planilha Benfica (MOD17A2H v6)
2007,12,144.207,100.377,98.964,planilha Benfica (MOD17A2H v6)
2008,1,138.739,100.226,84.467,planilha Benfica (MOD17A2H v6)
2008,2,141.41,119.511,97.439,planilha Benfica (MOD17A2H v6)
2008,3,126.635,128.882,123.253,planilha Benfica (MOD17A2H v6)
2008,4,130.375,132.515,139.517,planilha Benfica (MOD17A2H v6)
2008,5,120.491,125.817,126.273,planilha Benfica (MOD17A2H v6)
2008,6,125.164,115.065,111.455,planilha Benfica (MOD17A2H v6)
2008,7,138.943,93.816,96.676,planilha Benfica (MOD17A2H v6)
2008,8,139.051,62.125,73.608,planilha Benfica (MOD17A2H v6)
2008,9,130.074,22.253,49.995,planilha Benfica (MOD17A2H v6)
2008,10,129.289,9.449,37.329,planilha Benfica (MOD17A2H v6)
2008,11,95.97,72.435,53.149,planilha Benfica (MOD17A2H v6)
2008,12,135.769,104.797,94.49,planilha Benfica (MOD17A2H v6)
2009,1,147.604,132.132,120.937,planilha Benfica (MOD17A2H v6)
2009,2,157.745,150.202,129.029,planilha Benfica (MOD17A2H v6)
2009,3,117.177,124.519,111.038,planilha Benfica (MOD17A2H v6)
2009,4,112.113,105.917,103.993,planilha Benfica (MOD17A2H v6)
2009,5,131.302,134.144,130.661,planilha Benfica (MOD17A2H v6)
2009,6,134.459,135.871,128.769,planilha Benfica (MOD17A2H v6)
2009,7,152.094,129.205,110.506,planilha Benfica (MOD17A2H v6)
2009,8,150.021,101.856,86.0,planilha Benfica (MOD17A2H v6)
2009,9,150.151,64.546,56.922,planilha Benfica (MOD17A2H v6)
2009,10,123.842,81.036,80.602,planilha Benfica (MOD17A2H v6)
2009,11,154.378,136.608,106.825,planilha Benfica (MOD17A2H v6)
2009,12,111.089,116.443,80.591,planilha Benfica (MOD17A2H v6)
2010,1,119.398,140.445,108.433,planilha Benfica (MOD17A2H v6)
2010,2,114.42,143.466,88.306,planilha Benfica (MOD17A2H v6)
2010,3,110.806,133.652,106.618,planilha Benfica (MOD17A2H v6)
2010,4,139.416,149.079,129.945,planilha Benfica (MOD17A2H v6)
2010,5,127.703,123.284,105.327,planilha Benfica (MOD17A2H v6)
2010,6,132.278,122.306,95.48,planilha Benfica (MOD17A2H v6)
2010,7,133.817,105.918,90.281,planilha Benfica (MOD17A2H v6)
2010,8,145.518,84.388,84.555,planilha Benfica (MOD17A2H v6)
2010,9,144.33,51.447,61.515,planilha Benfica (MOD17A2H v6)
2010,10,130.244,61.227,60.554,planilha Benfica (MOD17A2H v6)
2010,11,127.528,97.63,78.674,planilha Benfica (MOD17A2H v6)
2010,12,121.23,109.213,105.381,planilha Benfica (MOD17A2H v6)
2011,1,132.436,132.347,122.981,planilha Benfica (MOD17A2H v6)
2011,2,146.28,136.541,120.526,planilha Benfica (MOD17A2H v6)
2011,3,113.168,118.528,118.116,planilha Benfica (MOD17A2H v6)
2011,4,145.662,158.01,147.588,planilha Benfica (MOD17A2H v6)
2011,5,141.011,145.44,119.631,planilha Benfica (MOD17A2H v6)
2011,6,130.588,125.118,99.491,planilha Benfica (MOD17A2H v6)
2011,7,132.661,111.092,82.474,planilha Benfica (MOD17A2H v6)
2011,8,148.183,86.167,69.539,planilha Benfica (MOD17A2H v6)
2011,9,136.772,57.51,56.046,planilha Benfica (MOD17A2H v6)
2011,10,130.065,88.484,74.152,planilha Benfica (MOD17A2H v6)
2011,11,147.761,118.954,108.561,planilha Benfica (MOD17A2H v6)
2011,12,138.788,125.354,105.741,planilha Benfica (MOD17A2H v6)
2012,1,132.503,112.16,83.543,planilha Benfica (MOD17A2H v6)
2012,2,149.036,130.442,94.827,planilha Benfica (MOD17A2H v6)
2012,3,133.794,123.108,78.078,planilha Benfica (MOD17A2H v6)
2012,4,119.692,110.509,53.622,planilha Benfica (MOD17A2H v6)
2012,5,109.664,94.271,54.275,planilha Benfica (MOD17A2H v6)
2012,6,119.609,83.264,59.633,planilha Benfica (MOD17A2H v6)
2012,7,130.611,71.407,65.389,planilha Benfica (MOD17A2H v6)
2012,8,139.712,61.606,64.366,planilha Benfica (MOD17A2H v6)
2012,9,141.992,21.802,47.387,planilha Benfica (MOD17A2H v6)
2012,10,119.917,28.974,34.462,planilha Benfica (MOD17A2H v6)
2012,11,133.794,85.735,83.373,planilha Benfica (MOD17A2H v6)
2012,12,132.983,113.294,89.955,planilha Benfica (MOD17A2H v6)
2013,1,114.908,103.354,72.915,planilha Benfica (MOD17A2H v6)
2013,2,143.634,157.885,117.632,planilha Benfica (MOD17A2H v6)
2013,3,122.332,116.527,72.432,planilha Benfica (MOD17A2H v6)
2013,4,115.647,124.322,79.446,planilha Benfica (MOD17A2H v6)
2013,5,133.099,120.766,85.372,planilha Benfica (MOD17A2H v6)
2013,6,129.118,98.037,77.176,planilha Benfica (MOD17A2H v6)
2013,7,136.403,83.239,73.226,planilha Benfica (MOD17A2H v6)
2013,8,147.141,65.388,68.805,planilha Benfica (MOD17A2H v6)
2013,9,147.473,32.745,47.936,planilha Benfica (MOD17A2H v6)
2013,10,142.828,64.905,52.353,planilha Benfica (MOD17A2H v6)
2013,11,140.909,91.173,60.813,planilha Benfica (MOD17A2H v6)
2013,12,100.819,93.252,75.874,planilha Benfica (MOD17A2H v6)
2014,1,167.01,139.306,134.656,planilha Benfica (MOD17A2H v6)
2014,2,175.8,144.704,126.267,planilha Benfica (MOD17A2H v6)
2014,3,147.848,133.187,115.946,planilha Benfica (MOD17A2H v6)
2014,4,129.055,138.797,108.951,planilha Benfica (MOD17A2H v6)
2014,5,127.002,140.931,110.255,planilha Benfica (MOD17A2H v6)
2014,6,123.038,117.155,88.948,planilha Benfica (MOD17A2H v6)
2014,7,130.097,95.432,77.017,planilha Benfica (MOD17A2H v6)
2014,8,148.802,72.234,70.558,planilha Benfica (MOD17A2H v6)
2014,9,134.269,52.94,58.08,planilha Benfica (MOD17A2H v6)
2014,10,131.906,49.864,47.418,planilha Benfica (MOD17A2H v6)
2014,11,139.959,97.081,96.917,planilha Benfica (MOD17A2H v6)
2014,12,142.214,114.049,110.786,planilha Benfica (MOD17A2H v6)
2015,1,142.757,134.927,102.372,planilha Benfica (MOD17A2H v6)
2015,2,125.487,128.897,96.102,planilha Benfica (MOD17A2H v6)
2015,3,116.184,128.297,102.83,planilha Benfica (MOD17A2H v6)
2015,4,104.738,116.631,88.44,planilha Benfica (MOD17A2H v6)
2015,5,121.003,143.17,107.581,planilha Benfica (MOD17A2H v6)
2015,6,122.939,122.178,92.481,planilha Benfica (MOD17A2H v6)
2015,7,136.122,99.146,85.526,planilha Benfica (MOD17A2H v6)
2015,8,150.482,72.248,71.362,planilha Benfica (MOD17A2H v6)
2015,9,142.529,23.842,44.726,planilha Benfica (MOD17A2H v6)
2015,10,124.415,27.654,35.264,planilha Benfica (MOD17A2H v6)
2015,11,89.404,62.204,35.169,planilha Benfica (MOD17A2H v6)
2015,12,94.936,68.453,39.217,planilha Benfica (MOD17A2H v6)
2016,1,79.179,77.007,63.763,planilha Benfica (MOD17A2H v6)
2016,2,149.106,166.404,157.944,planilha Benfica (MOD17A2H v6)
2016,3,121.389,120.176,103.889,planilha Benfica (MOD17A2H v6)
2016,4,106.074,86.991,74.54,planilha Benfica (MOD17A2H v6)
2016,5,99.767,69.342,62.934,planilha Benfica (MOD17A2H v6)
2016,6,99.029,68.448,69.561,planilha Benfica (MOD17A2H v6)
2016,7,127.458,64.251,75.075,planilha Benfica (MOD17A2H v6)
2016,8,135.967,37.372,59.15,planilha Benfica (MOD17A2H v6)
2016,9,133.188,29.67,49.528,planilha Benfica (MOD17A2H v6)
2016,10,143.806,49.227,57.13,planilha Benfica (MOD17A2H v6)
2016,11,121.898,95.003,80.182,planilha Benfica (MOD17A2H v6)
2016,12,125.181,119.003,92.37,planilha Benfica (MOD17A2H v6)
2017,1,131.024,102.598,73.998,planilha Benfica (MOD17A2H v6)
2017,2,124.352,129.895,80.577,planilha Benfica (MOD17A2H v6)
2017,3,110.516,132.403,88.633,planilha Benfica (MOD17A2H v6)
2017,4,129.803,140.801,100.555,planilha Benfica (MOD17A2H v6)
2017,5,126.499,120.766,82.097,planilha Benfica (MOD17A2H v6)
2017,6,127.437,98.181,77.131,planilha Benfica (MOD17A2H v6)
2017,7,127.081,95.886,80.734,planilha Benfica (MOD17A2H v6)
2017,8,149.189,54.019,63.814,planilha Benfica (MOD17A2H v6)
2017,9,145.041,42.451,62.06,planilha Benfica (MOD17A2H v6)
2017,10,131.058,19.862,42.639,planilha Benfica (MOD17A2H v6)
2017,11,121.326,92.611,73.693,planilha Benfica (MOD17A2H v6)
2017,12,120.538,108.685,82.227,planilha Benfica (MOD17A2H v6)
2018,1,147.949,128.937,77.911,planilha Benfica (MOD17A2H v6)
2018,2,132.604,140.531,106.612,planilha Benfica (MOD17A2H v6)
2018,3,128.711,141.608,131.437,planilha Benfica (MOD17A2H v6)
2018,4,142.179,147.486,133.606,planilha Benfica (MOD17A2H v6)
2018,5,138.563,147.449,108.583,planilha Benfica (MOD17A2H v6)
2018,6,131.092,118.847,91.236,planilha Benfica (MOD17A2H v6)
2018,7,145.298,95.909,76.031,planilha Benfica (MOD17A2H v6)
2018,8,133.93,65.549,55.344,planilha Benfica (MOD17A2H v6)
2018,9,135.692,31.3,40.76,planilha Benfica (MOD17A2H v6)
2018,10,103.279,53.871,40.985,planilha Benfica (MOD17A2H v6)
2018,11,120.451,110.418,78.268,planilha Benfica (MOD17A2H v6)
2018,12,125.092,117.191,106.019,planilha Benfica (MOD17A2H v6)
2019,1,136.406,125.347,85.641,planilha Benfica (MOD17A2H v6)
2019,2,115.049,131.208,78.597,planilha Benfica (MOD17A2H v6)
2019,3,90.238,125.022,92.961,planilha Benfica (MOD17A2H v6)
2019,4,137.724,144.783,131.904,planilha Benfica (MOD17A2H v6)
2019,5,126.298,137.932,105.458,planilha Benfica (MOD17A2H v6)
2019,6,125.246,127.346,96.849,planilha Benfica (MOD17A2H v6)
2019,7,127.589,98.893,82.91,planilha Benfica (MOD17A2H v6)
2019,8,151.064,78.786,75.64,planilha Benfica (MOD17A2H v6)
2019,9,152.27,44.541,55.234,planilha Benfica (MOD17A2H v6)
2019,10,132.738,43.919,41.312,planilha Benfica (MOD17A2H v6)
2019,11,117.969,73.278,47.829,planilha Benfica (MOD17A2H v6)
2019,12,120.879,82.276,45.77,planilha Benfica (MOD17A2H v6)
2020,1,111.086,111.276,79.477,planilha Benfica (MOD17A2H v6)
2020,2,133.745,133.01,130.151,planilha Benfica (MOD17A2H v6)
2020,3,112.413,116.363,113.589,planilha Benfica (MOD17A2H v6)
2020,4,138.237,135.785,142.716,planilha Benfica (MOD17A2H v6)
2020,5,133.649,145.44,139.773,planilha Benfica (MOD17A2H v6)
2020,6,140.868,151.09,138.311,planilha Benfica (MOD17A2H v6)
2020,7,153.615,129.294,115.416,planilha Benfica (MOD17A2H v6)
