ano;mes;Mata Atlântica;Cerrado;Caatinga
2001;1;161,654;133,742;133,536
2001;2;134,824;84,192;75,706
2001;3;126,124;100,224;94,112
2001;4;134,886;82,816;88,967
2001;5;112,738;49,663;61,589
2001;6;128,541;71,355;76,557
2001;7;135,674;58,606;75,578
2001;8;141,846;50,825;71,124
2001;9;149,937;3,422;49,5
2001;10;148,227;56,424;61,388
2001;11;148,362;85,024;67,937
2001;12;133,391;86,7;71,492
2002;1;127,427;123,422;119,003
2002;2;175,225;128,548;150,754
2002;3;158,678;69,891;96,716
2002;4;148,697;82,198;89,838
2002;5;134,161;48,083;76,482
2002;6;121,491;59,939;76,061
2002;7;135,372;41,322;68,636
2002;8;134,734;40,306;62,229
2002;9;154,962;25,79;56,291
2002;10;137,491;13,999;43,726
2002;11;141,472;48,912;63,381
2002;12;98,371;63,033;59,564
2003;1;111,47;102,031;88,12
2003;2;138,167;138,671;108,61
2003;3;117,139;112,8;93,343
2003;4;120,603;131,225;99,183
2003;5;120,129;104,819;87,225
2003;6;137,932;94,882;92,474
2003;7;133,6;79,096;84,674
2003;8;140,714;48,07;66,569
2003;9;150,735;29,033;55,254
2003;10;138,508;43,424;48,721
2003;11;132,235;69,245;60,405
2003;12;104,256;72,492;44,254
2004;1;94,429;93,519;66,55
2004;2;169,672;140,65;167,623
2004;3;134,11;138,242;143,912
2004;4;139,255;141,798;135,772
2004;5;134,174;128,939;119,453
2004;6;133,997;111,597;104,462
2004;7;144,325;96,791;97,116
2004;8;161,063;65,914;76,11
2004;9;155,42;34,365;58,825
2004;10;142,589;55,456;51,305
2004;11;142,374;71,077;70,208
2004;12;145,328;94,069;83,104
2005;1;137,738;110,238;82,748
2005;2;142,454;145,642;120,189
2005;3;150,169;129,393;129,646
2005;4;145,373;147,445;137,681
2005;5;138,402;143,822;135,845
2005;6;135,33;124,809;115,196
2005;7;146,683;111,05;104,352
2005;8;153,452;74,434;83,183
2005;9;152,14;41,303;59,261
2005;10;140,571;29,405;43,897
2005;11;123,684;84,984;77,74
2005;12;137,595;97,915;109,815
2006;1;148,415;144,646;105,773
2006;2;129,076;115,112;81,449
2006;3;105,428;122,49;104,516
2006;4;122,087;124,666;129,039
2006;5;143,283;141,227;144,266
2006;6;132,642;146,736;131,666
2006;7;152,971;111,465;113,48
2006;8;157,533;83,874;87,262
2006;9;155,279;66,289;70,943
2006;10;140,857;88,277;73,292
2006;11;156,301;126,831;112,408
2006;12;138,349;108,221;91,406
2007;1;138,428;100,888;69,621
2007;2;124,526;118,839;86,028
2007;3;179,129;156,441;146,371
2007;4;128,177;106,497;89,012
2007;5;137,114;96,26;95,167
2007;6;127,126;80,926;88,073
2007;7;128,371;64,456;78,082
2007;8;139,178;59,678;76,883
2007;9;146,764;31,229;60,918
2007;10;132,652;3,037;34,694
2007;11;118,756;42,534;51,042
2007;12;145,338;100,255;98,773
2008;1;139,791;100,034;84,34
2008;2;142,422;119,512;97,422
2008;3;127,307;128,44;123,182
2008;4;131,209;131,831;139,244
2008;5;121,115;125,177;125,752
2008;6;125,779;114,608;111,088
2008;7;139,632;93,473;96,265
2008;8;139,983;61,857;73,27
2008;9;131,041;22,066;49,713
2008;10;130,335;9,262;37,035
2008;11;96,581;72,306;52,995
2008;12;136,799;104,888;94,503
2009;1;148,662;132,012;120,845
2009;2;158,844;149,946;129,053
2009;3;117,977;123,999;110,856
2009;4;112,6;105,423;103,759
2009;5;131,988;133,312;130,242
2009;6;135,272;135,078;128,326
2009;7;153,042;128,514;110,089
2009;8;150,996;101,351;85,574
2009;9;151,2;64,204;56,642
2009;10;124,852;80,639;80,396
2009;11;155,82;136,097;106,697
2009;12;111,992;116,417;80,413
2010;1;120,338;140,521;108,559
2010;2;115,459;143,537;88,412
2010;3;111,421;133,316;106,642
2010;4;140,25;148,458;129,875
2010;5;128,479;122,796;105,091
2010;6;132,933;121,987;95,341
2010;7;134,824;105,718;90,33
2010;8;146,708;84,195;84,49
2010;9;145,874;51,362;61,529
2010;10;131,334;61,068;60,438
2010;11;128,544;97,628;78,687
2010;12;122,111;109,34;105,556
2011;1;133,387;132,466;123,357
2011;2;147,485;136,679;120,886
2011;3;113,753;118,492;118,422
2011;4;146,504;157,695;147,568
2011;5;141,934;145,14;119,528
2011;6;131,404;124,967;99,432
2011;7;133,523;111,042;82,364
2011;8;149,223;86,052;69,45
2011;9;137,984;57,434;55,988
2011;10;131,25;88,434;74,111
2011;11;148,989;118,961;108,486
2011;12;139,803;125,333;105,709
2012;1;133,552;112,146;83,696
2012;2;150,313;130,614;95,075
2012;3;134,868;122,897;78,009
