ano,mes,bioma,psn_g_c_m2,ida,et_mm,precip_mm,lst_dia_c,area_queimada_ha
2001,1,Mata Atlântica,160.18610294089302,0.5495349,107.29748023147255,51.3,29.090759966666685,5300
2001,1,Cerrado,132.98588818537306,0.4032326,95.59444295350767,59.99,31.197533333333354,7000
2001,1,Caatinga,133.07224490755476,0.469898,106.99313488571812,32.41,29.805733333333364,6275
2002,1,Mata Atlântica,126.74736981084071,0.6733979,87.95783948559924,273.05,26.89584423333336,0
2002,1,Cerrado,122.83234625892341,0.5697378,88.87251037658372,252.39,27.97460000000001,3525
2002,1,Caatinga,118.66352493899674,0.5569035,89.69592880443534,297.54,26.97240000000001,650
2003,1,Mata Atlântica,110.60006630405033,0.4998387,103.16071055462865,77.5217,32.35666666666666,5475
2003,1,Cerrado,101.55440006779578,0.4946588,90.60932853363788,79.3121,31.483333333333334,3800
2003,1,Caatinga,88.05325921317862,0.3941859,84.45336979989627,45.395,32.67333333333334,2325
2004,1,Mata Atlântica,93.79214279243595,0.5488697,84.73077608251602,239.3357,32.22060000000001,200
2004,1,Cerrado,93.21252587741068,0.5043566,82.85182742888736,380.68,31.416666666666668,2675
2004,1,Caatinga,66.43259331773692,0.4005191,67.91219468802393,357.22,33.903333333333336,925
2005,1,Mata Atlântica,136.88768385364565,0.4721018,109.38520691375734,111.46,33.776666666666664,2850
2005,1,Cerrado,110.17886688216042,0.4868985,100.62229578257703,224.32,31.58893333333337,1850
2005,1,Caatinga,82.79419131258783,0.3339836,78.29091228726163,127.36,33.85,1375
2006,1,Mata Atlântica,147.25704623734876,0.4694626,102.91877777431274,30.9,30.263333333333332,2525
2006,1,Cerrado,144.66072283224983,0.4746338,104.63985960083699,54.81,31.846666666666664,9950
2006,1,Caatinga,105.79258118184612,0.3402459,79.77108123038474,10.42,32.43,3575
2007,1,Mata Atlântica,137.65039830539507,0.5098344,111.88801767420829,42.45,30.650000000000002,2400
2007,1,Cerrado,101.04444913005668,0.4212302,95.40147017280482,81.71,31.879999999999995,15425
2007,1,Caatinga,69.73343249321704,0.2707582,64.70176504148002,27.99,33.6,9925
2008,1,Mata Atlântica,138.73911021334914,0.4754888,103.3363660284097,78.15,32.52333333333333,3900
2008,1,Cerrado,100.2257486274407,0.3615754,74.88071240627295,158.29,34.050000000000004,5450
2008,1,Caatinga,84.46711583033694,0.299742,67.75006033843803,62.89,34.35333333333333,11900
2009,1,Mata Atlântica,147.60371457593274,0.5544515,116.37363077510798,102.95,28.686666666666667,675
2009,1,Cerrado,132.13197271224982,0.5410471,113.30232753819705,155.47,31.44666666666667,0
2009,1,Caatinga,120.93741448579962,0.4151804,97.86536133406749,92.06,32.589999999999996,6300
2010,1,Mata Atlântica,119.39848348759304,0.4322358,93.87569879060158,37.58,32.59666666666667,11125
2010,1,Cerrado,140.4450040051896,0.5677716,119.3019259949797,122.67,30.543333333333333,5650
2010,1,Caatinga,108.43317536059257,0.4209411,89.09323558980526,55.44,30.74,1075
2011,1,Mata Atlântica,132.435846590931,0.5243892,108.09863798933858,80.36,30.52333333333333,1000
2011,1,Cerrado,132.34747108091693,0.6194733,115.5596404674851,196.15,30.916666666666668,3775
2011,1,Caatinga,122.98124689560056,0.463088,101.28129860464892,76.1,30.69333333333333,2875
2012,1,Mata Atlântica,132.5033273454094,0.5036116,96.81129700915089,49.9,29.113333333333333,975
2012,1,Cerrado,112.1601690452314,0.5790816,99.7226016368435,190.0,29.55666666666667,6450
2012,1,Caatinga,83.54268555266749,0.3059569,64.52270857444054,37.42,31.923333333333332,7250
