ano;mes;ONI;FMA_PSN;Cerrado_PSN;Caatinga_PSN;FMA_Evap;Cerrado_Evap;Caatinga_Evap;FMA_PET;Cerrado_PET;Caatinga_PET;FMA_IDA;Cerrado_IDA;Caatinga_IDA;FMA_Temp;Cerrado_Temp;Caatinga_Temp;FMA_Precip;Cerrado_Precip;Caatinga_Precip;FMA_AreaQueimada;Cerrado_AreaQueimada;Caatinga_AreaQueimada
2001;1;-0,76;160,1861;132,9859;133,0722;107,2975;95,5944;106,9931;;;;0,5495;0,4032;0,4699;29,0908;31,1975;29,8057;51,3;59,99;32,41;5300,0;7000,0;6275,0
2001;2;-0,54;133,4854;83,9807;75,4696;104,9693;83,9749;78,6215;;;;0,4434;0,3224;0,3068;32,0178;31,3594;33,4845;44,28;102,81;34,95;11225,0;1700,0;425,0
2001;3;-0,43;125,1755;99,9636;93,8035;98,5551;89,2413;80,7663;;;;0,5598;0,4304;0,3801;29,1505;30,2487;31,5951;113,51;160,98;97,51;100,0;11950,0;775,0
2001;4;-0,29;134,0681;82,8587;88,8666;111,5411;72,8252;68,3464;;;;0,5786;0,2976;0,3165;27,8595;30,7817;31,6978;75,49;40,55;24,82;0,0;14775,0;450,0
2001;5;-0,19;112,1725;49,8018;61,6095;97,9127;43,9848;43,8693;;;;0,6082;0,1978;0,2181;27,7867;30,727;32,8616;109,85;22,57;20,86;0,0;5650,0;275,0
2001;6;-0,08;127,6461;71,5369;76,5246;71,2621;35,7193;33,0466;;;;0,6489;0,1902;0,237;24,2104;29,4131;29,456;113,79;1,46;38,9;0,0;10875,0;3350,0
2001;7;-0,05;134,5885;58,7605;75,4298;82,3936;27,9563;33,6451;;;;0,5852;0,1252;0,2055;24,3424;30,3779;29,5154;95,78;2,25;21,09;0,0;65850,0;2950,0
2001;8;-0,13;140,5;50,8428;70,8298;76,1151;26,9267;31,1587;;;;0,5709;0,1116;0,1904;24,6298;33,2303;31,26;92,31;1,17;25,71;0,0;241100,0;22925,0
2001;9;-0,15;148,309;3,5982;49,1858;85,5576;16,4452;27,1705;;;;0,5063;0,0596;0,1203;29,018;38,322;36,9442;75,96;13,86;81,6;0,0;481900,0;40975,0
2001;10;-0,26;146,8706;56,2363;61,1511;93,251;47,7389;43,0745;;;;0,5785;0,2036;0,1871;29,3045;35,4421;38,1451;147,94;132,77;61,85;0,0;174100,0;61575,0
2001;11;-0,33;140,9388;71,9137;62,2393;101,5254;69,7119;56,5202;;;;0,5417;0,3074;0,2371;30,8291;33,6013;37,0874;61,94;190,88;57,6;0,0;16575,0;5350,0
2001;12;-0,32;132,3167;86,2603;71,2313;89,3348;69,4023;57,9878;;;;0,569;0,3214;0,2804;29,2949;32,8514;34,4703;144,23;199,25;124,04;0,0;0,0;0,0
2002;1;-0,15;126,7474;122,8323;118,6635;87,9578;88,8725;89,6959;;;;0,6734;0,5697;0,5569;26,8958;27,9746;26,9724;273,05;252,39;297,54;0,0;3525,0;650,0
2002;2;0,07;174,1388;128,1137;150,7345;120,9776;106,8802;129,0055;;;;0,5485;0,4243;0,506;29,0148;29,2245;29,3099;143,3;129,21;108,2;0,0;11000,0;200,0
2002;3;0,11;157,4312;69,8118;96,5245;99,8639;69,0892;78,3248;;;;0,576;0,2861;0,3767;27,07;31,5189;30,3277;82,7;78,88;21,92;0,0;10850,0;25,0
2002;4;0,15;147,6852;82,3594;89,8433;102,4368;68,3233;67,4175;;;;0,5843;0,2855;0,3338;27,4082;30,7207;30,9775;74,05;48,72;27,68;0,0;3100,0;0,0
2002;5;0,3;133,2083;48,2556;76,5227;97,2557;38,5915;48,0266;;;;0,586;0,1705;0,2537;26,2901;31,0781;30,6823;86,96;30,29;31,8;1425,0;16550,0;1125,0
2002;6;0,45;120,7572;60,1403;76,0779;79,0919;32,4361;36,7207;;;;0,6221;0,1589;0,2468;23,7208;29,6406;28,6059;97,74;1,79;24,63;0,0;20925,0;325,0
2002;7;0,57;134,2708;41,4363;68,5914;87,654;25,0067;33,1021;;;;0,5684;0,1125;0,1794;24,3028;31,8024;30,5109;81,25;4,06;18,68;0,0;62475,0;1550,0
2002;8;0,63;133,5572;40,3546;62,0458;86,9665;23,1854;29,236;;;;0,5114;0,0944;0,1418;25,3027;34,2283;31,9905;77,02;1,34;16,89;47400,0;375725,0;10375,0
2002;9;0,78;153,3703;25,8219;56,0487;100,7991;24,6209;31,6723;;;;0,4892;0,0944;0,132;27,5769;37,1346;36,0341;111,77;45,84;43,18;1675,0;688125,0;52900,0
2002;10;0,99;136,1164;14,15;43,5983;99,6495;31,193;34,3987;;;;0,4458;0,1219;0,1394;31,3575;39,6489;38,8237;27,87;40,93;11,43;14850,0;358525,0;40725,0
2002;11;1,19;140,0782;48,9093;63,2278;106,2869;49,2945;47,2673;;;;0,4362;0,1769;0,1766;31,9947;39,1453;37,992;69,14;100,88;52,49;10700,0;40500,0;14200,0
2002;12;1,08;97,5204;62,9086;59,401;91,1863;64,2578;52,9437;;;;0,4375;0,3379;0,2484;32,5806;32,601;35,6779;152,7;264,13;138,35;33700,0;9900,0;6100,0
2003;1;0,9;110,6001;101,5544;88,0533;103,1607;90,6093;84,4534;;;;0,4998;0,4947;0,3942;32,3567;31,4833;32,6733;77,5217;79,3121;45,395;5475,0;3800,0;2325,0
2003;2;0,59;137,0599;138,1667;108,3954;102,9978;109,2611;87,7852;;;;0,4335;0,4653;0,3536;30,935;31,5175;31,1875;56,0479;138,6802;37,271;6475,0;9025,0;4025,0
2003;3;0,38;116,3219;112,5683;93,2057;97,0388;98,0108;76,059;;;;0,4428;0,4835;0,3286;33,295;30,7175;31,8825;84,6906;186,2649;98,66;5275,0;4300,0;2400,0
2003;4;-0,01;119,8185;131,4172;99,2552;106,1514;98,2123;76,9441;;;;0,509;0,4445;0,3312;30,4875;30,175;31,825;96,9518;66,3088;31,52;1975,0;10200,0;1275,0
2003;5;-0,18;119,434;104,864;87,3562;102,619;67,5021;58,5073;;;;0,6079;0,357;0,3143;27,9675;30,12;31,605;140,8877;26,1497;51,56;1400,0;12125,0;600,0
2003;6;-0,13;137,0808;95,0396;92,4669;97,2216;47,2596;45,9064;;;;0,5998;0,2453;0,2676;26,0625;29,76;30,435;71,1988;1,1875;25,4;1700,0;19675,0;1150,0
2003;7;0,09;132,5619;79,232;84,5967;86,155;32,9614;37,6721;;;;0,5506;0,1562;0,2148;25,1225;29,665;30,745;89,8925;0,8473;26,59;1150,0;36725,0;2075,0
2003;8;0,14;139,4921;48,1191;66,4253;87,3522;28,217;32,6841;;;;0,5512;0,1227;0,1722;27,75;33,8775;34,0975;79,1887;17,6373;25,54;975,0;73750,0;4550,0
2003;9;0,23;149,3302;29,1111;55,0721;99,4373;26,1562;28,8681;;;;0,481;0,0999;0,1245;31,43;37,76;37,535;69,8455;10,4714;16,61;9150,0;292925,0;47450,0
2003;10;0,23;137,1428;43,445;48,5393;99,7416;36,6583;29,6139;;;;0,4488;0,1449;0,122;33,4675;38,41;39,7406;56,2465;34,6698;13,24;23500,0;155850,0;42400,0
2003;11;0,29;130,7578;69,218;60,1874;98,9406;69,4078;52,5669;;;;0,387;0,2712;0,1959;35,2295;36,07;36,9875;73,0;143,6092;84,48;4650,0;26325,0;5625,0
2003;12;0,29;103,0807;72,3686;44,1799;83,9692;70,07;42,186;;;;0,3707;0,3098;0,1787;33,605;33,8975;36,53;49,8188;128,5146;30,92;29075,0;15100,0;12925,0
2004;1;0,34;93,7921;93,2125;66,4326;84,7308;82,8518;67,9122;;;;0,5489;0,5044;0,4005;32,2206;31,4167;33,9033;239,3357;380,68;357,22;200,0;2675,0;925,0
2004;2;0,27;168,3671;140,3181;167,1746;128,5803;115,6979;130,8961;;;;0,5961;0,6366;0,5694;29,7575;29,1875;29,01;151,38;245,3;134,67;2150,0;350,0;625,0
2004;3;0,19;133,2363;138,3204;143,7385;115,0139;121,3091;123,3922;;;;0,6313;0,6124;0,5566;29,6375;28,3225;28,0325;231,27;236,0;125,06;2625,0;35625,0;3100,0
2004;4;0,1;138,4366;142,0457;135,8916;116,6995;117,3252;113,7547;;;;0,6402;0,5443;0,5011;27,7675;29,2625;28,7675;99,49;102,42;22,49;575,0;12900,0;1475,0
2004;5;0,12;133,3979;129,1688;119,7174;110,4857;90,7854;83,1108;;;;0,6571;0,4667;0,4194;26,1575;29,3675;28,7025;100,48;3,72;27,02;0,0;19575,0;750,0
2004;6;0,22;133,3626;111,8976;104,7571;98,4996;63,9678;58,5787;;;;0,6692;0,3591;0,3399;24,4875;28,3825;28,3475;91,0;2,079;19,75;0,0;16950,0;500,0
2004;7;0,39;143,4824;97,0129;97,3043;95,2101;44,9097;46,9683;;;;0,6386;0,2256;0,2684;23,4475;28,97;28,885;75,22;0,59;16,31;0,0;31950,0;1450,0
2004;8;0,54;159,9698;66,0485;76,2025;98,2636;32,862;36,0498;;;;0,5353;0,1396;0,1747;27,375;33,4725;32,5425;30,69;1,26;8,12;1075,0;135300,0;12050,0
2004;9;0,58;154,0969;34,4751;58,7777;87,0741;27,9592;27,8229;;;;0,4138;0,1046;0,1188;30,955;37,58;36,005;28,34;3,9;6,51;2350,0;421875,0;41525,0
2004;10;0,61;51,3046;55,5294;51,3046;93,594;46,3392;31,6299;;;;0,397;0,1781;0,1233;33,1675;38,6825;38,445;55,56;82,79;29,32;6000,0;230750,0;53775,0
2004;11;0,64;141,3101;71,0707;70,2317;112,7146;69,0695;58,5819;;;;0,4922;0,2894;0,2342;33,23;36,3225;36,92;165,42;135,48;120,27;5225,0;40750,0;26775,0
2004;12;0,71;144,3258;93,9069;83,0884;116,088;85,0778;76,9055;;;;0,4894;0,3816;0,3145;32,18;32,445;33,6125;56,99;114,36;31,33;4825,0;27625,0;7950,0
2005;1;0,62;136,8877;110,1789;82,7942;109,3852;100,6223;78,2909;;;;0,4721;0,4869;0,334;33,7767;31,5889;33,85;111,46;224,32;127,36;2850,0;1850,0;1375,0
2005;2;0,55;141,6261;145,5368;120,0845;125,7583;130,9748;109,5004;;;;0,5653;0,5808;0,4507;31,945;29,5632;31,0225;192,78;244,18;177,15;350,0;1000,0;0,0
2005;3;0,4;149,3445;129,5443;129,7523;131,0724;121,498;115,6864;;;;0,5529;0,6087;0,4814;29,4575;28,6764;30,1725;104,43;225,92;105,19;1325,0;9800,0;850,0
2005;4;0,37;144,6076;147,8111;137,8136;125,4794;120,0517;111,2318;;;;0,6242;0,5628;0,5135;27,2025;29,6115;29,1775;154,06;66,91;92,168;0,0;11275,0;1300,0
2005;5;0,27;137,6949;144,1535;136,0588;113,2676;96,7676;92,5621;;;;0,6521;0,5168;0,5006;25,895;27,6128;27,39;158,49;50,17;64,4;550,0;11275,0;750,0
2005;6;0,09;134,6585;125,1374;115,4485;104,5393;74,9312;68,3059;;;;0,6821;0,4181;0,392;24,3325;28,1414;28,0875;165,6;2,21;38,54;0,0;16925,0;2000,0
2005;7;-0,04;145,9437;111,3333;104,585;99,1113;50,7619;53,4464;;;;0,6212;0,2552;0,3017;24,6825;29,4397;29,25;65,81;1,1;24,01;25,0;26175,0;3325,0
2005;8;-0,14;152,3595;74,648;83,343;94,1148;36,979;40,545;;;;0,5514;0,154;0,2007;26,37;33,2095;32,6225;66,74;1,046;23,07;600,0;111050,0;8125,0
2005;9;-0,11;150,9853;41,4428;59,3145;90,8353;32,223;32,5388;;;;0,4991;0,1187;0,1377;29,565;36,5473;36,1275;39,19;32,5;10,48;1625,0;274850,0;29525,0
2005;10;-0,27;139,3113;29,6069;43,9978;100,9037;35,4898;27,5553;;;;0,3909;0,1272;0,1043;34,1825;39,9565;39,1975;14,9;23,4;9,22;26250,0;611200,0;161825,0
2005;11;-0,57;122,8057;84,7962;77,7954;104,4383;83,0978;65,5434;;;;0,5495;0,4421;0,2963;31,955;34,5168;36,0775;174,15;207,55;98,52;4375,0;58875,0;24275,0
2005;12;-0,82;136,6099;97,8882;109,805;107,3686;92,4415;92,23;;;;0,5586;0,5474;0,4417;31,0;30,1122;32,2275;138,59;290,9;101,73;900,0;8050,0;500,0
2006;1;-0,86;147,257;144,6607;105,7926;102,9188;104,6399;79,7711;;;;0,4695;0,4746;0,3402;30,2633;31,8467;32,43;30,9;54,81;10,42;2525,0;9950,0;3575,0
2006;2;-0,8;128,05;115,0736;81,3846;105,7895;108,258;69,3933;;;;0,4048;0,5263;0,277;32,5925;31,32;33,8775;35,24;157,68;80,27;9550,0;1475,0;4250,0
2006;3;-0,63;104,7889;122,5624;104,4751;101,3977;115,1178;92,1398;;;;0,5125;0,5828;0,4354;30,7;29,7175;30,6375;189,5;309,91;203,18;1450,0;75,0;425,0
2006;4;-0,45;121,5422;125,1128;129,1943;114,2929;112,4923;114,9309;;;;0,6662;0,644;0,6182;27,705;28,4917;27,0975;180,2;183,28;154,88;0,0;6275,0;0,0
2006;5;-0,19;142,5229;141,6278;144,5753;116,002;99,6477;103,6023;;;;0,6697;0,5593;0,5615;26,2075;28,105;27,7775;86,22;43,34;42,73;0,0;8825,0;500,0
2006;6;-0,05;131,9209;147,145;132,0064;93,8542;80,8551;70,9963;;;;0,6918;0,4604;0,4428;24,73;27,31;27,3725;122,46;2,34;36,69;0,0;12425,0;575,0
2006;7;0,12;152,0145;111,7837;113,7655;99,1435;54,7335;56,822;;;;0,6042;0,2845;0,316;24,8075;29,435;28,5125;37,38;0,3;17,22;1225,0;39350,0;2175,0
2006;8;0,33;156,428;84,0617;87,4526;97,3404;40,561;41,9257;;;;0,5181;0,1704;0,1981;27,6;33,37;32,455;39,79;1,21;11,57;2925,0;166675,0;10025,0
2006;9;0,54;154,0615;66,4684;70,9813;95,6483;45,0996;37,9193;;;;0,5133;0,1841;0,1644;30,52;36,5925;35,9725;58,14;25,64;18,09;800,0;209975,0;15175,0
2006;10;0,71;139,8648;88,4258;73,3461;105,087;73,0982;54,5513;;;;0,5786;0,3595;0,2413;30,7925;34,685;37,14;138,22;182,22;101,96;125,0;32550,0;20275,0
2006;11;0,88;155,2218;126,5548;112,4457;130,755;104,4787;100,718;;;;0,5838;0,4342;0,4082;28,635;33,445;32,4;185,45;166,49;120,7;250,0;7025,0;18525,0
2006;12;0,88;137,3948;108,3522;91,4765;121,5058;92,7861;83,503;;;;0,5648;0,4169;0,3571;30,265;31,855;33,2975;109,93;177,39;59,81;1775,0;36225,0;8700,0
