ano,mes,bioma,precip_mm
2001,1,Caatinga,32.5637
2001,1,Cerrado,61.0265
2001,1,Mata Atlântica,51.8406
2001,2,Caatinga,36.1861
2001,2,Cerrado,105.2183
2001,2,Mata Atlântica,44.9889
2001,3,Caatinga,98.3254
2001,3,Cerrado,162.6670
2001,3,Mata Atlântica,114.9121
2001,4,Caatinga,24.8999
2001,4,Cerrado,41.5904
2001,4,Mata Atlântica,77.0118
2001,5,Caatinga,20.7117
2001,5,Cerrado,22.9986
2001,5,Mata Atlântica,112.8255
2001,6,Caatinga,38.1110
2001,6,Cerrado,1.4852
2001,6,Mata Atlântica,115.3052
2001,7,Caatinga,20.5434
2001,7,Cerrado,2.2261
2001,7,Mata Atlântica,97.9766
2001,8,Caatinga,25.1091
2001,8,Cerrado,1.1791
2001,8,Mata Atlântica,93.8078
2001,9,Caatinga,21.5019
2001,9,Cerrado,14.2006
2001,9,Mata Atlântica,77.5705
2001,10,Caatinga,61.9634
2001,10,Cerrado,134.2646
2001,10,Mata Atlântica,150.5010
2001,11,Caatinga,59.0875
2001,11,Cerrado,190.5673
2001,11,Mata Atlântica,64.8602
2001,12,Caatinga,124.4995
2001,12,Cerrado,201.2717
2001,12,Mata Atlântica,145.0824
2002,1,Caatinga,298.4355
2002,1,Cerrado,255.2499
2002,1,Mata Atlântica,273.7209
2002,2,Caatinga,107.9590
2002,2,Cerrado,129.0738
2002,2,Mata Atlântica,143.8333
2002,3,Caatinga,22.1820
2002,3,Cerrado,79.9737
2002,3,Mata Atlântica,84.7964
2002,4,Caatinga,28.0294
2002,4,Cerrado,49.7456
2002,4,Mata Atlântica,75.8432
2002,5,Caatinga,31.4519
2002,5,Cerrado,30.5164
2002,5,Mata Atlântica,89.3017
2002,6,Caatinga,24.0608
2002,6,Cerrado,1.7972
2002,6,Mata Atlântica,99.4698
2002,7,Caatinga,18.3788
2002,7,Cerrado,4.0742
2002,7,Mata Atlântica,83.0834
2002,8,Caatinga,16.5109
2002,8,Cerrado,1.3485
2002,8,Mata Atlântica,78.3624
2002,9,Caatinga,43.2551
2002,9,Cerrado,46.5698
2002,9,Mata Atlântica,113.9092
2002,10,Caatinga,11.5682
2002,10,Cerrado,41.3460
2002,10,Mata Atlântica,28.4100
2002,11,Caatinga,53.1731
2002,11,Cerrado,100.1976
2002,11,Mata Atlântica,70.4821
2002,12,Caatinga,139.5838
2002,12,Cerrado,263.8106
2002,12,Mata Atlântica,153.2356
2003,1,Caatinga,102.4499
2003,1,Cerrado,198.1685
2003,1,Mata Atlântica,62.1863
2003,2,Caatinga,38.1677
2003,2,Cerrado,141.8846
2003,2,Mata Atlântica,57.0523
2003,3,Caatinga,100.2463
2003,3,Cerrado,187.5367
2003,3,Mata Atlântica,86.4980
2003,4,Caatinga,31.8111
2003,4,Cerrado,67.2096
2003,4,Mata Atlântica,99.0799
2003,5,Caatinga,51.3603
2003,5,Cerrado,26.8456
2003,5,Mata Atlântica,144.1940
2003,6,Caatinga,24.9190
2003,6,Cerrado,1.2059
2003,6,Mata Atlântica,72.2189
2003,7,Caatinga,26.0713
2003,7,Cerrado,0.8464
2003,7,Mata Atlântica,91.3736
2003,8,Caatinga,25.2502
2003,8,Cerrado,17.4921
2003,8,Mata Atlântica,80.4738
2003,9,Caatinga,16.3470
2003,9,Cerrado,10.6481
2003,9,Mata Atlântica,71.2187
2003,10,Caatinga,13.2489
2003,10,Cerrado,34.8678
2003,10,Mata Atlântica,57.7815
2003,11,Caatinga,85.0760
2003,11,Cerrado,144.8161
2003,11,Mata Atlântica,73.4920
2003,12,Caatinga,31.6087
2003,12,Cerrado,129.1991
2003,12,Mata Atlântica,51.7571
2004,1,Caatinga,359.7677
2004,1,Cerrado,382.6679
2004,1,Mata Atlântica,240.1113
2004,2,Caatinga,135.3554
2004,2,Cerrado,246.5673
2004,2,Mata Atlântica,151.9341
2004,3,Caatinga,126.0406
2004,3,Cerrado,235.6825
2004,3,Mata Atlântica,234.1453
2004,4,Caatinga,22.7831
2004,4,Cerrado,104.2635
2004,4,Mata Atlântica,102.6471
2004,5,Caatinga,26.6775
2004,5,Cerrado,3.8545
2004,5,Mata Atlântica,102.6074
2004,6,Caatinga,19.2974
2004,6,Cerrado,2.0467
2004,6,Mata Atlântica,93.3228
2004,7,Caatinga,15.9137
2004,7,Cerrado,0.5899
2004,7,Mata Atlântica,77.1148
2004,8,Caatinga,7.9625
2004,8,Cerrado,1.2999
2004,8,Mata Atlântica,31.6840
2004,9,Caatinga,6.3835
2004,9,Cerrado,3.9074
2004,9,Mata Atlântica,28.9369
2004,10,Caatinga,29.7899
2004,10,Cerrado,82.5819
2004,10,Mata Atlântica,56.6498
2004,11,Caatinga,120.7172
2004,11,Cerrado,136.2597
2004,11,Mata Atlântica,166.3157
2004,12,Caatinga,32.1265
2004,12,Cerrado,114.2676
2004,12,Mata Atlântica,59.6426
2005,1,Caatinga,128.9158
2005,1,Cerrado,224.9177
2005,1,Mata Atlântica,112.4235
2005,2,Caatinga,178.2330
2005,2,Cerrado,245.6359
2005,2,Mata Atlântica,193.6391
2005,3,Caatinga,106.7223
2005,3,Cerrado,228.5861
2005,3,Mata Atlântica,107.3581
2005,4,Caatinga,92.1525
2005,4,Cerrado,68.0948
2005,4,Mata Atlântica,157.1154
2005,5,Caatinga,64.0641
2005,5,Cerrado,51.1666
2005,5,Mata Atlântica,162.0307
2005,6,Caatinga,37.9742
2005,6,Cerrado,2.2276
2005,6,Mata Atlântica,169.2060
2005,7,Caatinga,23.5854
2005,7,Cerrado,1.0910
2005,7,Mata Atlântica,66.6377
2005,8,Caatinga,22.7059
