ano,mes,bioma,variavel,fonte,planilha,gee,erro_pct
2001,1,Mata Atlântica,psn_g_c_m2,GEE,160.1861,161.6541,0.9164
2001,1,Cerrado,psn_g_c_m2,GEE,132.9859,133.7422,0.5687
2001,1,Caatinga,psn_g_c_m2,GEE,133.0722,133.5361,0.3486
2002,1,Mata Atlântica,psn_g_c_m2,GEE,126.7474,127.4268,0.5361
2002,1,Cerrado,psn_g_c_m2,GEE,122.8323,123.4223,0.4803
2002,1,Caatinga,psn_g_c_m2,GEE,118.6635,119.0026,0.2857
2003,1,Mata Atlântica,psn_g_c_m2,GEE,110.6001,111.4703,0.7868
2003,1,Cerrado,psn_g_c_m2,GEE,101.5544,102.0313,0.4696
2003,1,Caatinga,psn_g_c_m2,GEE,88.0533,88.1197,0.0755
2004,1,Mata Atlântica,psn_g_c_m2,GEE,93.7921,94.4286,0.6786
2004,1,Cerrado,psn_g_c_m2,GEE,93.2125,93.5186,0.3284
2004,1,Caatinga,psn_g_c_m2,GEE,66.4326,66.5498,0.1764
2005,1,Mata Atlântica,psn_g_c_m2,GEE,136.8877,137.7377,0.621
2005,1,Cerrado,psn_g_c_m2,GEE,110.1789,110.2379,0.0536
2005,1,Caatinga,psn_g_c_m2,GEE,82.7942,82.748,-0.0558
2006,1,Mata Atlântica,psn_g_c_m2,GEE,147.257,148.415,0.7863
2006,1,Cerrado,psn_g_c_m2,GEE,144.6607,144.6456,-0.0105
2006,1,Caatinga,psn_g_c_m2,GEE,105.7926,105.7733,-0.0182
2007,1,Mata Atlântica,psn_g_c_m2,GEE,137.6504,138.4285,0.5653
2007,1,Cerrado,psn_g_c_m2,GEE,101.0444,100.8879,-0.1549
2007,1,Caatinga,psn_g_c_m2,GEE,69.7334,69.6208,-0.1615
2008,1,Mata Atlântica,psn_g_c_m2,GEE,138.7391,139.7908,0.758
2008,1,Cerrado,psn_g_c_m2,GEE,100.2257,100.0337,-0.1916
2008,1,Caatinga,psn_g_c_m2,GEE,84.4671,84.3396,-0.151
2009,1,Mata Atlântica,psn_g_c_m2,GEE,147.6037,148.662,0.717
2009,1,Cerrado,psn_g_c_m2,GEE,132.132,132.012,-0.0908
2009,1,Caatinga,psn_g_c_m2,GEE,120.9374,120.8447,-0.0767
2010,1,Mata Atlântica,psn_g_c_m2,GEE,119.3985,120.338,0.7869
2010,1,Cerrado,psn_g_c_m2,GEE,140.445,140.5211,0.0542
2010,1,Caatinga,psn_g_c_m2,GEE,108.4332,108.5586,0.1157
2011,1,Mata Atlântica,psn_g_c_m2,GEE,132.4358,133.3873,0.7184
2011,1,Cerrado,psn_g_c_m2,GEE,132.3475,132.4659,0.0895
2011,1,Caatinga,psn_g_c_m2,GEE,122.9812,123.3571,0.3056
2012,1,Mata Atlântica,psn_g_c_m2,GEE,132.5033,133.5525,0.7918
2012,1,Cerrado,psn_g_c_m2,GEE,112.1602,112.1462,-0.0125
2012,1,Caatinga,psn_g_c_m2,GEE,83.5427,83.6962,0.1838
2013,1,Mata Atlântica,psn_g_c_m2,GEE,114.9082,115.5995,0.6016
2013,1,Cerrado,psn_g_c_m2,GEE,103.3536,103.1194,-0.2266
2013,1,Caatinga,psn_g_c_m2,GEE,72.9151,72.4909,-0.5817
2014,1,Mata Atlântica,psn_g_c_m2,GEE,167.0104,167.9127,0.5403
2014,1,Cerrado,psn_g_c_m2,GEE,139.3065,139.1113,-0.1401
2014,1,Caatinga,psn_g_c_m2,GEE,134.6564,134.524,-0.0983
2015,1,Mata Atlântica,psn_g_c_m2,GEE,142.7573,143.8444,0.7615
2015,1,Cerrado,psn_g_c_m2,GEE,134.9265,135.0173,0.0673
2015,1,Caatinga,psn_g_c_m2,GEE,102.3724,102.2092,-0.1595
2016,1,Mata Atlântica,psn_g_c_m2,GEE,79.1786,78.9811,-0.2495
2016,1,Cerrado,psn_g_c_m2,GEE,77.0069,76.7508,-0.3325
2016,1,Caatinga,psn_g_c_m2,GEE,63.7633,63.2525,-0.8011
2017,1,Mata Atlântica,psn_g_c_m2,GEE,131.0244,131.9101,0.6759
2017,1,Cerrado,psn_g_c_m2,GEE,102.5982,102.2788,-0.3113
2017,1,Caatinga,psn_g_c_m2,GEE,73.998,73.6047,-0.5315
2018,1,Mata Atlântica,psn_g_c_m2,GEE,147.9492,148.9676,0.6883
2018,1,Cerrado,psn_g_c_m2,GEE,128.9372,128.8096,-0.099
2018,1,Caatinga,psn_g_c_m2,GEE,77.9109,77.7279,-0.2348
2019,1,Mata Atlântica,psn_g_c_m2,GEE,136.4056,137.5977,0.874
2019,1,Cerrado,psn_g_c_m2,GEE,125.3466,124.8368,-0.4067
2019,1,Caatinga,psn_g_c_m2,GEE,85.6406,85.487,-0.1793
2020,1,Mata Atlântica,psn_g_c_m2,GEE,111.0858,111.6857,0.5401
2020,1,Cerrado,psn_g_c_m2,GEE,111.2765,111.1953,-0.073
2020,1,Caatinga,psn_g_c_m2,GEE,79.4768,79.3289,-0.1861
2001,2,Mata Atlântica,psn_g_c_m2,GEE,133.4854,134.8238,1.0027
2001,2,Cerrado,psn_g_c_m2,GEE,83.9807,84.1919,0.2514
2001,2,Caatinga,psn_g_c_m2,GEE,75.4696,75.7057,0.3128
2002,2,Mata Atlântica,psn_g_c_m2,GEE,174.1388,175.2254,0.624
2002,2,Cerrado,psn_g_c_m2,GEE,128.1137,128.5482,0.3392
2002,2,Caatinga,psn_g_c_m2,GEE,150.7345,150.7544,0.0132
2003,2,Mata Atlântica,psn_g_c_m2,GEE,137.0599,138.167,0.8077
2003,2,Cerrado,psn_g_c_m2,GEE,138.1667,138.6714,0.3653
2003,2,Caatinga,psn_g_c_m2,GEE,108.3954,108.6097,0.1977
2004,2,Mata Atlântica,psn_g_c_m2,GEE,168.3671,169.6719,0.775
2004,2,Cerrado,psn_g_c_m2,GEE,140.3181,140.65,0.2366
2004,2,Caatinga,psn_g_c_m2,GEE,167.1746,167.6231,0.2683
2005,2,Mata Atlântica,psn_g_c_m2,GEE,141.6261,142.454,0.5846
2005,2,Cerrado,psn_g_c_m2,GEE,145.5368,145.6418,0.0722
2005,2,Caatinga,psn_g_c_m2,GEE,120.0845,120.1886,0.0867
2006,2,Mata Atlântica,psn_g_c_m2,GEE,128.05,129.0758,0.8011
2006,2,Cerrado,psn_g_c_m2,GEE,115.0736,115.1121,0.0335
2006,2,Caatinga,psn_g_c_m2,GEE,81.3846,81.4492,0.0794
2007,2,Mata Atlântica,psn_g_c_m2,GEE,123.7807,124.5262,0.6023
2007,2,Cerrado,psn_g_c_m2,GEE,118.7659,118.8389,0.0614
2007,2,Caatinga,psn_g_c_m2,GEE,85.9671,86.028,0.0709
2008,2,Mata Atlântica,psn_g_c_m2,GEE,141.4098,142.4223,0.716
2008,2,Cerrado,psn_g_c_m2,GEE,119.5114,119.5116,0.0002
2008,2,Caatinga,psn_g_c_m2,GEE,97.4394,97.4223,-0.0175
2009,2,Mata Atlântica,psn_g_c_m2,GEE,157.7448,158.8439,0.6968
2009,2,Cerrado,psn_g_c_m2,GEE,150.2021,149.9456,-0.1708
2009,2,Caatinga,psn_g_c_m2,GEE,129.0292,129.053,0.0184
2010,2,Mata Atlântica,psn_g_c_m2,GEE,114.4203,115.4587,0.9075
2010,2,Cerrado,psn_g_c_m2,GEE,143.4659,143.5368,0.0494
2010,2,Caatinga,psn_g_c_m2,GEE,88.3058,88.412,0.1203
2011,2,Mata Atlântica,psn_g_c_m2,GEE,146.2805,147.4852,0.8236
2011,2,Cerrado,psn_g_c_m2,GEE,136.5406,136.6786,0.1011
2011,2,Caatinga,psn_g_c_m2,GEE,120.5256,120.8856,0.2987
2012,2,Mata Atlântica,psn_g_c_m2,GEE,149.0359,150.313,0.8569
2012,2,Cerrado,psn_g_c_m2,GEE,130.4423,130.6141,0.1317
2012,2,Caatinga,psn_g_c_m2,GEE,94.8272,95.0749,0.2612
2013,2,Mata Atlântica,psn_g_c_m2,GEE,143.6344,144.329,0.4836
2013,2,Cerrado,psn_g_c_m2,GEE,157.8855,157.7052,-0.1142
2013,2,Caatinga,psn_g_c_m2,GEE,117.632,117.3633,-0.2284
2014,2,Mata Atlântica,psn_g_c_m2,GEE,175.8002,176.6407,0.4781
2014,2,Cerrado,psn_g_c_m2,GEE,144.7045,143.4264,-0.8832
2014,2,Caatinga,psn_g_c_m2,GEE,126.2668,125.5599,-0.5599
2015,2,Mata Atlântica,psn_g_c_m2,GEE,125.4871,126.1687,0.5432
2015,2,Cerrado,psn_g_c_m2,GEE,128.8965,129.2754,0.2939
2015,2,Caatinga,psn_g_c_m2,GEE,96.1016,95.7949,-0.3191
2016,2,Mata Atlântica,psn_g_c_m2,GEE,149.1057,149.5746,0.3145
2016,2,Cerrado,psn_g_c_m2,GEE,166.4037,165.8256,-0.3474
2016,2,Caatinga,psn_g_c_m2,GEE,157.9442,157.5103,-0.2747
2017,2,Mata Atlântica,psn_g_c_m2,GEE,124.3516,125.3509,0.8036
2017,2,Cerrado,psn_g_c_m2,GEE,129.8955,129.6465,-0.1917
2017,2,Caatinga,psn_g_c_m2,GEE,80.5772,80.2987,-0.3457
2018,2,Mata Atlântica,psn_g_c_m2,GEE,132.6036,133.56,0.7213
2018,2,Cerrado,psn_g_c_m2,GEE,140.5314,140.454,-0.0551
2018,2,Caatinga,psn_g_c_m2,GEE,106.6119,106.9772,0.3427
2019,2,Mata Atlântica,psn_g_c_m2,GEE,115.0487,115.9743,0.8045
2019,2,Cerrado,psn_g_c_m2,GEE,131.2083,131.0066,-0.1537
2019,2,Caatinga,psn_g_c_m2,GEE,78.5975,78.3853,-0.2699
2020,2,Mata Atlântica,psn_g_c_m2,GEE,133.7453,134.5566,0.6066
2020,2,Cerrado,psn_g_c_m2,GEE,133.0095,133.008,-0.0011
2020,2,Caatinga,psn_g_c_m2,GEE,130.1509,130.0876,-0.0486
2001,3,Mata Atlântica,psn_g_c_m2,GEE,125.1755,126.124,0.7577
2001,3,Cerrado,psn_g_c_m2,GEE,99.9636,100.2236,0.2601
2001,3,Caatinga,psn_g_c_m2,GEE,93.8035,94.112,0.3289
2002,3,Mata Atlântica,psn_g_c_m2,GEE,157.4312,158.6779,0.7919
2002,3,Cerrado,psn_g_c_m2,GEE,69.8118,69.8906,0.1129
2002,3,Caatinga,psn_g_c_m2,GEE,96.5245,96.7163,0.1987
2003,3,Mata Atlântica,psn_g_c_m2,GEE,116.3219,117.1388,0.7023
2003,3,Cerrado,psn_g_c_m2,GEE,112.5683,112.8005,0.2063
2003,3,Caatinga,psn_g_c_m2,GEE,93.2057,93.3428,0.1471
2004,3,Mata Atlântica,psn_g_c_m2,GEE,133.2363,134.1104,0.656
2004,3,Cerrado,psn_g_c_m2,GEE,138.3204,138.2423,-0.0565
2004,3,Caatinga,psn_g_c_m2,GEE,143.7385,143.9117,0.1205
2005,3,Mata Atlântica,psn_g_c_m2,GEE,149.3445,150.1692,0.5522
2005,3,Cerrado,psn_g_c_m2,GEE,129.5443,129.3932,-0.1166
2005,3,Caatinga,psn_g_c_m2,GEE,129.7523,129.6457,-0.0822
2006,3,Mata Atlântica,psn_g_c_m2,GEE,104.7889,105.4282,0.6101
2006,3,Cerrado,psn_g_c_m2,GEE,122.5624,122.4905,-0.0587
2006,3,Caatinga,psn_g_c_m2,GEE,104.4751,104.5158,0.039
2007,3,Mata Atlântica,psn_g_c_m2,GEE,178.0709,179.1294,0.5944
2007,3,Cerrado,psn_g_c_m2,GEE,156.5263,156.4409,-0.0546
2007,3,Caatinga,psn_g_c_m2,GEE,146.3102,146.371,0.0416
2008,3,Mata Atlântica,psn_g_c_m2,GEE,126.6353,127.3072,0.5305
2008,3,Cerrado,psn_g_c_m2,GEE,128.8816,128.4399,-0.3427
2008,3,Caatinga,psn_g_c_m2,GEE,123.2533,123.1815,-0.0582
2009,3,Mata Atlântica,psn_g_c_m2,GEE,117.1768,117.9768,0.6827
2009,3,Cerrado,psn_g_c_m2,GEE,124.5187,123.9987,-0.4176
2009,3,Caatinga,psn_g_c_m2,GEE,111.0383,110.8559,-0.1642
2010,3,Mata Atlântica,psn_g_c_m2,GEE,110.8056,111.4208,0.5552
2010,3,Cerrado,psn_g_c_m2,GEE,133.6523,133.3163,-0.2514
2010,3,Caatinga,psn_g_c_m2,GEE,106.6179,106.6424,0.023
2011,3,Mata Atlântica,psn_g_c_m2,GEE,113.1684,113.7527,0.5163
2011,3,Cerrado,psn_g_c_m2,GEE,118.5277,118.4922,-0.0299
2011,3,Caatinga,psn_g_c_m2,GEE,118.116,118.422,0.259
2012,3,Mata Atlântica,psn_g_c_m2,GEE,133.7942,134.8679,0.8025
2012,3,Cerrado,psn_g_c_m2,GEE,123.1085,122.8971,-0.1717
2012,3,Caatinga,psn_g_c_m2,GEE,78.0785,78.0087,-0.0893
2013,3,Mata Atlântica,psn_g_c_m2,GEE,122.3324,123.077,0.6086
2013,3,Cerrado,psn_g_c_m2,GEE,116.5268,116.1413,-0.3308
2013,3,Caatinga,psn_g_c_m2,GEE,72.4323,71.9972,-0.6007
2014,3,Mata Atlântica,psn_g_c_m2,GEE,147.848,148.4774,0.4257
2014,3,Cerrado,psn_g_c_m2,GEE,133.1874,132.601,-0.4403
2014,3,Caatinga,psn_g_c_m2,GEE,115.9464,115.3832,-0.4857
2015,3,Mata Atlântica,psn_g_c_m2,GEE,116.1842,117.0259,0.7245
2015,3,Cerrado,psn_g_c_m2,GEE,128.2967,128.0122,-0.2217
2015,3,Caatinga,psn_g_c_m2,GEE,102.8296,102.5011,-0.3194
2016,3,Mata Atlântica,psn_g_c_m2,GEE,121.389,122.0626,0.5549
2016,3,Cerrado,psn_g_c_m2,GEE,120.1762,119.5662,-0.5076
2016,3,Caatinga,psn_g_c_m2,GEE,103.8888,103.4657,-0.4072
2017,3,Mata Atlântica,psn_g_c_m2,GEE,110.5155,111.2588,0.6726
2017,3,Cerrado,psn_g_c_m2,GEE,132.4033,131.8733,-0.4003
2017,3,Caatinga,psn_g_c_m2,GEE,88.6326,88.1497,-0.5449
2018,3,Mata Atlântica,psn_g_c_m2,GEE,128.7107,129.3485,0.4955
2018,3,Cerrado,psn_g_c_m2,GEE,141.6083,141.0566,-0.3896
2018,3,Caatinga,psn_g_c_m2,GEE,131.4366,131.402,-0.0263
2019,3,Mata Atlântica,psn_g_c_m2,GEE,90.2379,90.4925,0.2821
2019,3,Cerrado,psn_g_c_m2,GEE,125.0221,124.3213,-0.5605
2019,3,Caatinga,psn_g_c_m2,GEE,92.961,92.5266,-0.4673
2020,3,Mata Atlântica,psn_g_c_m2,GEE,112.4126,112.9185,0.45
2020,3,Cerrado,psn_g_c_m2,GEE,116.3626,116.3478,-0.0127
2020,3,Caatinga,psn_g_c_m2,GEE,113.5891,113.545,-0.0388
2001,4,Mata Atlântica,psn_g_c_m2,GEE,134.0681,134.8856,0.6097
2001,4,Cerrado,psn_g_c_m2,GEE,82.8587,82.8162,-0.0513
2001,4,Caatinga,psn_g_c_m2,GEE,88.8666,88.9669,0.1128
2002,4,Mata Atlântica,psn_g_c_m2,GEE,147.6852,148.6969,0.6851
2002,4,Cerrado,psn_g_c_m2,GEE,82.3594,82.1981,-0.1958
2002,4,Caatinga,psn_g_c_m2,GEE,89.8433,89.8385,-0.0053
2003,4,Mata Atlântica,psn_g_c_m2,GEE,119.8185,120.6033,0.655
2003,4,Cerrado,psn_g_c_m2,GEE,131.4172,131.2246,-0.1466
2003,4,Caatinga,psn_g_c_m2,GEE,99.2552,99.1833,-0.0725
2004,4,Mata Atlântica,psn_g_c_m2,GEE,138.4366,139.2546,0.5909
2004,4,Cerrado,psn_g_c_m2,GEE,142.0457,141.7976,-0.1747
2004,4,Caatinga,psn_g_c_m2,GEE,135.8916,135.7719,-0.0881
2005,4,Mata Atlântica,psn_g_c_m2,GEE,144.6076,145.3732,0.5295
2005,4,Cerrado,psn_g_c_m2,GEE,147.8111,147.4452,-0.2476
2005,4,Caatinga,psn_g_c_m2,GEE,137.8136,137.6812,-0.0961
2006,4,Mata Atlântica,psn_g_c_m2,GEE,121.5422,122.0868,0.4481
2006,4,Cerrado,psn_g_c_m2,GEE,125.1128,124.6658,-0.3573
2006,4,Caatinga,psn_g_c_m2,GEE,129.1943,129.0389,-0.1203
2007,4,Mata Atlântica,psn_g_c_m2,GEE,127.5115,128.1774,0.5222
2007,4,Cerrado,psn_g_c_m2,GEE,107.0564,106.4966,-0.5229
2007,4,Caatinga,psn_g_c_m2,GEE,89.2494,89.0125,-0.2655
2008,4,Mata Atlântica,psn_g_c_m2,GEE,130.3746,131.2094,0.6403
2008,4,Cerrado,psn_g_c_m2,GEE,132.5148,131.831,-0.516
2008,4,Caatinga,psn_g_c_m2,GEE,139.5168,139.2445,-0.1952
2009,4,Mata Atlântica,psn_g_c_m2,GEE,112.1125,112.5995,0.4344
2009,4,Cerrado,psn_g_c_m2,GEE,105.9172,105.4231,-0.4665
2009,4,Caatinga,psn_g_c_m2,GEE,103.9932,103.7594,-0.2248
2010,4,Mata Atlântica,psn_g_c_m2,GEE,139.4158,140.2495,0.598
2010,4,Cerrado,psn_g_c_m2,GEE,149.0787,148.4581,-0.4163
2010,4,Caatinga,psn_g_c_m2,GEE,129.9455,129.875,-0.0542
2011,4,Mata Atlântica,psn_g_c_m2,GEE,145.6617,146.504,0.5782
2011,4,Cerrado,psn_g_c_m2,GEE,158.0101,157.6947,-0.1996
2011,4,Caatinga,psn_g_c_m2,GEE,147.5885,147.5681,-0.0138
2012,4,Mata Atlântica,psn_g_c_m2,GEE,119.692,120.4575,0.6396
2012,4,Cerrado,psn_g_c_m2,GEE,110.5091,109.9788,-0.4799
2012,4,Caatinga,psn_g_c_m2,GEE,53.6223,53.3459,-0.5155
2013,4,Mata Atlântica,psn_g_c_m2,GEE,115.6472,116.0909,0.3836
2013,4,Cerrado,psn_g_c_m2,GEE,124.3222,123.461,-0.6927
2013,4,Caatinga,psn_g_c_m2,GEE,79.4457,78.9522,-0.6211
2014,4,Mata Atlântica,psn_g_c_m2,GEE,129.0555,129.6018,0.4233
2014,4,Cerrado,psn_g_c_m2,GEE,138.7966,137.5954,-0.8654
2014,4,Caatinga,psn_g_c_m2,GEE,108.9511,108.0855,-0.7945
2015,4,Mata Atlântica,psn_g_c_m2,GEE,104.7385,105.2242,0.4638
2015,4,Cerrado,psn_g_c_m2,GEE,116.6306,115.952,-0.5818
2015,4,Caatinga,psn_g_c_m2,GEE,88.4401,87.6562,-0.8863
2016,4,Mata Atlântica,psn_g_c_m2,GEE,106.074,105.8757,-0.1869
2016,4,Cerrado,psn_g_c_m2,GEE,86.9912,82.9952,-4.5936
2016,4,Caatinga,psn_g_c_m2,GEE,74.5405,69.8612,-6.2775
2017,4,Mata Atlântica,psn_g_c_m2,GEE,129.8028,130.338,0.4123
2017,4,Cerrado,psn_g_c_m2,GEE,140.801,139.7765,-0.7277
2017,4,Caatinga,psn_g_c_m2,GEE,100.5546,99.9276,-0.6235
2018,4,Mata Atlântica,psn_g_c_m2,GEE,142.1788,143.0091,0.584
2018,4,Cerrado,psn_g_c_m2,GEE,147.4862,146.6212,-0.5865
2018,4,Caatinga,psn_g_c_m2,GEE,133.6062,132.9883,-0.4625
2019,4,Mata Atlântica,psn_g_c_m2,GEE,137.7237,138.1798,0.3312
2019,4,Cerrado,psn_g_c_m2,GEE,144.7827,143.2932,-1.0288
2019,4,Caatinga,psn_g_c_m2,GEE,131.9038,131.1571,-0.5661
2020,4,Mata Atlântica,psn_g_c_m2,GEE,138.2367,138.9033,0.4822
2020,4,Cerrado,psn_g_c_m2,GEE,135.7853,135.8324,0.0347
2020,4,Caatinga,psn_g_c_m2,GEE,142.7156,142.6554,-0.0421
2001,5,Mata Atlântica,psn_g_c_m2,GEE,112.1725,112.7375,0.5037
2001,5,Cerrado,psn_g_c_m2,GEE,49.8018,49.6629,-0.279
2001,5,Caatinga,psn_g_c_m2,GEE,61.6095,61.589,-0.0333
2002,5,Mata Atlântica,psn_g_c_m2,GEE,133.2083,134.161,0.7152
2002,5,Cerrado,psn_g_c_m2,GEE,48.2556,48.0834,-0.3568
2002,5,Caatinga,psn_g_c_m2,GEE,76.5227,76.4822,-0.0529
2003,5,Mata Atlântica,psn_g_c_m2,GEE,119.434,120.1291,0.582
2003,5,Cerrado,psn_g_c_m2,GEE,104.864,104.8188,-0.0431
2003,5,Caatinga,psn_g_c_m2,GEE,87.3562,87.225,-0.1502
2004,5,Mata Atlântica,psn_g_c_m2,GEE,133.3979,134.1741,0.5819
2004,5,Cerrado,psn_g_c_m2,GEE,129.1688,128.9386,-0.1783
2004,5,Caatinga,psn_g_c_m2,GEE,119.7174,119.4531,-0.2208
2005,5,Mata Atlântica,psn_g_c_m2,GEE,137.6949,138.4025,0.5139
2005,5,Cerrado,psn_g_c_m2,GEE,144.1535,143.8221,-0.2299
2005,5,Caatinga,psn_g_c_m2,GEE,136.0588,135.8446,-0.1574
2006,5,Mata Atlântica,psn_g_c_m2,GEE,142.5229,143.2831,0.5334
2006,5,Cerrado,psn_g_c_m2,GEE,141.6278,141.2273,-0.2828
2006,5,Caatinga,psn_g_c_m2,GEE,144.5753,144.2658,-0.2141
2007,5,Mata Atlântica,psn_g_c_m2,GEE,136.3136,137.1144,0.5875
2007,5,Cerrado,psn_g_c_m2,GEE,96.6767,96.2605,-0.4305
2007,5,Caatinga,psn_g_c_m2,GEE,95.4182,95.1666,-0.2637
2008,5,Mata Atlântica,psn_g_c_m2,GEE,120.4909,121.1146,0.5176
2008,5,Cerrado,psn_g_c_m2,GEE,125.8175,125.177,-0.509
2008,5,Caatinga,psn_g_c_m2,GEE,126.2727,125.7519,-0.4124
2009,5,Mata Atlântica,psn_g_c_m2,GEE,131.3021,131.9882,0.5225
2009,5,Cerrado,psn_g_c_m2,GEE,134.1444,133.3124,-0.6203
2009,5,Caatinga,psn_g_c_m2,GEE,130.6615,130.2421,-0.321
2010,5,Mata Atlântica,psn_g_c_m2,GEE,127.7028,128.4787,0.6076
2010,5,Cerrado,psn_g_c_m2,GEE,123.2841,122.7961,-0.3958
2010,5,Caatinga,psn_g_c_m2,GEE,105.3272,105.0909,-0.2243
2011,5,Mata Atlântica,psn_g_c_m2,GEE,141.0111,141.934,0.6545
2011,5,Cerrado,psn_g_c_m2,GEE,145.4403,145.1403,-0.2063
2011,5,Caatinga,psn_g_c_m2,GEE,119.6309,119.5284,-0.0857
2012,5,Mata Atlântica,psn_g_c_m2,GEE,109.6644,110.2258,0.512
2012,5,Cerrado,psn_g_c_m2,GEE,94.2707,93.7216,-0.5825
2012,5,Caatinga,psn_g_c_m2,GEE,54.2751,54.0043,-0.499
2013,5,Mata Atlântica,psn_g_c_m2,GEE,133.0986,133.7872,0.5174
2013,5,Cerrado,psn_g_c_m2,GEE,120.7658,120.1187,-0.5358
2013,5,Caatinga,psn_g_c_m2,GEE,85.3722,84.9121,-0.5389
2014,5,Mata Atlântica,psn_g_c_m2,GEE,127.0025,127.5278,0.4136
2014,5,Cerrado,psn_g_c_m2,GEE,140.9309,139.6824,-0.8859
2014,5,Caatinga,psn_g_c_m2,GEE,110.2552,109.266,-0.8972
2015,5,Mata Atlântica,psn_g_c_m2,GEE,121.0026,121.483,0.397
2015,5,Cerrado,psn_g_c_m2,GEE,143.1704,142.9887,-0.1269
2015,5,Caatinga,psn_g_c_m2,GEE,107.581,107.2067,-0.3479
2016,5,Mata Atlântica,psn_g_c_m2,GEE,99.7671,100.2105,0.4444
2016,5,Cerrado,psn_g_c_m2,GEE,69.3422,69.1521,-0.2742
2016,5,Caatinga,psn_g_c_m2,GEE,62.9337,62.6946,-0.3799
2017,5,Mata Atlântica,psn_g_c_m2,GEE,126.4993,126.8522,0.2789
2017,5,Cerrado,psn_g_c_m2,GEE,120.766,120.3385,-0.354
2017,5,Caatinga,psn_g_c_m2,GEE,82.0971,81.6005,-0.6049
2018,5,Mata Atlântica,psn_g_c_m2,GEE,138.5633,139.3573,0.573
2018,5,Cerrado,psn_g_c_m2,GEE,147.4493,146.6775,-0.5235
2018,5,Caatinga,psn_g_c_m2,GEE,108.583,108.0424,-0.4979
2019,5,Mata Atlântica,psn_g_c_m2,GEE,126.2976,126.8781,0.4596
2019,5,Cerrado,psn_g_c_m2,GEE,137.9319,137.0799,-0.6177
2019,5,Caatinga,psn_g_c_m2,GEE,105.4581,104.8418,-0.5844
2020,5,Mata Atlântica,psn_g_c_m2,GEE,133.649,134.2821,0.4737
2020,5,Cerrado,psn_g_c_m2,GEE,145.4399,145.497,0.0392
2020,5,Caatinga,psn_g_c_m2,GEE,139.7726,139.7319,-0.0291
2001,6,Mata Atlântica,psn_g_c_m2,GEE,127.6461,128.5406,0.7008
2001,6,Cerrado,psn_g_c_m2,GEE,71.5369,71.355,-0.2542
2001,6,Caatinga,psn_g_c_m2,GEE,76.5246,76.5573,0.0427
2002,6,Mata Atlântica,psn_g_c_m2,GEE,120.7572,121.4911,0.6078
2002,6,Cerrado,psn_g_c_m2,GEE,60.1403,59.9388,-0.3351
2002,6,Caatinga,psn_g_c_m2,GEE,76.0779,76.0609,-0.0223
2003,6,Mata Atlântica,psn_g_c_m2,GEE,137.0808,137.9318,0.6208
2003,6,Cerrado,psn_g_c_m2,GEE,95.0396,94.882,-0.1659
2003,6,Caatinga,psn_g_c_m2,GEE,92.4669,92.4735,0.0072
2004,6,Mata Atlântica,psn_g_c_m2,GEE,133.3626,133.9969,0.4756
2004,6,Cerrado,psn_g_c_m2,GEE,111.8976,111.5966,-0.269
2004,6,Caatinga,psn_g_c_m2,GEE,104.7571,104.4621,-0.2816
2005,6,Mata Atlântica,psn_g_c_m2,GEE,134.6585,135.3305,0.499
2005,6,Cerrado,psn_g_c_m2,GEE,125.1374,124.809,-0.2624
2005,6,Caatinga,psn_g_c_m2,GEE,115.4485,115.1956,-0.2191
2006,6,Mata Atlântica,psn_g_c_m2,GEE,131.9209,132.6416,0.5463
2006,6,Cerrado,psn_g_c_m2,GEE,147.145,146.7362,-0.2778
2006,6,Caatinga,psn_g_c_m2,GEE,132.0064,131.6658,-0.2581
2007,6,Mata Atlântica,psn_g_c_m2,GEE,126.4576,127.1261,0.5286
2007,6,Cerrado,psn_g_c_m2,GEE,81.2682,80.9264,-0.4206
2007,6,Caatinga,psn_g_c_m2,GEE,88.3676,88.073,-0.3334
2008,6,Mata Atlântica,psn_g_c_m2,GEE,125.1638,125.7794,0.4918
2008,6,Cerrado,psn_g_c_m2,GEE,115.0649,114.6082,-0.3969
2008,6,Caatinga,psn_g_c_m2,GEE,111.4548,111.0879,-0.3292
2009,6,Mata Atlântica,psn_g_c_m2,GEE,134.4594,135.2724,0.6046
2009,6,Cerrado,psn_g_c_m2,GEE,135.8706,135.0779,-0.5834
2009,6,Caatinga,psn_g_c_m2,GEE,128.7694,128.3264,-0.344
2010,6,Mata Atlântica,psn_g_c_m2,GEE,132.278,132.9334,0.4955
2010,6,Cerrado,psn_g_c_m2,GEE,122.3063,121.9867,-0.2613
2010,6,Caatinga,psn_g_c_m2,GEE,95.4798,95.3406,-0.1458
2011,6,Mata Atlântica,psn_g_c_m2,GEE,130.5881,131.4035,0.6244
2011,6,Cerrado,psn_g_c_m2,GEE,125.118,124.9667,-0.1209
