ano,mes,bioma,planilha,gee_v61,dif,dif_pct
2001,1,Mata Atlântica,160.18610294089302,161.6541,1.468,0.92
2001,1,Cerrado,132.98588818537306,133.7422,0.756,0.57
2001,1,Caatinga,133.07224490755476,133.5361,0.464,0.35
2002,1,Mata Atlântica,126.74736981084071,127.4268,0.679,0.54
2002,1,Cerrado,122.83234625892341,123.4223,0.59,0.48
2002,1,Caatinga,118.66352493899674,119.0026,0.339,0.29
2003,1,Mata Atlântica,110.60006630405033,111.4703,0.87,0.79
2003,1,Cerrado,101.55440006779578,102.0313,0.477,0.47
2003,1,Caatinga,88.05325921317862,88.1197,0.066,0.07
2004,1,Mata Atlântica,93.79214279243595,94.4286,0.636,0.68
2004,1,Cerrado,93.21252587741068,93.5186,0.306,0.33
2004,1,Caatinga,66.43259331773692,66.5498,0.117,0.18
2005,1,Mata Atlântica,136.88768385364565,137.7377,0.85,0.62
2005,1,Cerrado,110.17886688216042,110.2379,0.059,0.05
2005,1,Caatinga,82.79419131258783,82.748,-0.046,-0.06
2006,1,Mata Atlântica,147.25704623734876,148.415,1.158,0.79
2006,1,Cerrado,144.66072283224983,144.6456,-0.015,-0.01
2006,1,Caatinga,105.79258118184612,105.7733,-0.019,-0.02
2007,1,Mata Atlântica,137.65039830539507,138.4285,0.778,0.57
2007,1,Cerrado,101.04444913005668,100.8879,-0.157,-0.16
2007,1,Caatinga,69.73343249321704,69.6208,-0.113,-0.16
2008,1,Mata Atlântica,138.73911021334914,139.7908,1.052,0.76
2008,1,Cerrado,100.2257486274407,100.0337,-0.192,-0.19
2008,1,Caatinga,84.46711583033694,84.3396,-0.128,-0.15
2009,1,Mata Atlântica,147.60371457593274,148.662,1.058,0.72
2009,1,Cerrado,132.13197271224982,132.012,-0.12,-0.09
2009,1,Caatinga,120.93741448579962,120.8447,-0.093,-0.08
2010,1,Mata Atlântica,119.39848348759304,120.338,0.94,0.79
2010,1,Cerrado,140.4450040051896,140.5211,0.076,0.05
2010,1,Caatinga,108.43317536059257,108.5586,0.125,0.12
2011,1,Mata Atlântica,132.435846590931,133.3873,0.951,0.72
2011,1,Cerrado,132.34747108091693,132.4659,0.118,0.09
2011,1,Caatinga,122.98124689560056,123.3571,0.376,0.31
2012,1,Mata Atlântica,132.5033273454094,133.5525,1.049,0.79
2012,1,Cerrado,112.1601690452314,112.1462,-0.014,-0.01
2012,1,Caatinga,83.54268555266749,83.6962,0.154,0.18
2013,1,Mata Atlântica,114.90815925307716,115.5995,0.691,0.6
2013,1,Cerrado,103.35361687788914,103.1194,-0.234,-0.23
2013,1,Caatinga,72.91506851379438,72.4909,-0.424,-0.58
2014,1,Mata Atlântica,167.01035056339168,167.9127,0.902,0.54
2014,1,Cerrado,139.3064593518655,139.1113,-0.195,-0.14
2014,1,Caatinga,134.6563557002802,134.524,-0.132,-0.1
2015,1,Mata Atlântica,142.75729460200222,143.8444,1.087,0.76
2015,1,Cerrado,134.92650910903194,135.0173,0.091,0.07
2015,1,Caatinga,102.37244034730693,102.2092,-0.163,-0.16
2016,1,Mata Atlântica,79.17862503903073,78.9811,-0.198,-0.25
2016,1,Cerrado,77.00685845841565,76.7508,-0.256,-0.33
2016,1,Caatinga,63.7633226357135,63.2525,-0.511,-0.8
2017,1,Mata Atlântica,131.02444711288265,131.9101,0.886,0.68
2017,1,Cerrado,102.59822439957468,102.2788,-0.319,-0.31
2017,1,Caatinga,73.99800462465097,73.6047,-0.393,-0.53
2018,1,Mata Atlântica,147.94920589335072,148.9676,1.018,0.69
2018,1,Cerrado,128.93724160473923,128.8096,-0.128,-0.1
2018,1,Caatinga,77.91085032816216,77.7279,-0.183,-0.23
2019,1,Mata Atlântica,136.40556934748332,137.5977,1.192,0.87
2019,1,Cerrado,125.3466466373558,124.8368,-0.51,-0.41
2019,1,Caatinga,85.64058209599405,85.487,-0.154,-0.18
2020,1,Mata Atlântica,111.0857662165444,111.6857,0.6,0.54
2020,1,Cerrado,111.27648015463866,111.1953,-0.081,-0.07
2020,1,Caatinga,79.47679705546206,79.3289,-0.148,-0.19
2001,2,Mata Atlântica,133.4854046281769,134.8238,1.338,1.0
2001,2,Cerrado,83.98073812665707,84.1919,0.211,0.25
2001,2,Caatinga,75.46964798954505,75.7057,0.236,0.31
2002,2,Mata Atlântica,174.13882159970086,175.2254,1.087,0.62
2002,2,Cerrado,128.11368970512868,128.5482,0.435,0.34
2002,2,Caatinga,150.73450921317863,150.7544,0.02,0.01
2003,2,Mata Atlântica,137.0599395169451,138.167,1.107,0.81
2003,2,Cerrado,138.1666967308709,138.6714,0.505,0.37
2003,2,Caatinga,108.39538950082915,108.6097,0.214,0.2
2004,2,Mata Atlântica,168.36708472831776,169.6719,1.305,0.78
2004,2,Cerrado,140.3180586998543,140.65,0.332,0.24
2004,2,Caatinga,167.17456581927257,167.6231,0.449,0.27
2005,2,Mata Atlântica,141.62606900619286,142.454,0.828,0.58
2005,2,Cerrado,145.53678062816027,145.6418,0.105,0.07
2005,2,Caatinga,120.08446353038617,120.1886,0.104,0.09
2006,2,Mata Atlântica,128.04996424599526,129.0758,1.026,0.8
