ano,mes,bioma,psn_g_c_m2_planilha,ida_planilha,et_mm_planilha,precip_mm_planilha,lst_dia_c_planilha,area_queimada_ha_planilha,psn_g_c_m2_gee,et_mm_gee,pet_mm,ida_gee,lst_dia_c_gee,precip_mm_gee,precip_v06_mm,area_queimada_ha_gee,oni
2001,1,Mata Atlântica,160.1861,0.5495,107.2975,51.3,29.0908,5300,161.6541,116.8653,217.5747,0.5371,29.1096,49.6914,51.8426,5200,-0.76
2001,1,Cerrado,132.9859,0.4032,95.5944,59.99,31.1975,7000,133.7422,92.6071,218.4159,0.424,31.5003,58.2959,61.0221,7850,-0.76
2001,1,Caatinga,133.0722,0.4699,106.9931,32.41,29.8057,6275,133.5361,106.2291,219.3035,0.4844,30.0072,28.6891,32.5631,7050,-0.76
2002,1,Mata Atlântica,126.7474,0.6734,87.9578,273.05,26.8958,0,127.4268,109.8093,169.6583,0.6472,27.161,243.5593,273.7176,0,-0.15
2002,1,Cerrado,122.8323,0.5697,88.8725,252.39,27.9746,3525,123.4223,100.6081,180.2731,0.5581,28.86,211.3305,255.2443,3000,-0.15
2002,1,Caatinga,118.6635,0.5569,89.6959,297.54,26.9724,650,119.0026,101.7676,186.3313,0.5462,29.1911,277.4657,298.4356,775,-0.15
2003,1,Mata Atlântica,110.6001,0.4998,103.1607,77.5217,32.3567,5475,111.4703,99.2413,195.3377,0.508,31.0521,60.3205,62.1784,5525,0.9
2003,1,Cerrado,101.5544,0.4947,90.6093,79.3121,31.4833,3800,102.0313,89.838,177.4825,0.5062,29.3792,205.4086,198.1609,3925,0.9
2003,1,Caatinga,88.0533,0.3942,84.4534,45.395,32.6733,2325,88.1197,81.134,202.9383,0.3998,32.2105,110.7303,102.4454,2250,0.9
2004,1,Mata Atlântica,93.7921,0.5489,84.7308,239.3357,32.2206,200,94.4286,92.9323,169.0055,0.5499,30.9372,245.0996,240.1157,350,0.34
2004,1,Cerrado,93.2125,0.5044,82.8518,380.68,31.4167,2675,93.5186,87.9128,167.6782,0.5243,31.4349,395.321,382.6681,2625,0.34
2004,1,Caatinga,66.4326,0.4005,67.9122,357.22,33.9033,925,66.5498,72.3068,172.4584,0.4193,34.177,367.2297,359.7657,700,0.34
2005,1,Mata Atlântica,136.8877,0.4721,109.3852,111.46,33.7767,2850,137.7377,104.6752,216.484,0.4835,32.282,121.0728,112.4231,2850,0.62
2005,1,Cerrado,110.1789,0.4869,100.6223,224.32,31.5889,1850,110.2379,97.7749,194.1116,0.5037,31.857,211.5991,224.9151,1600,0.62
2005,1,Caatinga,82.7942,0.334,78.2909,127.36,33.85,1375,82.748,74.7744,217.9142,0.3431,34.3983,132.0517,128.9105,1600,0.62
2006,1,Mata Atlântica,147.257,0.4695,102.9188,30.9,30.2633,2525,148.415,102.0154,214.896,0.4747,28.6348,61.9942,31.6395,2400,-0.86
2006,1,Cerrado,144.6607,0.4746,104.6399,54.81,31.8467,9950,144.6456,98.8902,200.8347,0.4924,30.4567,40.3886,56.1905,9650,-0.86
2006,1,Caatinga,105.7926,0.3402,79.7711,10.42,32.43,3575,105.7733,76.4845,217.4676,0.3517,31.9693,10.7552,10.849,3500,-0.86
