ano;mes;bioma;psn_g_c_m2;et_mm;pet_mm;ida;lst_dia_c;precip_mm;area_queimada_ha;oni;fonte
2001;1;Caatinga;133,0722;106,9931;;0,4699;29,8057;32,41;6275,0;-0,76;planilha Benfica 2001-2020 corrigida
2001;1;Cerrado;132,9859;95,5944;;0,4032;31,1975;59,99;7000,0;-0,76;planilha Benfica 2001-2020 corrigida
2001;1;Mata Atlântica;160,1861;107,2975;;0,5495;29,0908;51,3;5300,0;-0,76;planilha Benfica 2001-2020 corrigida
2001;2;Caatinga;75,4696;78,6215;;0,3068;33,4845;34,95;425,0;-0,54;planilha Benfica 2001-2020 corrigida
2001;2;Cerrado;83,9807;83,9749;;0,3224;31,3594;102,81;1700,0;-0,54;planilha Benfica 2001-2020 corrigida
2001;2;Mata Atlântica;133,4854;104,9693;;0,4434;32,0178;44,28;11225,0;-0,54;planilha Benfica 2001-2020 corrigida
2001;3;Caatinga;93,8035;80,7663;;0,3801;31,5951;97,51;775,0;-0,43;planilha Benfica 2001-2020 corrigida
2001;3;Cerrado;99,9636;89,2413;;0,4304;30,2487;160,98;11950,0;-0,43;planilha Benfica 2001-2020 corrigida
2001;3;Mata Atlântica;125,1755;98,5551;;0,5598;29,1505;113,51;100,0;-0,43;planilha Benfica 2001-2020 corrigida
2001;4;Caatinga;88,8666;68,3464;;0,3165;31,6978;24,82;450,0;-0,29;planilha Benfica 2001-2020 corrigida
2001;4;Cerrado;82,8587;72,8252;;0,2976;30,7817;40,55;14775,0;-0,29;planilha Benfica 2001-2020 corrigida
2001;4;Mata Atlântica;134,0681;111,5411;;0,5786;27,8595;75,49;0,0;-0,29;planilha Benfica 2001-2020 corrigida
2001;5;Caatinga;61,6095;43,8693;;0,2181;32,8616;20,86;275,0;-0,19;planilha Benfica 2001-2020 corrigida
2001;5;Cerrado;49,8018;43,9848;;0,1978;30,727;22,57;5650,0;-0,19;planilha Benfica 2001-2020 corrigida
2001;5;Mata Atlântica;112,1725;97,9127;;0,6082;27,7867;109,85;0,0;-0,19;planilha Benfica 2001-2020 corrigida
2001;6;Caatinga;76,5246;33,0466;;0,237;29,456;38,9;3350,0;-0,08;planilha Benfica 2001-2020 corrigida
2001;6;Cerrado;71,5369;35,7193;;0,1902;29,4131;1,46;10875,0;-0,08;planilha Benfica 2001-2020 corrigida
2001;6;Mata Atlântica;127,6461;71,2621;;0,6489;24,2104;113,79;0,0;-0,08;planilha Benfica 2001-2020 corrigida
2001;7;Caatinga;75,4298;33,6451;;0,2055;29,5154;21,09;2950,0;-0,05;planilha Benfica 2001-2020 corrigida
