ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2021,1,Caatinga,75.4736,69.2335,228.8373,0.3025,32.7374,50.5572,5500.0,-0.99
2021,1,Cerrado,129.5735,103.3085,222.207,0.4649,31.7309,118.2898,2925.0,-0.99
2021,1,Mata Atlântica,143.7253,103.5387,224.637,0.4609,30.1122,53.4475,1325.0,-0.99
2021,2,Caatinga,86.4771,78.3583,218.2045,0.3591,31.8845,116.3057,250.0,-0.85
2021,2,Cerrado,127.3835,113.7485,201.5446,0.5644,28.7445,249.5516,6700.0,-0.85
2021,2,Mata Atlântica,122.0704,105.3506,212.0784,0.4968,30.2316,78.3479,1350.0,-0.85
2021,3,Caatinga,94.4134,77.3637,239.4985,0.323,32.3003,18.6199,3750.0,-0.74
2021,3,Cerrado,131.3536,105.4638,215.4323,0.4895,29.9122,57.0582,28375.0,-0.74
2021,3,Mata Atlântica,130.9141,108.4047,231.6974,0.4679,30.7463,26.4486,6725.0,-0.74
2021,4,Caatinga,85.7869,68.4636,198.1459,0.3455,31.1793,98.4167,1300.0,-0.56
2021,4,Cerrado,105.6911,89.0662,186.6316,0.4772,30.3533,129.1754,15850.0,-0.56
2021,4,Mata Atlântica,116.2416,102.83,186.9418,0.5501,29.5557,108.9475,2825.0,-0.56
2021,5,Caatinga,92.6354,61.5861,184.9377,0.333,30.047,14.8572,3800.0,-0.4
2021,5,Cerrado,110.7702,66.493,182.373,0.3646,30.0625,0.8986,7400.0,-0.4
2021,5,Mata Atlântica,121.9457,98.6442,162.5002,0.607,26.9403,27.1104,2400.0,-0.4
2021,6,Caatinga,78.3024,40.8817,175.9965,0.2323,30.0056,12.5886,3675.0,-0.31
2021,6,Cerrado,92.4194,47.39,179.1035,0.2646,30.1111,1.3549,15625.0,-0.31
2021,6,Mata Atlântica,116.521,82.7885,143.325,0.5776,24.5488,43.7192,1425.0,-0.31
2021,7,Caatinga,76.6207,36.0781,183.9987,0.1961,30.6297,28.4764,8975.0,-0.35
2021,7,Cerrado,79.0526,33.3662,196.481,0.1698,31.1998,0.6984,25750.0,-0.35
2021,7,Mata Atlântica,120.9511,77.0612,144.5529,0.5331,26.2162,57.0022,2225.0,-0.35
2021,8,Caatinga,72.9987,32.559,210.0499,0.155,32.6654,16.038,24900.0,-0.46
2021,8,Cerrado,63.4821,28.2425,222.9235,0.1267,34.503,1.2133,163175.0,-0.46
2021,8,Mata Atlântica,132.0246,79.9077,167.8834,0.476,26.095,42.7344,875.0,-0.46
2021,9,Caatinga,42.4019,23.944,246.6504,0.0971,37.6857,3.1363,223350.0,-0.64
2021,9,Cerrado,6.914,15.9752,262.5397,0.0608,40.7382,4.1192,741000.0,-0.64
2021,9,Mata Atlântica,127.3496,88.4653,213.039,0.4153,31.1753,32.5672,7200.0,-0.64
2021,10,Caatinga,44.8707,38.6939,226.2289,0.171,38.0099,71.8032,238025.0,-0.77
2021,10,Cerrado,46.8447,46.0221,214.5536,0.2145,38.2654,96.5092,283550.0,-0.77
2021,10,Mata Atlântica,111.4732,96.8221,201.3508,0.4809,28.5707,90.3669,11325.0,-0.77
2021,11,Caatinga,111.284,98.1988,219.623,0.4471,32.4984,168.0466,200.0,-0.91
2021,11,Cerrado,112.4123,104.5195,193.8349,0.5392,31.0013,226.687,5275.0,-0.91
2021,11,Mata Atlântica,139.1046,125.8333,206.4592,0.6095,28.4651,185.2916,475.0,-0.91
2021,12,Caatinga,107.7479,99.0133,183.8738,0.5385,31.0821,291.3157,0.0,-0.83
2021,12,Cerrado,99.203,101.5012,155.1941,0.654,28.4094,426.7546,0.0,-0.83
2021,12,Mata Atlântica,123.3948,118.1455,180.1444,0.6558,28.3963,386.0143,0.0,-0.83
2022,1,Caatinga,142.1538,110.0323,204.6756,0.5376,28.5229,108.7796,675.0,-0.76
2022,1,Cerrado,134.7881,114.7998,174.8332,0.6566,26.7245,206.0885,1550.0,-0.76
2022,1,Mata Atlântica,151.1328,114.4473,204.8164,0.5588,28.3488,91.0464,0.0,-0.76
