ano,mes,ONI,FMA_PSN,Cerrado_PSN,Caatinga_PSN,FMA_Evap,Cerrado_Evap,Caatinga_Evap,FMA_PET,Cerrado_PET,Caatinga_PET,FMA_IDA,Cerrado_IDA,Caatinga_IDA,FMA_Temp,Cerrado_Temp,Caatinga_Temp,FMA_Precip,Cerrado_Precip,Caatinga_Precip,FMA_AreaQueimada,Cerrado_AreaQueimada,Caatinga_AreaQueimada
2021,1,-0.99,143.7253,129.5735,75.4736,103.5387,103.3085,69.2335,224.637,222.207,228.8373,0.4609,0.4649,0.3025,30.1122,31.7309,32.7374,53.4475,118.2898,50.5572,1325.0,2925.0,5500.0
2021,2,-0.85,122.0704,127.3835,86.4771,105.3506,113.7485,78.3583,212.0784,201.5446,218.2045,0.4968,0.5644,0.3591,30.2316,28.7445,31.8845,78.3479,249.5516,116.3057,1350.0,6700.0,250.0
2021,3,-0.74,130.9141,131.3536,94.4134,108.4047,105.4638,77.3637,231.6974,215.4323,239.4985,0.4679,0.4895,0.323,30.7463,29.9122,32.3003,26.4486,57.0582,18.6199,6725.0,28375.0,3750.0
2021,4,-0.56,116.2416,105.6911,85.7869,102.83,89.0662,68.4636,186.9418,186.6316,198.1459,0.5501,0.4772,0.3455,29.5557,30.3533,31.1793,108.9475,129.1754,98.4167,2825.0,15850.0,1300.0
2021,5,-0.4,121.9457,110.7702,92.6354,98.6442,66.493,61.5861,162.5002,182.373,184.9377,0.607,0.3646,0.333,26.9403,30.0625,30.047,27.1104,0.8986,14.8572,2400.0,7400.0,3800.0
2021,6,-0.31,116.521,92.4194,78.3024,82.7885,47.39,40.8817,143.325,179.1035,175.9965,0.5776,0.2646,0.2323,24.5488,30.1111,30.0056,43.7192,1.3549,12.5886,1425.0,15625.0,3675.0
2021,7,-0.35,120.9511,79.0526,76.6207,77.0612,33.3662,36.0781,144.5529,196.481,183.9987,0.5331,0.1698,0.1961,26.2162,31.1998,30.6297,57.0022,0.6984,28.4764,2225.0,25750.0,8975.0
2021,8,-0.46,132.0246,63.4821,72.9987,79.9077,28.2425,32.559,167.8834,222.9235,210.0499,0.476,0.1267,0.155,26.095,34.503,32.6654,42.7344,1.2133,16.038,875.0,163175.0,24900.0
2021,9,-0.64,127.3496,6.914,42.4019,88.4653,15.9752,23.944,213.039,262.5397,246.6504,0.4153,0.0608,0.0971,31.1753,40.7382,37.6857,32.5672,4.1192,3.1363,7200.0,741000.0,223350.0
2021,10,-0.77,111.4732,46.8447,44.8707,96.8221,46.0221,38.6939,201.3508,214.5536,226.2289,0.4809,0.2145,0.171,28.5707,38.2654,38.0099,90.3669,96.5092,71.8032,11325.0,283550.0,238025.0
2021,11,-0.91,139.1046,112.4123,111.284,125.8333,104.5195,98.1988,206.4592,193.8349,219.623,0.6095,0.5392,0.4471,28.4651,31.0013,32.4984,185.2916,226.687,168.0466,475.0,5275.0,200.0
2021,12,-0.83,123.3948,99.203,107.7479,118.1455,101.5012,99.0133,180.1444,155.1941,183.8738,0.6558,0.654,0.5385,28.3963,28.4094,31.0821,386.0143,426.7546,291.3157,0.0,0.0,0.0
2022,1,-0.76,151.1328,134.7881,142.1538,114.4473,114.7998,110.0323,204.8164,174.8332,204.6756,0.5588,0.6566,0.5376,28.3488,26.7245,28.5229,91.0464,206.0885,108.7796,0.0,1550.0,675.0
2022,2,-0.68,146.2795,146.209,135.8298,120.12,125.9784,110.5182,216.0202,199.6266,222.2778,0.5561,0.6311,0.4972,29.0752,28.2608,29.0274,61.443,157.9377,61.4947,100.0,20850.0,1200.0
2022,3,-0.77,159.4006,167.3664,138.3641,124.3349,129.8125,101.4641,222.1511,216.9268,227.2333,0.5597,0.5984,0.4465,27.0152,30.2484,28.7222,99.5318,68.3965,62.6648,0.0,33050.0,925.0
2022,4,-0.86,135.491,144.0779,107.1788,114.8382,102.4785,78.4097,197.6644,208.6056,213.8607,0.581,0.4913,0.3666,27.7496,31.2692,30.476,106.3539,48.2092,57.7407,1975.0,13875.0,2500.0
2022,5,-0.83,131.7111,125.463,94.75,102.7227,70.9985,57.7655,162.2834,180.5089,181.5166,0.633,0.3933,0.3182,25.6214,29.8757,29.0083,44.6947,3.7294,15.5536,2625.0,10950.0,800.0
2022,6,-0.73,131.5401,100.286,85.8919,89.8218,48.4677,43.2092,148.8116,175.582,175.6905,0.6036,0.276,0.2459,24.8962,29.8696,28.5836,22.272,0.2651,15.9237,1275.0,13100.0,1925.0
2022,7,-0.7,130.4395,89.1673,80.9318,81.0517,38.5099,35.1849,148.6791,191.6562,183.465,0.5451,0.2009,0.1918,23.9503,30.1609,28.7949,65.1658,1.0983,29.4536,300.0,29475.0,3550.0
2022,8,-0.78,134.0317,70.7497,72.9901,81.7841,29.2404,31.2517,166.2832,223.4133,210.9775,0.4918,0.1309,0.1481,25.7282,33.5324,31.3273,43.2348,0.3431,18.0066,1525.0,74600.0,28450.0
